項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,7322,-,1514,-,455,-,708,-
0,0,0,0,0,調査世帯数,371,-,276,-,56,-,16,-,23,-
0,0,0,0,0,世帯人員,3.31,-,3.37,-,3.12,-,2.76,-,3.49,-
0,0,0,0,0,有業人員,1.64,-,1.65,-,1.67,-,1.4,-,1.54,-
0,0,0,0,0,世帯主平均年齢,49,-,50.4,-,45.3,-,51,-,41.8,-
1,0,0,0,0,受取,1529827,-,1655406,-,1114044,-,1040671,-,1434848,-
1,1,0,0,0,実収入,989585,100,1066228,100,712198,100,588184,100,1048302,100
1,2,0,0,0,経常収入,969974,98,1042110,97.7,703582,98.8,578178,98.3,1045603,99.7
1,3,0,0,0,勤め先収入,934119,94.4,1003049,94.1,686080,96.3,477094,81.1,1045603,99.7
1,4,0,0,0,世帯主収入,827614,83.6,884012,82.9,595624,83.6,451078,76.7,982623,93.7
1,6,0,0,0,うち男,806844,81.5,861638,80.8,569283,79.9,442352,75.2,982623,93.7
1,5,0,0,0,定期収入,397586,40.2,416190,39,335542,47.1,274519,46.7,417001,39.8
1,5,0,0,0,臨時収入,1802,0.2,1781,0.2,1850,0.3,-,-,3066,0.3
1,5,0,0,0,賞与,428226,43.3,466041,43.7,258232,36.3,176559,30,562556,53.7
1,4,0,0,0,世帯主の配偶者の収入,100028,10.1,114443,10.7,72274,10.1,18083,3.1,62979,6
1,6,0,0,0,うち女,91374,9.2,102625,9.6,72274,10.1,18083,3.1,62979,6
1,4,0,0,0,他の世帯員収入,6478,0.7,4593,0.4,18182,2.6,7932,1.3,-,-
1,3,0,0,0,事業・内職収入,4045,0.4,5188,0.5,1044,0.1,1945,0.3,-,-
1,4,0,0,0,家賃収入,2180,0.2,2977,0.3,-,-,-,-,-,-
1,4,0,0,0,他の事業収入,1121,0.1,1531,0.1,-,-,-,-,-,-
1,4,0,0,0,内職収入,745,0.1,681,0.1,1044,0.1,1945,0.3,-,-
1,3,0,0,0,他の経常収入,31809,3.2,33874,3.2,16457,2.3,99140,16.9,-,-
1,4,0,0,0,財産収入,893,0.1,1220,0.1,-,-,-,-,-,-
1,4,0,0,0,社会保障給付,30552,3.1,32157,3,16457,2.3,99140,16.9,-,-
