項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,4531,-,2391,-,2401,-,678,-
0,0,0,0,0,調査世帯数,731,-,325,-,175,-,177,-,54,-
0,0,0,0,0,世帯人員,2.94,-,2,-,3,-,4,-,5.28,-
0,0,0,0,0,有業人員,1.29,-,0.81,-,1.6,-,1.7,-,1.95,-
0,0,0,0,0,世帯主平均年齢,59.5,-,68,-,56.1,-,49.5,-,50.1,-
2,2,0,0,0,生計支出,342146,-,331766,-,319916,-,375476,-,371902,-
2,3,0,0,0,消費支出,342146,100,331766,100,319916,100,375476,100,371902,100
2,4,1,0,0,食料,101611,29.7,95185,28.7,100640,31.5,110180,29.3,117650,31.6
2,5,1,1,0,穀類,8171,2.4,7263,2.2,8094,2.5,9410,2.5,10119,2.7
2,6,1,1,1,米類,2096,0.6,1789,0.5,2068,0.6,2583,0.7,2512,0.7
2,6,1,1,2,パン,2850,0.8,2269,0.7,2947,0.9,3545,0.9,3936,1.1
2,6,1,1,3,麺類,1755,0.5,1500,0.5,1694,0.5,2068,0.6,2563,0.7
2,6,1,1,4,他の穀類,1470,0.4,1705,0.5,1385,0.4,1213,0.3,1108,0.3
2,5,1,2,0,魚介類,11201,3.3,12090,3.6,11685,3.7,8925,2.4,11609,3.1
2,6,1,2,1,生鮮魚介,6242,1.8,6365,1.9,6871,2.1,5127,1.4,7147,1.9
2,6,1,2,2,塩干魚介,1642,0.5,1838,0.6,1609,0.5,1290,0.3,1692,0.5
2,6,1,2,3,魚肉練製品,1705,0.5,2000,0.6,1560,0.5,1349,0.4,1510,0.4
2,6,1,2,4,他の魚介加工品,1612,0.5,1887,0.6,1645,0.5,1159,0.3,1260,0.3
2,5,1,3,0,肉類,9277,2.7,7706,2.3,9416,2.9,11439,3,11623,3.1
2,6,1,3,1,生鮮肉,7736,2.3,6434,1.9,7918,2.5,9544,2.5,9400,2.5
2,6,1,3,2,加工肉,1540,0.5,1273,0.4,1498,0.5,1896,0.5,2224,0.6
2,5,1,4,0,乳卵類,4517,1.3,3940,1.2,4595,1.4,5207,1.4,5660,1.5
2,6,1,4,1,牛乳,1479,0.4,1360,0.4,1372,0.4,1579,0.4,2293,0.6
2,6,1,4,2,乳製品,2179,0.6,1815,0.5,2389,0.7,2617,0.7,2321,0.6
2,6,1,4,3,卵,859,0.3,765,0.2,833,0.3,1011,0.3,1046,0.3
2,5,1,5,0,野菜・海藻,11387,3.3,11521,3.5,11381,3.6,10914,2.9,12182,3.3
2,6,1,5,1,生鮮野菜,7438,2.2,7474,2.3,7303,2.3,7277,1.9,8248,2.2
2,6,1,5,2,乾物・海藻,1174,0.3,1244,0.4,1165,0.4,1011,0.3,1310,0.4
2,6,1,5,3,大豆加工品,1266,0.4,1187,0.4,1304,0.4,1372,0.4,1290,0.3
2,6,1,5,4,他の野菜・海藻加工品,1509,0.4,1617,0.5,1609,0.5,1254,0.3,1334,0.4
2,5,1,6,0,果物,3811,1.1,4269,1.3,3600,1.1,3287,0.9,3346,0.9
2,6,1,6,1,生鮮果物,3216,0.9,3625,1.1,2958,0.9,2834,0.8,2740,0.7
2,6,1,6,2,果物加工品,595,0.2,644,0.2,642,0.2,453,0.1,606,0.2
2,5,1,7,0,油脂・調味料,4320,1.3,4088,1.2,4353,1.4,4492,1.2,5146,1.4
2,6,1,7,1,油脂,476,0.1,528,0.2,481,0.2,409,0.1,341,0.1
2,6,1,7,2,調味料,3844,1.1,3560,1.1,3872,1.2,4083,1.1,4804,1.3
2,5,1,8,0,菓子類,7049,2.1,5552,1.7,7250,2.3,8779,2.3,10211,2.7
2,5,1,9,0,調理食品,14307,4.2,13923,4.2,15313,4.8,13326,3.5,16805,4.5
2,6,1,9,1,主食的調理食品,4876,1.4,4379,1.3,5668,1.8,4769,1.3,5782,1.6
2,6,1,9,2,他の調理食品,9431,2.8,9544,2.9,9645,3,8558,2.3,11024,3
2,5,1,10,0,飲料,4546,1.3,4048,1.2,4761,1.5,5013,1.3,5460,1.5
2,6,1,10,1,茶類,1241,0.4,1249,0.4,1320,0.4,1142,0.3,1255,0.3
2,6,1,10,2,コーヒー・ココア,1036,0.3,948,0.3,1069,0.3,1063,0.3,1415,0.4
2,6,1,10,3,他の飲料,2269,0.7,1851,0.6,2372,0.7,2809,0.7,2789,0.7
2,5,1,11,0,酒類,4717,1.4,5005,1.5,4806,1.5,3845,1,5559,1.5
2,5,1,12,0,外食,18309,5.4,15779,4.8,15384,4.8,25540,6.8,19929,5.4
2,6,1,12,1,一般外食,17479,5.1,15725,4.7,14991,4.7,23191,6.2,17749,4.8
2,6,1,12,2,学校給食,831,0.2,54,0,393,0.1,2350,0.6,2180,0.6
2,4,2,0,0,住居,32162,9.4,47465,14.3,20954,6.5,17449,4.6,21505,5.8
2,5,2,1,0,家賃地代,16464,4.8,16712,5,17652,5.5,14816,3.9,16459,4.4
2,5,2,2,0,設備修繕・維持,15698,4.6,30753,9.3,3302,1,2633,0.7,5046,1.4
2,6,2,2,1,設備材料,5769,1.7,11267,3.4,1825,0.6,625,0.2,1142,0.3
2,6,2,2,2,工事その他のサービス,9929,2.9,19486,5.9,1476,0.5,2008,0.5,3904,1
2,4,3,0,0,光熱・水道,19366,5.7,18016,5.4,20134,6.3,20895,5.6,20268,5.4
2,5,3,1,0,電気代,8325,2.4,7565,2.3,9307,2.9,8877,2.4,7990,2.1
2,5,3,2,0,ガス代,5708,1.7,5484,1.7,5614,1.8,5962,1.6,6638,1.8
2,5,3,3,0,他の光熱,523,0.2,585,0.2,442,0.1,293,0.1,1205,0.3
2,5,3,4,0,上下水道料,4810,1.4,4383,1.3,4771,1.5,5763,1.5,4435,1.2
2,4,4,0,0,家具・家事用品,13401,3.9,12814,3.9,14483,4.5,12411,3.3,17010,4.6
2,5,4,1,0,家庭用耐久財,4723,1.4,5682,1.7,4406,1.4,3282,0.9,4537,1.2
2,6,4,1,1,家事用耐久財,2386,0.7,2163,0.7,3003,0.9,2243,0.6,2211,0.6
2,6,4,1,2,冷暖房用器具,1416,0.4,2125,0.6,398,0.1,1011,0.3,1705,0.5
2,6,4,1,3,一般家具,921,0.3,1394,0.4,1005,0.3,28,0,622,0.2
2,5,4,2,0,室内装備・装飾品,573,0.2,436,0.1,712,0.2,486,0.1,1314,0.4
