項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,371,-,-,54,-,49,-,55,-,49,-,56,-,54,-,54,-
0,0,世帯人員,3.31,-,-,3.17,-,2.84,-,3.3,-,3.52,-,3.55,-,3.35,-,3.45,-
0,0,有業人員,1.64,-,-,1.68,-,1.7,-,1.54,-,1.63,-,1.72,-,1.56,-,1.63,-
0,0,世帯主平均年齢,49,-,-,54.6,-,53.8,-,48,-,46.8,-,46.3,-,43.4,-,50.2,-
0,0,消費支出,367859,-,-9.8,274180,-,310110,-,317661,-,359846,-,395856,-,394986,-,517469,-
0,0,公共的料金,96288,26.2,-11,82271,30,78211,25.2,88385,27.8,108800,30.2,92347,23.3,111987,28.4,111669,21.6
1,0,公共料金等,59159,16.1,-12.2,47050,17.2,43316,14,55170,17.4,75067,20.9,56855,14.4,66755,16.9,69575,13.4
1,1,米,2032,0.6,22.2,1747,0.6,2257,0.7,1476,0.5,1747,0.5,964,0.2,2496,0.6,3514,0.7
1,1,食塩,52,0,67.7,58,0,80,0,26,0,31,0,36,0,56,0,74,0
1,1,学校給食,1550,0.4,-9.1,377,0.1,236,0.1,1649,0.5,2119,0.6,1682,0.4,2474,0.6,2297,0.4
1,1,公営家賃,3060,0.8,104.7,3426,1.2,1810,0.6,346,0.1,6570,1.8,3002,0.8,6338,1.6,-,-
1,1,電気代,8043,2.2,-23.5,8547,3.1,7621,2.5,7409,2.3,8213,2.3,7481,1.9,7544,1.9,9450,1.8
1,1,都市ガス,5238,1.4,-22.5,4897,1.8,4473,1.4,5201,1.6,5355,1.5,6276,1.6,4997,1.3,5443,1.1
1,1,上下水道料,5013,1.4,-24.9,3995,1.5,4708,1.5,6675,2.1,5411,1.5,4439,1.1,5624,1.4,4278,0.8
