実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
jissu,nen,実数_平成24年平均,2012,,223,2.4,0.4,72.4,189350,184094,18541,8026,10515,6197,159357,154753,5256,159378,272919,73837,22975,22449,9678,8945,18346,23660,3284,31061,58685
jissu,nen,実数_平成25年平均,2013,,238,2.42,0.42,73.2,192310,184314,18617,5420,13198,6886,158810,155120,7996,158608,281130,73278,25174,23374,10359,8865,18574,24016,1158,32610,63723
jissu,nen,実数_平成26年平均,2014,,245,2.39,0.43,73.3,183975,179279,18046,3308,14738,8226,153008,146170,4696,152488,269469,74216,20647,23168,10169,8259,17970,24596,716,32668,57060
jissu,nen,実数_平成27年平均,2015,,237,2.39,0.44,74.1,181141,176763,17846,6148,11698,9890,149027,144132,4379,146876,276745,76515,21571,23275,9805,9034,17496,26249,3175,33255,56370
jissu,sihan,実数_平成26年10～12月,2014,10～12,250,2.49,0.49,73.5,248252,244815,16717,2530,14187,9316,218781,209022,3438,214075,279921,82680,21905,21623,10845,9037,21357,22604,766,32371,56733
jissu,sihan,実数_平成27年1～3月,2015,1～3,233,2.46,0.45,73.6,119805,115294,12788,3412,9376,7273,95233,92431,4511,90720,277463,70690,23340,32427,7487,6888,16196,32092,64,33001,55277
jissu,sihan,実数_平成27年4～6月,2015,4～6,233,2.39,0.43,74.3,226254,222688,14733,3454,11279,9927,198028,192250,3566,177001,278103,75294,21278,23027,10236,9458,14054,26481,8202,36274,53800
jissu,sihan,実数_平成27年7～9月,2015,7～9,243,2.36,0.43,74.4,149266,144698,18616,6112,12504,14774,111308,104778,4568,120146,261364,76657,16896,19253,9892,9210,18455,21951,1867,29888,57297
jissu,sihan,実数_平成27年10～12月,2015,10～12,237,2.37,0.46,73.9,229240,224371,25246,11613,13633,7585,191540,187067,4869,199639,290048,83421,24769,18394,11605,10579,21279,24474,2567,33856,59105
jissu,tuki,実数_平成26年12月,2014,12,254,2.49,0.49,73.6,349114,346152,22264,3453,18811,8406,315482,292723,2962,306245,318956,97283,22726,24951,15608,9158,19876,22494,69,33039,73751
jissu,tuki,実数_平成27年1月,2015,1,240,2.5,0.5,73.4,28642,24382,12952,3128,9824,6502,4928,2587,4260,8017,287330,68141,17100,31989,7005,8624,14513,42132,56,30706,67066
jissu,tuki,実数_平成27年2月,2015,2,230,2.43,0.43,73.7,291738,287837,12225,3530,8696,7403,268208,266317,3901,258830,259789,67246,24188,34172,6620,5915,15940,30670,80,30172,44786
jissu,tuki,実数_平成27年3月,2015,3,229,2.45,0.41,73.8,39036,33662,13188,3579,9609,7913,12562,8389,5373,5312,285271,76684,28733,31121,8837,6124,18135,23474,57,38126,53978
jissu,tuki,実数_平成27年4月,2015,4,225,2.42,0.44,74.2,305757,301997,12699,1913,10786,11314,277985,273546,3760,273571,280304,75380,21346,27902,5473,9719,12977,19111,22532,34407,51457
jissu,tuki,実数_平成27年5月,2015,5,237,2.37,0.43,74.4,39976,37968,14490,4137,10352,7503,15975,10216,2008,18603,271615,76212,15329,21987,14989,9514,12154,22249,1993,44225,52963
jissu,tuki,実数_平成27年6月,2015,6,237,2.37,0.43,74.4,333028,328099,17011,4312,12699,10964,300123,292989,4929,238828,282389,74290,27160,19191,10246,9140,17031,38083,80,30190,56980
jissu,tuki,実数_平成27年7月,2015,7,248,2.36,0.43,74.2,53338,48379,17125,4923,12201,11381,19874,7871,4959,25370,256887,76388,15838,18335,9600,10805,18481,21379,147,28704,57211
jissu,tuki,実数_平成27年8月,2015,8,236,2.36,0.42,74.2,339103,334965,17523,5646,11877,18871,298571,293967,4138,300075,266045,77376,15320,20357,10926,6641,21801,20328,652,30887,61758
jissu,tuki,実数_平成27年9月,2015,9,246,2.35,0.44,74.7,55357,50749,21201,7766,13435,14069,15480,12497,4608,34994,261160,76206,19530,19066,9149,10183,15083,24146,4803,30072,52922
jissu,tuki,実数_平成27年10月,2015,10,247,2.36,0.46,74.2,314566,311684,19641,8658,10983,6540,285503,281267,2882,281975,279576,77806,17559,17229,11086,11306,19626,22223,6377,37134,59230
jissu,tuki,実数_平成27年11月,2015,11,232,2.38,0.45,73.7,37851,34594,19395,5917,13478,7310,7889,5276,3257,20837,280319,74718,19282,17765,11088,11909,24935,28919,618,34857,56228
jissu,tuki,実数_平成27年12月,2015,12,231,2.36,0.47,73.9,335302,326834,36701,20264,16437,8904,281229,274657,8467,296104,310250,97738,37466,20189,12641,8522,19276,22279,706,29577,61856
meimoku,nen,対前年（同期・同月）名目増加率_平成24年平均,2012,,-,-,-,-,-2.5,-2.6,18.8,10.6,25.9,-5.4,-4.5,-4.2,1.5,-2.1,3.5,2,23.8,12.1,-4,5,4.3,10.9,83.2,-7,-2.2
meimoku,nen,対前年（同期・同月）名目増加率_平成25年平均,2013,,-,-,-,-,1.6,0.1,0.4,-32.5,25.5,11.1,-0.3,0.2,52.1,-0.5,3,-0.8,9.6,4.1,7,-0.9,1.2,1.5,-64.7,5,8.6
meimoku,nen,対前年（同期・同月）名目増加率_平成26年平均,2014,,-,-,-,-,-4.3,-2.7,-3.1,-39,11.7,19.5,-3.7,-5.8,-41.3,-3.9,-4.1,1.3,-18,-0.9,-1.8,-6.8,-3.3,2.4,-38.2,0.2,-10.5
meimoku,nen,対前年（同期・同月）名目増加率_平成27年平均,2015,,-,-,-,-,-1.5,-1.4,-1.1,85.9,-20.6,20.2,-2.6,-1.4,-6.8,-3.7,2.7,3.1,4.5,0.5,-3.6,9.4,-2.6,6.7,343.4,1.8,-1.2
meimoku,sihan,対前年（同期・同月）名目増加率_平成26年10～12月,2014,10～12,-,-,-,-,0.1,0.3,-49.2,-69.6,-42.3,25.6,7.4,6.7,-12,-1.8,-1,6.5,-25,0.9,2,-1.2,16.6,10.2,-14.1,2.5,-10.5
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年1～3月,2015,1～3,-,-,-,-,-4.7,-3.8,-34.3,-25.2,-37.2,-1.3,2.5,5.7,-23.9,-13.1,0.1,1.9,9.3,6.6,-31.8,-14.5,-6.7,17,-90.6,8.4,-9.6
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年4～6月,2015,4～6,-,-,-,-,1.6,2.2,-25.4,22,-33.3,32,3.9,4.2,-26.1,-2.6,8.1,5,1.5,7,-1.5,-0.2,-9.6,17.5,850.4,2.8,9.6
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年7～9月,2015,7～9,-,-,-,-,7.2,7.4,14.6,84.6,-3.4,69.9,1.4,1,-0.6,9.5,-0.7,4.9,-8,0.8,17,42.3,4.8,-15,237.6,-8.2,-6.4
meimoku,sihan,対前年（同期・同月）名目増加率_平成27年10～12月,2015,10～12,-,-,-,-,-7.7,-8.4,51,359,-3.9,-18.6,-12.5,-10.5,41.6,-6.7,3.6,0.9,13.1,-14.9,7,17.1,-0.4,8.3,235.1,4.6,4.2
meimoku,tuki,対前年（同期・同月）名目増加率_平成26年12月,2014,12,-,-,-,-,0.3,0.4,-46.6,-72.9,-35,3,7,4.6,-13.1,0.1,6,7.9,-12.8,6.2,44,9.6,1.7,2.7,-87.2,9.8,5.4
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年1月,2015,1,-,-,-,-,-26.7,-29.6,-43.8,-54.7,-39.2,22.3,-21.6,5.4,-3.6,-59.5,6.9,4.5,-16.9,8.6,-36.4,16.1,-11.1,58.6,-91.1,21.1,1.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年2月,2015,2,-,-,-,-,-0.4,-0.6,-32.6,-15.9,-37.6,-19.8,2.3,3.8,13.6,-1.5,4.1,4.7,26.1,7.9,-21.6,-26.4,-10.2,41.8,-84.2,27.8,-17.7
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年3月,2015,3,-,-,-,-,-13.3,-4.1,-23.5,38.6,-34.5,4.6,21.9,161.2,-45.9,-82.7,-9,-2.6,18.2,3.2,-34.4,-29.5,0.6,-31.1,-93.7,-10.1,-14.2
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年4月,2015,4,-,-,-,-,2.1,3.2,-14.9,-40.8,-7.7,56.4,2.8,2.5,-45.3,0.8,2.4,10.5,-29.7,11.7,-32.8,-8.6,-31.8,-16.6,...,-2.8,-3.3
meimoku,tuki,対前年（同期・同月）名目増加率_平成27年5月,2015,5,-,-,-,-,-17.1,-17.8,-20.9,19.9,-30.4,-10.7,-17.9,-6.5,-2.4,-5.8,12.4,4.2,49.7,5.8,52.9,4.5,-1.7,-5.9,86.6,32,10.2
