実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）,実収入／経常収入／勤め先収入／他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／経常収入／他の経常収入／社会保障給付（円）,実収入／特別収入（円）,可処分所得（円）,消費支出（円）,消費支出／食料（円）,消費支出／住居（円）,消費支出／光熱・水道（円）,消費支出／家具・家事用品（円）,消費支出／被服及び履物（円）,消費支出／保健医療（円）,消費支出／交通・通信（円）,消費支出／教育（円）,消費支出／教養娯楽（円）,消費支出／その他の消費支出（円）
jissu,nen,実数_平成23年平均,2011,,220,2.36,0.38,72.3,194222,189043,15608,7257,8350,6550,166886,161524,5179,162790,263748,72403,18564,20027,10080,8522,17589,21344,1793,33395,60033
jissu,nen,実数_平成24年平均,2012,,223,2.4,0.4,72.4,189350,184094,18541,8026,10515,6197,159357,154753,5256,159378,272919,73837,22975,22449,9678,8945,18346,23660,3284,31061,58685
jissu,nen,実数_平成25年平均,2013,,238,2.42,0.42,73.2,192310,184314,18617,5420,13198,6886,158810,155120,7996,158608,281130,73278,25174,23374,10359,8865,18574,24016,1158,32610,63723
jissu,nen,実数_平成26年平均,2014,,245,2.39,0.43,73.3,183975,179279,18046,3308,14738,8226,153008,146170,4696,152488,269469,74216,20647,23168,10169,8259,17970,24596,716,32668,57060
jissu,sihan,実数_平成26年7～9月,2014,7～9,241,2.36,0.42,74.1,139280,134685,16249,3311,12938,8697,109739,103760,4594,109679,263307,73110,18370,19104,8457,6472,17617,25823,553,32562,61238
jissu,sihan,実数_平成26年10～12月,2014,10～12,250,2.49,0.49,73.5,248252,244815,16717,2530,14187,9316,218781,209022,3438,214075,279921,82680,21905,21623,10845,9037,21357,22604,766,32371,56733
jissu,sihan,実数_平成27年1～3月,2015,1～3,233,2.46,0.45,73.6,119805,115294,12788,3412,9376,7273,95233,92431,4511,90720,277463,70690,23340,32427,7487,6888,16196,32092,64,33001,55277
jissu,sihan,実数_平成27年4～6月,2015,4～6,233,2.39,0.43,74.3,226254,222688,14733,3454,11279,9927,198028,192250,3566,177001,278103,75294,21278,23027,10236,9458,14054,26481,8202,36274,53800
jissu,sihan,実数_平成27年7～9月,2015,7～9,243,2.36,0.43,74.4,149266,144698,18616,6112,12504,14774,111308,104778,4568,120146,261364,76657,16896,19253,9892,9210,18455,21951,1867,29888,57297
jissu,tuki,実数_平成26年9月,2014,9,252,2.41,0.44,73.9,39510,35652,15056,3562,11494,8925,11671,8023,3857,10053,251543,74526,19095,19092,8057,5226,17807,23487,481,30162,53610
jissu,tuki,実数_平成26年10月,2014,10,249,2.47,0.48,73.3,362335,358249,13447,2286,11161,11401,333400,328965,4087,314359,268760,76359,25829,19936,8806,8750,23807,22856,2021,35938,44457
jissu,tuki,実数_平成26年11月,2014,11,247,2.52,0.49,73.7,33306,30043,14440,1852,12588,8142,7461,5377,3264,21622,252048,74398,17161,19981,8122,9203,20388,22461,207,28135,51992
jissu,tuki,実数_平成26年12月,2014,12,254,2.49,0.49,73.6,349114,346152,22264,3453,18811,8406,315482,292723,2962,306245,318956,97283,22726,24951,15608,9158,19876,22494,69,33039,73751
jissu,tuki,実数_平成27年1月,2015,1,240,2.5,0.5,73.4,28642,24382,12952,3128,9824,6502,4928,2587,4260,8017,287330,68141,17100,31989,7005,8624,14513,42132,56,30706,67066
jissu,tuki,実数_平成27年2月,2015,2,230,2.43,0.43,73.7,291738,287837,12225,3530,8696,7403,268208,266317,3901,258830,259789,67246,24188,34172,6620,5915,15940,30670,80,30172,44786
jissu,tuki,実数_平成27年3月,2015,3,229,2.45,0.41,73.8,39036,33662,13188,3579,9609,7913,12562,8389,5373,5312,285271,76684,28733,31121,8837,6124,18135,23474,57,38126,53978
jissu,tuki,実数_平成27年4月,2015,4,225,2.42,0.44,74.2,305757,301997,12699,1913,10786,11314,277985,273546,3760,273571,280304,75380,21346,27902,5473,9719,12977,19111,22532,34407,51457
jissu,tuki,実数_平成27年5月,2015,5,237,2.37,0.43,74.4,39976,37968,14490,4137,10352,7503,15975,10216,2008,18603,271615,76212,15329,21987,14989,9514,12154,22249,1993,44225,52963
