項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,749,-,-,104,-,104,-,111,-,107,-,108,-,115,-,100,-
0,世帯人員,2.93,-,-,2.63,-,2.8,-,2.87,-,3,-,2.99,-,3.15,-,3.05,-
0,有業人員,1.26,-,-,1.21,-,1.22,-,1.18,-,1.24,-,1.35,-,1.32,-,1.3,-
0,世帯主平均年齢,59.3,-,-,62.5,-,61.7,-,60.1,-,56.7,-,56.3,-,57.2,-,60.5,-
0,消費支出,316285,100,-0.8,108681,100,165840,100,208131,100,257770,100,310200,100,394180,100,766361,100
2,基礎的支出,175579,55.5,-,83633,77,115657,69.7,135620,65.2,155185,60.2,175618,56.6,194916,49.4,367189,47.9
3,選択的支出,140705,44.5,-,25048,23,50182,30.3,72511,34.8,102585,39.8,134583,43.4,199264,50.6,399172,52.1
1,食料,87253,27.6,1.5,54123,49.8,66759,40.3,75758,36.4,86676,33.6,97083,31.3,108713,27.6,121185,15.8
2,基礎的支出,67809,21.4,-,47440,43.7,56121,33.8,63121,30.3,67197,26.1,74212,23.9,80047,20.3,86241,11.3
3,選択的支出,19444,6.1,-,6683,6.1,10638,6.4,12636,6.1,19479,7.6,22871,7.4,28666,7.3,34944,4.6
1,住居,23180,7.3,-22.6,1967,1.8,8516,5.1,15809,7.6,20200,7.8,30514,9.8,20600,5.2,64338,8.4
2,基礎的支出,20117,6.4,-,1726,1.6,8224,5,13068,6.3,18995,7.4,27742,8.9,17006,4.3,53781,7
3,選択的支出,3063,1,-,242,0.2,292,0.2,2741,1.3,1205,0.5,2772,0.9,3595,0.9,10556,1.4
1,光熱・水道,17308,5.5,-17,12373,11.4,17766,10.7,15470,7.4,17333,6.7,17140,5.5,18353,4.7,22670,3
2,基礎的支出,17308,5.5,-17,12373,11.4,17766,10.7,15470,7.4,17333,6.7,17140,5.5,18353,4.7,22670,3
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,12682,4,14.3,3224,3,6348,3.8,7713,3.7,7256,2.8,11080,3.6,13961,3.5,39076,5.1
2,基礎的支出,7409,2.3,-,2642,2.4,4955,3,5620,2.7,4970,1.9,6934,2.2,10887,2.8,15804,2.1
3,選択的支出,5273,1.7,-,582,0.5,1393,0.8,2092,1,2286,0.9,4146,1.3,3075,0.8,23272,3
1,被服及び履物,16889,5.3,8,4496,4.1,6405,3.9,9620,4.6,12794,5,18523,6,24240,6.1,41962,5.5
2,基礎的支出,799,0.3,-,204,0.2,379,0.2,684,0.3,434,0.2,1324,0.4,1255,0.3,1307,0.2
3,選択的支出,16089,5.1,-,4292,3.9,6026,3.6,8937,4.3,12360,4.8,17199,5.5,22985,5.8,40655,5.3
1,保健医療,16196,5.1,-9.2,6600,6.1,9620,5.8,12679,6.1,14990,5.8,14529,4.7,21729,5.5,33103,4.3
2,基礎的支出,13231,4.2,-,5899,5.4,8011,4.8,11102,5.3,11760,4.6,11140,3.6,17254,4.4,27358,3.6
3,選択的支出,2966,0.9,-,701,0.6,1609,1,1576,0.8,3231,1.3,3389,1.1,4475,1.1,5745,0.7
1,交通・通信,29872,9.4,-8.1,6394,5.9,12576,7.6,18054,8.7,28575,11.1,30665,9.9,50263,12.8,62246,8.1
2,基礎的支出,9897,3.1,-,2974,2.7,5086,3.1,7021,3.4,9998,3.9,9760,3.1,15630,4,18714,2.4
3,選択的支出,19975,6.3,-,3420,3.1,7490,4.5,11033,5.3,18577,7.2,20905,6.7,34633,8.8,43532,5.7
1,教育,19656,6.2,4.5,237,0.2,3041,1.8,4085,2,7091,2.8,8897,2.9,14133,3.6,99865,13
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,19656,6.2,4.5,237,0.2,3041,1.8,4085,2,7091,2.8,8897,2.9,14133,3.6,99865,13
1,教養娯楽,36954,11.7,-1.2,9128,8.4,15385,9.3,24341,11.7,29559,11.5,36452,11.8,55499,14.1,87931,11.5
2,基礎的支出,7415,2.3,-,3891,3.6,6049,3.6,6181,3,7197,2.8,8416,2.7,8875,2.3,11251,1.5
3,選択的支出,29539,9.3,-,5237,4.8,9336,5.6,18161,8.7,22362,8.7,28036,9,46623,11.8,76680,10
1,その他の消費支出,56294,17.8,15.6,10138,9.3,19424,11.7,24602,11.8,33295,12.9,45318,14.6,66689,16.9,193984,25.3
2,基礎的支出,31593,10,-,6484,6,9067,5.5,13352,6.4,17302,6.7,18951,6.1,25610,6.5,130061,17
3,選択的支出,24701,7.8,-,3654,3.4,10357,6.2,11250,5.4,15993,6.2,26367,8.5,41080,10.4,63923,8.3
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成27年10月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
