項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,742,-,-,99,-,113,-,106,-,107,-,110,-,105,-,102,-
0,世帯人員,2.96,-,-,2.65,-,2.86,-,2.94,-,3.09,-,2.96,-,3.1,-,3.11,-
0,有業人員,1.28,-,-,1.1,-,1.28,-,1.24,-,1.31,-,1.32,-,1.38,-,1.36,-
0,世帯主平均年齢,58.7,-,-,63.4,-,60.8,-,57.5,-,58.1,-,57.8,-,57,-,56,-
0,消費支出,314946,100,2.9,105101,100,170389,100,215769,100,260800,100,314513,100,392057,100,744132,100
2,基礎的支出,174605,55.4,-,81421,77.5,114460,67.2,143352,66.4,158092,60.6,178768,56.8,199720,50.9,345693,46.5
3,選択的支出,140340,44.6,-,23680,22.5,55928,32.8,72417,33.6,102708,39.4,135745,43.2,192337,49.1,398439,53.5
1,食料,86912,27.6,-2.7,50993,48.5,64712,38,78995,36.6,80320,30.8,93583,29.8,105986,27,133420,17.9
2,基礎的支出,65694,20.9,-,45343,43.1,53199,31.2,64092,29.7,62580,24,69990,22.3,76830,19.6,87609,11.8
3,選択的支出,21218,6.7,-,5649,5.4,11514,6.8,14903,6.9,17740,6.8,23594,7.5,29156,7.4,45810,6.2
1,住居,29082,9.2,25.5,3371,3.2,11883,7,20851,9.7,24269,9.3,16974,5.4,37178,9.5,88877,11.9
2,基礎的支出,26364,8.4,-,3086,2.9,10953,6.4,17973,8.3,23621,9.1,15769,5,32724,8.3,80292,10.8
3,選択的支出,2718,0.9,-,285,0.3,931,0.5,2878,1.3,649,0.2,1204,0.4,4454,1.1,8585,1.2
1,光熱・水道,16883,5.4,-17.1,11634,11.1,13861,8.1,16952,7.9,18714,7.2,18823,6,18173,4.6,20002,2.7
2,基礎的支出,16883,5.4,-17.1,11634,11.1,13861,8.1,16952,7.9,18714,7.2,18823,6,18173,4.6,20002,2.7
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,12220,3.9,12.6,2855,2.7,4716,2.8,7686,3.6,8201,3.1,10719,3.4,13798,3.5,37489,5
2,基礎的支出,7845,2.5,-,2515,2.4,3677,2.2,5195,2.4,6022,2.3,7544,2.4,8520,2.2,21407,2.9
3,選択的支出,4375,1.4,-,340,0.3,1039,0.6,2491,1.2,2179,0.8,3175,1,5278,1.3,16082,2.2
1,被服及び履物,16725,5.3,-4.9,4438,4.2,6748,4,7911,3.7,12075,4.6,20682,6.6,20950,5.3,44152,5.9
2,基礎的支出,943,0.3,-,436,0.4,542,0.3,742,0.3,734,0.3,1890,0.6,958,0.2,1294,0.2
3,選択的支出,15782,5,-,4002,3.8,6207,3.6,7169,3.3,11341,4.3,18792,6,19992,5.1,42858,5.8
1,保健医療,17617,5.6,2.7,5781,5.5,11094,6.5,11614,5.4,10117,3.9,25730,8.2,17782,4.5,41049,5.5
2,基礎的支出,14672,4.7,-,4995,4.8,8768,5.1,9290,4.3,8055,3.1,21850,6.9,15047,3.8,34573,4.6
3,選択的支出,2944,0.9,-,786,0.7,2325,1.4,2324,1.1,2062,0.8,3881,1.2,2735,0.7,6476,0.9
1,交通・通信,36090,11.5,18.8,7099,6.8,16799,9.9,19163,8.9,27320,10.5,34378,10.9,47839,12.2,99759,13.4
2,基礎的支出,11653,3.7,-,3546,3.4,6364,3.7,8402,3.9,10207,3.9,11784,3.7,16264,4.1,24924,3.3
3,選択的支出,24437,7.8,-,3553,3.4,10435,6.1,10761,5,17113,6.6,22594,7.2,31575,8.1,74835,10.1
1,教育,13919,4.4,34.8,665,0.6,2527,1.5,4843,2.2,7727,3,9845,3.1,11495,2.9,60262,8.1
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,13919,4.4,34.8,665,0.6,2527,1.5,4843,2.2,7727,3,9845,3.1,11495,2.9,60262,8.1
1,教養娯楽,39656,12.6,7.9,8919,8.5,17561,10.3,19293,8.9,31632,12.1,39093,12.4,51371,13.1,109458,14.7
2,基礎的支出,6647,2.1,-,4329,4.1,6041,3.5,5820,2.7,5883,2.3,7120,2.3,7461,1.9,9843,1.3
3,選択的支出,33009,10.5,-,4590,4.4,11521,6.8,13472,6.2,25749,9.9,31973,10.2,43910,11.2,99615,13.4
1,その他の消費支出,45842,14.6,-8.4,9346,8.9,20487,12,28461,13.2,40426,15.5,44686,14.2,67485,17.2,109664,14.7
2,基礎的支出,23904,7.6,-,5536,5.3,11057,6.5,14886,6.9,22278,8.5,23998,7.6,23743,6.1,65748,8.8
3,選択的支出,21938,7,-,3810,3.6,9431,5.5,13576,6.3,18148,7,20688,6.6,43741,11.2,43916,5.9
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成27年11月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
