項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,692,-,603,-,956,-,903,-,977,-,774,-,998,-,4096,-,1810,-
0,0,0,0,0,調査世帯数,742,-,49,-,45,-,74,-,72,-,66,-,58,-,73,-,305,-,136,-
0,0,0,0,0,世帯人員,2.96,-,3.27,-,3.61,-,3.65,-,3.37,-,3.58,-,3.26,-,3,-,2.35,-,2.19,-
0,0,0,0,0,有業人員,1.28,-,1.62,-,1.28,-,1.34,-,1.53,-,1.74,-,1.92,-,1.75,-,0.82,-,0.65,-
0,0,0,0,0,世帯主平均年齢,58.7,-,31.3,-,36.8,-,42,-,46.8,-,51.6,-,56.9,-,62.1,-,74.2,-,80.5,-
2,2,0,0,0,生計支出,315864,-,296533,-,262020,-,318235,-,341264,-,387557,-,375805,-,405297,-,270664,-,241121,-
2,3,0,0,0,消費支出,314946,100,283261,100,262020,100,318235,100,341264,100,387557,100,375805,100,405297,100,270664,100,241121,100
2,4,1,0,0,食料,81289,25.8,63179,22.3,65989,25.2,83562,26.3,94655,27.7,86486,22.3,93325,24.8,99270,24.5,75226,27.8,68736,28.5
2,5,1,1,0,穀類,6339,2,4840,1.7,4801,1.8,7394,2.3,6852,2,7078,1.8,7516,2,7262,1.8,5834,2.2,5133,2.1
2,6,1,1,1,米類,1664,0.5,921,0.3,397,0.2,1724,0.5,1834,0.5,1637,0.4,2159,0.6,1940,0.5,1770,0.7,1638,0.7
2,6,1,1,2,パン,2801,0.9,2256,0.8,2707,1,3606,1.1,3035,0.9,3240,0.8,3475,0.9,3149,0.8,2351,0.9,2082,0.9
2,6,1,1,3,麺類,1405,0.4,1318,0.5,1135,0.4,1512,0.5,1559,0.5,1768,0.5,1309,0.3,1663,0.4,1268,0.5,1085,0.4
2,6,1,1,4,他の穀類,469,0.1,345,0.1,562,0.2,552,0.2,425,0.1,434,0.1,573,0.2,511,0.1,445,0.2,327,0.1
2,5,1,2,0,魚介類,6634,2.1,2536,0.9,3140,1.2,4389,1.4,6266,1.8,6222,1.6,6774,1.8,8724,2.2,8009,3,7908,3.3
2,6,1,2,1,生鮮魚介,4019,1.3,1450,0.5,1837,0.7,2567,0.8,3859,1.1,3867,1,3975,1.1,5252,1.3,4893,1.8,4637,1.9
2,6,1,2,2,塩干魚介,1191,0.4,461,0.2,546,0.2,730,0.2,965,0.3,1147,0.3,1277,0.3,1593,0.4,1463,0.5,1677,0.7
2,6,1,2,3,魚肉練製品,604,0.2,197,0.1,340,0.1,510,0.2,534,0.2,578,0.1,560,0.1,845,0.2,705,0.3,712,0.3
2,6,1,2,4,他の魚介加工品,820,0.3,427,0.2,417,0.2,581,0.2,907,0.3,629,0.2,963,0.3,1033,0.3,948,0.4,883,0.4
2,5,1,3,0,肉類,7352,2.3,5173,1.8,5193,2,7395,2.3,9480,2.8,10460,2.7,8372,2.2,8186,2,6421,2.4,5837,2.4
2,6,1,3,1,生鮮肉,6013,1.9,4248,1.5,4151,1.6,5772,1.8,7775,2.3,8555,2.2,6695,1.8,6637,1.6,5366,2,4972,2.1
2,6,1,3,2,加工肉,1339,0.4,924,0.3,1042,0.4,1623,0.5,1705,0.5,1905,0.5,1678,0.4,1548,0.4,1055,0.4,865,0.4
2,5,1,4,0,乳卵類,4128,1.3,3007,1.1,4041,1.5,4790,1.5,4064,1.2,4215,1.1,4084,1.1,4887,1.2,3992,1.5,3777,1.6
2,6,1,4,1,牛乳,1375,0.4,1047,0.4,1313,0.5,1435,0.5,1369,0.4,1391,0.4,1259,0.3,1435,0.4,1430,0.5,1438,0.6
2,6,1,4,2,乳製品,1962,0.6,1388,0.5,2125,0.8,2431,0.8,1884,0.6,2008,0.5,2053,0.5,2587,0.6,1762,0.7,1626,0.7
2,6,1,4,3,卵,792,0.3,573,0.2,603,0.2,925,0.3,811,0.2,816,0.2,772,0.2,866,0.2,801,0.3,712,0.3
2,5,1,5,0,野菜・海藻,9615,3.1,5308,1.9,6012,2.3,8109,2.5,9481,2.8,9091,2.3,10342,2.8,11602,2.9,10758,4,10675,4.4
2,6,1,5,1,生鮮野菜,6507,2.1,3584,1.3,4480,1.7,5531,1.7,6603,1.9,6291,1.6,7101,1.9,7818,1.9,7127,2.6,7004,2.9
2,6,1,5,2,乾物・海藻,736,0.2,286,0.1,370,0.1,583,0.2,748,0.2,659,0.2,693,0.2,890,0.2,889,0.3,937,0.4
2,6,1,5,3,大豆加工品,1221,0.4,721,0.3,700,0.3,1168,0.4,1153,0.3,1198,0.3,1342,0.4,1490,0.4,1327,0.5,1295,0.5
2,6,1,5,4,他の野菜・海藻加工品,1150,0.4,717,0.3,463,0.2,827,0.3,977,0.3,943,0.2,1206,0.3,1404,0.3,1415,0.5,1439,0.6
2,5,1,6,0,果物,3208,1,1170,0.4,1974,0.8,2593,0.8,2885,0.8,2709,0.7,3229,0.9,3680,0.9,3949,1.5,3958,1.6
2,6,1,6,1,生鮮果物,2883,0.9,1106,0.4,1794,0.7,2304,0.7,2480,0.7,2516,0.6,2685,0.7,3199,0.8,3615,1.3,3640,1.5
2,6,1,6,2,果物加工品,325,0.1,65,0,180,0.1,290,0.1,404,0.1,193,0,544,0.1,481,0.1,334,0.1,317,0.1
2,5,1,7,0,油脂・調味料,3669,1.2,2718,1,2739,1,3724,1.2,3894,1.1,3908,1,3199,0.9,4441,1.1,3747,1.4,3374,1.4
2,6,1,7,1,油脂,403,0.1,219,0.1,281,0.1,493,0.2,423,0.1,310,0.1,365,0.1,428,0.1,451,0.2,312,0.1
2,6,1,7,2,調味料,3265,1,2499,0.9,2458,0.9,3231,1,3471,1,3598,0.9,2834,0.8,4013,1,3296,1.2,3062,1.3
2,5,1,8,0,菓子類,5524,1.8,5289,1.9,6099,2.3,6902,2.2,6967,2,6470,1.7,6066,1.6,6605,1.6,4248,1.6,3948,1.6
2,5,1,9,0,調理食品,10062,3.2,6749,2.4,8034,3.1,8577,2.7,10443,3.1,10032,2.6,12354,3.3,13398,3.3,9942,3.7,10343,4.3
2,6,1,9,1,主食的調理食品,4363,1.4,3404,1.2,3783,1.4,4103,1.3,4477,1.3,3941,1,4977,1.3,5224,1.3,4420,1.6,4187,1.7
2,6,1,9,2,他の調理食品,5699,1.8,3345,1.2,4251,1.6,4474,1.4,5966,1.7,6091,1.6,7378,2,8174,2,5522,2,6156,2.6
2,5,1,10,0,飲料,4003,1.3,3860,1.4,3820,1.5,4570,1.4,4563,1.3,5239,1.4,5211,1.4,4840,1.2,3072,1.1,2876,1.2
2,6,1,10,1,茶類,949,0.3,672,0.2,758,0.3,850,0.3,809,0.2,841,0.2,1720,0.5,1322,0.3,868,0.3,957,0.4
2,6,1,10,2,コーヒー・ココア,920,0.3,884,0.3,603,0.2,1245,0.4,854,0.3,1365,0.4,1081,0.3,1040,0.3,746,0.3,544,0.2
2,6,1,10,3,他の飲料,2134,0.7,2304,0.8,2459,0.9,2475,0.8,2899,0.8,3034,0.8,2409,0.6,2478,0.6,1458,0.5,1375,0.6
2,5,1,11,0,酒類,3448,1.1,1754,0.6,1097,0.4,3330,1,5227,1.5,2987,0.8,4953,1.3,5432,1.3,3056,1.1,2218,0.9
2,5,1,12,0,外食,17308,5.5,20775,7.3,19037,7.3,21790,6.8,24535,7.2,18075,4.7,21224,5.6,20215,5,12197,4.5,8690,3.6
2,6,1,12,1,一般外食,16516,5.2,20071,7.1,17499,6.7,18429,5.8,22425,6.6,16944,4.4,20859,5.6,20215,5,12197,4.5,8690,3.6
2,6,1,12,2,学校給食,792,0.3,705,0.2,1539,0.6,3360,1.1,2110,0.6,1130,0.3,365,0.1,-,-,-,-,-,-
2,4,2,0,0,住居,28243,9,57456,20.3,47398,18.1,28727,9,22789,6.7,29435,7.6,26538,7.1,39323,9.7,18915,7,22940,9.5
2,5,2,1,0,家賃地代,19698,6.3,57197,20.2,46846,17.9,27928,8.8,20317,6,26705,6.9,14642,3.9,3983,1,10424,3.9,9050,3.8
2,5,2,2,0,設備修繕・維持,8545,2.7,259,0.1,552,0.2,800,0.3,2472,0.7,2730,0.7,11896,3.2,35340,8.7,8491,3.1,13890,5.8
2,6,2,2,1,設備材料,1529,0.5,56,0,152,0.1,53,0,148,0,159,0,630,0.2,7296,1.8,1722,0.6,3584,1.5
2,6,2,2,2,工事その他のサービス,7016,2.2,203,0.1,400,0.2,746,0.2,2324,0.7,2571,0.7,11267,3,28044,6.9,6769,2.5,10306,4.3
