年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成20年平均,2008,,29.2,30.4,31.5,31.9,28.8,28.8,27.6,27.5
nen,平成21年平均,2009,,29.1,32.9,32.8,31.1,30.7,29.8,26.8,24.4
nen,平成22年平均,2010,,28.4,28.5,34.5,31.3,30.9,26.8,27.8,23.3
nen,平成23年平均,2011,,30.2,32.1,29.8,33.3,34.9,28.1,29.3,26.7
nen,平成24年平均,2012,,29.6,30.8,31.3,35.2,30.8,29.4,27,26.5
nen,平成25年平均,2013,,30,30.2,33,34,29.5,28.6,29.8,27.2
nen,平成26年平均,2014,,28.7,29,27.3,29.7,29,29.8,32,24.8
tuki,平成26年7月,2014,7,26.2,24.1,26.5,30.2,25.4,26.2,24,27.6
tuki,平成26年8月,2014,8,25.3,26.4,25.2,26.2,27,29.8,24.6,19.8
tuki,平成26年9月,2014,9,28.5,24.9,16.5,34.3,27.2,31.5,36.3,29.8
tuki,平成26年10月,2014,10,31,24.3,29.3,34.8,30.9,29.6,36.9,29.3
tuki,平成26年11月,2014,11,28.2,28.8,28.5,31.4,29.6,28.7,30,23.5
tuki,平成26年12月,2014,12,26.5,28.7,35.6,27.7,25,29.5,22.9,22
tuki,平成27年1月,2015,1,29.9,29.5,37.6,25.4,37.4,32.8,28.3,23.8
tuki,平成27年2月,2015,2,31,30,36.7,34.6,35.8,31.1,30.4,24.4
tuki,平成27年3月,2015,3,30.8,33.3,30.9,34.2,31.4,31.9,34.5,24.2
tuki,平成27年4月,2015,4,38.8,35.8,34.5,33.9,39.4,42.4,41.1,39.7
tuki,平成27年5月,2015,5,28.6,32.5,30.8,30,29.5,28,23.6,28.3
tuki,平成27年6月,2015,6,26.6,29.2,28.7,35,29,25.4,20.5,25.8
tuki,平成27年7月,2015,7,25.5,23.7,29.8,26.9,24.4,22.5,29.2,22.9
,,,,,,,,,,,
東京都生計分析調査　平成27年7月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
公共的料金負担率〔＝（公共的料金÷消費支出）×１００〕,,,,,,,,,,,
