区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,742,-,-,103,-,110,-,107,-,107,-,106,-,110,-,99,-
0,0,世帯人員,2.89,-,-,2.58,-,2.63,-,2.74,-,2.91,-,3.1,-,3.24,-,3.03,-
0,0,有業人員,1.26,-,-,1.11,-,1.03,-,1.29,-,1.26,-,1.43,-,1.43,-,1.28,-
0,0,世帯主平均年齢,59.1,-,-,62.4,-,64.2,-,60.2,-,57.2,-,55.2,-,57.4,-,57.3,-
0,0,消費支出,286796,100,0,110493,100,162355,100,197759,100,241002,100,290151,100,367525,100,636999,100
1,0,商品,144847,50.5,-,77770,70.4,105053,64.7,119494,60.4,133799,55.5,144791,49.9,177777,48.4,254824,40
1,1,耐久財,11380,4,34.3,468,0.4,1960,1.2,3245,1.6,4639,1.9,4666,1.6,12327,3.4,52264,8.2
1,2,半耐久財,21089,7.4,-,6154,5.6,8081,5,13937,7,21066,8.7,20660,7.1,31137,8.5,46497,7.3
1,3,非耐久財,112378,39.2,-,71148,64.4,95011,58.5,102313,51.7,108093,44.9,119465,41.2,134313,36.5,156062,24.5
1,0,サービス,141949,49.5,-,32723,29.6,57302,35.3,78265,39.6,107203,44.5,145359,50.1,189748,51.6,382176,60
2,0,食料,92969,32.4,2.5,53067,48,72015,44.4,81238,41.1,86334,35.8,100811,34.7,109489,29.8,147568,23.2
2,3,非耐久財,70864,24.7,3.3,45460,41.1,59716,36.8,64664,32.7,68968,28.6,74545,25.7,83493,22.7,99057,15.6
2,4,サービス,22105,7.7,0.1,7607,6.9,12300,7.6,16574,8.4,17366,7.2,26266,9.1,25996,7.1,48511,7.6
2,0,住居,27333,9.5,49.7,3121,2.8,5507,3.4,12201,6.2,27779,11.5,30576,10.5,27576,7.5,84368,13.2
2,1,耐久財,2361,0.8,111.6,-,-,-,-,8,0,439,0.2,-,-,1074,0.3,14978,2.4
2,2,半耐久財,446,0.2,262.6,32,0,207,0.1,254,0.1,131,0.1,96,0,366,0.1,2036,0.3
2,4,サービス,24526,8.6,44.1,3089,2.8,5300,3.3,11939,6,27209,11.3,30480,10.5,26136,7.1,67354,10.6
2,0,光熱・水道（非耐久財）,19807,6.9,-6.4,14553,13.2,19074,11.7,18201,9.2,20218,8.4,20092,6.9,23290,6.3,23200,3.6
2,0,家具・家事用品,12230,4.3,22.2,3298,3,5253,3.2,7341,3.7,8976,3.7,8333,2.9,14430,3.9,37914,6
2,1,耐久財,5235,1.8,79.2,143,0.1,1020,0.6,1319,0.7,2705,1.1,1724,0.6,5487,1.5,24207,3.8
2,2,半耐久財,3563,1.2,5.9,1384,1.3,1565,1,2483,1.3,3312,1.4,2519,0.9,5180,1.4,8489,1.3
2,3,非耐久財,2724,0.9,3.9,1481,1.3,2193,1.4,2751,1.4,2689,1.1,3147,1.1,3353,0.9,3445,0.5
2,4,サービス,708,0.2,-35.7,290,0.3,475,0.3,789,0.4,269,0.1,944,0.3,410,0.1,1772,0.3
2,0,被服及び履物,11094,3.9,-10.1,3518,3.2,4105,2.5,7150,3.6,12102,5,11042,3.8,17276,4.7,22421,3.5
2,2,半耐久財,10380,3.6,-10.8,3420,3.1,3837,2.4,6831,3.5,11506,4.8,10457,3.6,16272,4.4,20300,3.2
2,4,サービス,714,0.2,1.9,97,0.1,269,0.2,319,0.2,596,0.2,585,0.2,1004,0.3,2121,0.3
2,0,保健医療,14100,4.9,-12,5624,5.1,8587,5.3,12062,6.1,8409,3.5,10366,3.6,18622,5.1,34977,5.5
2,1,耐久財,753,0.3,-47.3,72,0.1,391,0.2,1211,0.6,358,0.1,1,0,807,0.2,2427,0.4
2,2,半耐久財,263,0.1,-78.5,174,0.2,56,0,114,0.1,128,0.1,831,0.3,212,0.1,325,0.1
2,3,非耐久財,4690,1.6,-2,2631,2.4,4296,2.6,4760,2.4,3764,1.6,4613,1.6,6100,1.7,6660,1
