"年度","内訳","健診 40歳以上 基本検査受診者[人]","健診 40歳以上 詳細・港区独自検査受診者[人]","健診 40歳以上 所見のある人[人]","区民健診(30健診)30歳以上39歳以下 受診者[人]","区民健診(30健診)30歳以上39歳以下 要指導[人]","区民健診(30健診)30歳以上39歳以下 要医療[人]"
"2017",,"23009","24749","21043","933","713","104"
"2018",,"22354","23988","20702","2616","1520","67"
"2019",,"22372","23923","20776","2609","1619","55"
"2020",,"19607","20892","18243","2509","1543","76"
"2021",,"21372","22843","20065","2642","1609","54"
"2021","特定健診","12049","12002","11046",,,
"2021","後期高齢者(長寿)医療制度の健診","8448","8448","8203",,,
"2021","基本健診","875","873","816",,,
"2021","集合契約","0","1520","0",,,

"令和4年度港区行政資料集　健康診査","Ver202203",,,,,,
