団体名,同意等額２６年度（百万円）A,同意等額２５年度（百万円）B,同意等額増減（百万円）C=A-B,同意等額増減率（%）C/B
八王子市,11840.600,14281.400,-2440.800,-17.100
立川市,3972.700,3678.500,294.200,8.000
武蔵野市,1855.600,3954.700,-2099.100,-53.100
三鷹市,2538.100,3396.700,-858.600,-25.300
青梅市,4148.687,5073.210,-924.523,-18.200
府中市,760.100,246.600,513.500,208.200
昭島市,1893.400,2193.800,-300.400,-13.700
調布市,862.500,1001.500,-139.000,-13.900
町田市,8065.200,9032.100,-966.900,-10.700
小金井市,348.700,2280.200,-1931.500,-84.700
小平市,3042.401,3872.800,-830.399,-21.400
日野市,2260.500,1831.400,429.100,23.400
東村山市,4815.395,5824.158,-1008.763,-17.300
国分寺市,1936.170,2324.700,-388.530,-16.700
国立市,1795.300,1453.000,342.300,23.600
福生市,421.000,605.800,-184.800,-30.500
狛江市,2025.900,2122.300,-96.400,-4.500
東大和市,2294.442,2454.022,-159.580,-6.500
清瀬市,2016.700,2286.300,-269.600,-11.800
東久留米市,2601.407,2904.935,-303.528,-10.400
武蔵村山市,1441.463,1589.991,-148.528,-9.300
多摩市,368.300,791.000,-422.700,-53.400
稲城市,4120.790,2609.628,1511.162,57.900
羽村市,666.800,1016.300,-349.500,-34.400
あきる野市,3371.307,4222.397,-851.090,-20.200
西東京市,4964.758,5422.627,-457.869,-8.400
市計,74428.220,86470.068,-12041.848,-13.900
瑞穂町,143.100,312.800,-169.700,-54.300
日の出町,415.363,590.076,-174.713,-29.600
檜原村,237.070,283.792,-46.722,-16.500
奥多摩町,623.974,677.322,-53.348,-7.900
大島町,659.832,1463.945,-804.113,-54.900
利島村,16.396,17.000,-0.604,-3.600
新島村,231.860,448.541,-216.681,-48.300
神津島村,69.762,52.954,16.808,31.700
三宅村,309.726,259.643,50.083,19.300
御蔵島村,21.000,23.000,-2.000,-8.700
八丈町,453.622,595.690,-142.068,-23.800
青ヶ島村,0.000,0.000,0.000,0.000
小笠原村,208.200,315.100,-106.900,-33.900
町村計,3389.905,5039.863,-1649.958,-32.700
市町村計,77818.125,91509.931,-13691.806,-15.000
阿伎留病院企業団,178.000,1079.000,-901.000,-83.500
西多摩衛生組合,243.500,340.200,-96.700,-28.400
西秋川衛生組合,188.100,2594.500,-2406.400,-92.800
福生病院組合,152.800,0.000,152.800,皆増
一部事務組合計,762.400,4013.700,-3251.300,-81.000
総合計,78580.525,95523.631,-16943.106,-17.700
