区市町村名,市町制   施行日,郵便番号,所在地,電話番号,面積（km2）,町丁目数,住民基本台帳記載数・世帯数（世帯）,住民基本台帳記載数・人口・計（人）,住民基本台帳記載数・人口・男（人）,住民基本台帳記載数・人口・女（人）,住民基本台帳記載数・人口・うち外国人人口（人）,住民基本台帳記載数・人口・H27.1.1（人）,住民基本台帳記載数・人口・対前年増減（人）,区分
八王子市,T 6. 9. 1,192-8501,八王子市元本郷町3-24-1,042-626-3111,186.38,199,259729,562795,281998,280797,10060,562572,223,八
立川市,S15.12. 1,190-8666,立川市泉町1156-9,042-523-2111,24.36,79,87091,179796,89629,90167,3563,179090,706,立
武蔵野市,S22.11. 3,180-8777,武蔵野市緑町2-2-28,0422-51-5131,10.98,51,74684,143262,68760,74502,2583,142138,1124,武
三鷹市,S25.11. 3,181-8555,三鷹市野崎1-1-1,0422-45-1151,16.42,62,90742,182897,89608,93289,3013,182092,805,三
青梅市,S26. 4. 1,198-8701,青梅市東青梅1-11-1,0428-22-1111,103.31,144,61897,136750,68617,68133,1566,137052,△ 302,青
府中市,S29. 4. 1,183-8703,府中市宮西町2-24,042-364-4111,29.43,147,121495,256748,129681,127067,4468,254551,2197,府
昭島市,S29. 5. 1,196-8511,昭島市田中町1-17-1,042-544-5111,17.34,78,52517,112897,56363,56534,2327,112727,170,昭
調布市,S30. 4. 1,182-8511,調布市小島町2-35-1,042-481-7111,21.58,103,112992,226413,111062,115351,3799,224191,2222,調
町田市,S33. 2. 1,194-8520,町田市森野2－2－22,042-722-3111,71.8,170,190100,426937,209797,217140,5144,426648,289,町
小金井市,S33.10. 1,184-8504,小金井市本町6-6-3,042-383-1111,11.3,45,58011,117978,58439,59539,2143,117427,551,金
小平市,S37.10. 1,187-8701,小平市小川町2-1333,042-341-1211,20.51,75,88016,188609,93107,95502,4296,186958,1651,平
日野市,S38.11. 3,191-8686,日野市神明1-12-1,042-585-1111,27.55,110,85408,182765,91988,90777,2719,180975,1790,日
東村山市,S39. 4. 1,189-8501,東村山市本町1-2-3,042-393-5111,17.14,53,70795,150858,73955,76903,2391,151412,△ 554,東
国分寺市,S39.11. 3,185-8501,国分寺市戸倉1-6-1,042-325-0111,11.46,70,57511,119940,59333,60607,1838,119379,561,分
国立市,S42. 1. 1,186-8501,国立市富士見台2-47-1,042-576-2111,8.15,29,36368,74971,36765,38206,1399,74558,413,国
福生市,S45. 7. 1,197-8501,福生市本町5,042-551-1511,10.16,20,29711,58613,29445,29168,3025,58553,60,福
狛江市,S45.10. 1,201-8585,狛江市和泉本町1-1-5,03-3430-1111,6.39,41,40192,80008,38981,41027,1088,79096,912,狛
東大和市,S45.10. 1,207-8585,東大和市中央3-930,042-563-2111,13.42,76,37966,86101,42539,43562,1087,86162,△ 61,大
清瀬市,S45.10. 1,204-8511,清瀬市中里5-842,042-492-5111,10.23,43,34388,74403,35998,38405,1112,74374,29,清
東久留米市,S45.10. 1,203-8555,東久留米市本町3-3-1,042-470-7777,12.88,80,52915,117128,57362,59766,1804,116494,634,久
武蔵村山市,S45.11. 3,208-8501,武蔵村山市本町1-1-1,042-565-1111,15.32,65,30662,72243,36079,36164,1369,72092,151,村
多摩市,S46.11. 1,206-8666,多摩市関戸6-12-1,042-375-8111,21.01,84,69312,147849,72508,75341,2155,147486,363,多
稲城市,S46.11. 1,206-8601,稲城市東長沼2111,042-378-2111,17.97,23,37780,87461,44113,43348,1110,86594,867,稲
