区市町村名,区長・氏名,区長・任期,副区長・氏名,副区長・任期,※収入役・氏名,※収入役・任期,教育長・氏名,教育長・任期,給料月額（条例本則）・区長（円）,給料月額（条例本則）・副区長（円）,給料月額（条例本則）・収入役（円）,給料月額（条例本則）・教育長（円）,給料月額（条例本則）・適用年月日,給料月額（減額措置適用後の額）・区長（円）,給料月額（減額措置適用後の額）・副区長（円）,給料月額（減額措置適用後の額）・収入役（円）,給料月額（減額措置適用後の額）・教育長（円）,給料月額（減額措置適用後の額）・適用年月日,区分
千代田区,石川　雅己,H29.2.7,山口　正紀,H29.10.17,－,－,島崎　友四郎,H29.10.18,1280000,1022000,－,895000,H25.1.1,1229000,982000,－,859000,H25.3.1,千
中央区,矢田　美英,H31.4.26,齊藤　進／吉田　不曇,H31.6.30／H29.11.30,－,－,島田　勝敏,R1.6.30,1148000,920000,－,822000,H28.4.1,1148000,920000,－,822000,適用なし,中
港区,武井　雅昭,H28.6.27,田中　秀司／小柳津　明,H28.7.31／H29.10.15,－,－,小池　眞喜夫,H28.10.11,1253000,1008000,－,872000,H27.1.1（教育長はH27.4.1),1253000,1008000,－,872000,適用なし,港
新宿区,吉住　健一,H30.11.23,野口　則行／鈴木　昭利,H31.8.31／H32.3.31,－,－,酒井　敏男,H28.12.7,1164000,934000,－,796000,H28.1.1,1164000,934000,－,796000,適用なし,新
文京区,成澤　廣修,H31.4.26,瀧　康弘,R1.6.12,－,－,南　新平,H30.7.7,1252400,1013500,－,926200,H28.1.1,1252400,1013500,－,926200,適用なし,文
台東区,服部　征夫,H31.2.28,荒川　聡一郎,R1.5.18,－,－,和田　人志,H28.10.7,1138000,914000,－,785000,H7.10.1,1138000,914000,－,785000,適用なし,台
墨田区,山本　亨,H31.4.26,高野　祐次,R1.5.24,－,－,加藤　裕之,R1.9.30,1135000,916000,－,848000,H28.1.1,1135000,916000,－,848000,適用なし,墨
江東区,山﨑　孝明,H31.4.26,大井　哲爾／海老澤　孝史,H32.3.31／H31.5.25,－,－,岩佐　哲男,H29.3.31,1157000,924000,－,796000,H28.4.1,1157000,924000,－,796000,適用なし,江
品川区,濱野　健,H30.10.7,桑村　正敏／中川原　史恵,H30.10.31／H31.3.31,－,－,中島　豊,H29.4.12,1146000,920000,－,801000,H26.4.1,1146000,920000,－,801000,適用なし,品
目黒区,青木　英二,H28.4.24,鈴木　勝,H28.9.30,－,－,尾﨑　富雄,H28.9.30,1058000,846000,－,740000,H28.1.1,1058000,846000,－,740000,適用なし,目
大田区,松原　忠義,H31.4.26,幸田　昭一／遠藤　久,H29.6.30／H31.5.31,－,－,津村　正純,H29.12.21,1159000,930000,－,782000,H27.12.1,1159000,930000,－,782000,適用なし,大
世田谷区,保坂　展人,H31.4.26,板垣　正幸／宮崎　健二,H31.5.23／H31.5.23,－,－,堀　恵子,H28.11.30,1074800,862500,740000,732000,H27.4.1,1074800,862500,740000,732000,適用なし,世
渋谷区,長谷部　健,H31.4.26,千葉　博康／澤田　伸,H29.9.30／H31.9.30,－,－,森　富子,H30.3.31,1104500,902700,－,810400,H27.12.1,1104500,902700,－,810400,適用なし,渋
中野区,田中　大輔,H30.6.14,川崎　　亨／本田　武志,H30.6.26／H31.7.13,－,－,田辺　裕子,H30.3.31,1245600,999900,－,876400,H28.3.1,1245600,999900,－,876400,適用なし,中
杉並区,田中　良,H30.7.10,宇賀神　雅彦,H30.10.14,－,－,井出　隆安,H30.3.31,1116400,894600,－,766700,H27.11.1,1116400,894600,－,766700,適用なし,杉
豊島区,高野　之夫,H31.4.26,水島　正彦／宿本　尚吾,H30.3.31／H32.3.31,－,－,三田　一則,H29.1.4,973500,827500,－,725500,H27.4.1,973500,827500,－,725500,適用なし,豊
北区,花川　與惣太,H31.4.26,山田　統二／内田　隆,H31.8.11／H31.12.6,－,－,清正　浩靖,H30.12.6,1152300,922900,－,795000,Ｈ27.4.1（教育長はＨ28.4.1）,1152300,922900,－,795000,適用なし,北
荒川区,西川　太一郎,H28.11.13,佐藤　安夫／北川　嘉昭,H29.3.31／H30.8.3,－,－,高梨　博和,H29.4.1,1147000,920000,－,787000,H28.4.1,1147000,920000,－,787000,適用なし,荒
板橋区,坂本　健,H31.4.26,橋本　正彦,R1.6.30,－,－,中川　修一,H30.6.30,1135000,910000,－,835000,H7.5.1（教育長はH27.7.1）,1135000,910000,－,835000,適用なし,板
練馬区,前川　燿男,H30.4.19,黒田　叔孝／山内　隆夫,H31.6.14／H30.6.19,－,－,河口　浩,H30.6.30,1138000,910000,－,854000,H26.4.1,1138000,910000,－,854000,適用なし,練
足立区,近藤　弥生,R1.6.19,石川　義夫,H30.6.22,－,－,定野　司,H30.3.31,1078800,864900,－,745800,H27.4.1,1078800,864900,－,745800,適用なし,足
葛飾区,青木　克德,H29.12.18,久野　清福／筧　晃一,H30.1.9,－,－,塩澤　雄一,H28.10.4,1126000,918000,－,782000,H27.12.1,1126000,918000,－,782000,適用なし,葛
