団体名,法適用企業分・上水道（千円）,法適用企業分・工業用水道（千円）,法適用企業分・交　　通（千円）,法適用企業分・病　　院（千円）,法非適用企業分・簡易水道（千円）,法非適用企業分・下水道（千円）,法非適用企業分・と畜場（千円）,法非適用企業分・観光施設（千円）,法非適用企業分・宅地造成（千円）,法非適用企業分・駐車場整備（千円）,法非適用企業分・介護ｻｰﾋﾞｽ（千円）,合計（千円）,都貸付金（千円）,区分
市町村組合計,12165868,190955,52656,66277022,1850954,383132274,0,18425,6927900,2962359,2125963,475704376,10355957,
市計,8262658,0,0,33253325,0,367066807,0,0,6927900,2962359,2095578,420568627,6758933,
町村計,3903210,0,52656,1954478,1850954,16065467,0,18425,0,0,30385,23875575,3559028,
一部事務組合計,0,190955,0,31069219,0,0,0,0,0,0,0,31260174,37996,
八王子市,0,0,0,0,0,81063020,0,0,0,2728330,112408,83903758,1806460,八
立川市,0,0,0,0,0,17533940,0,0,0,0,0,17533940,107084,立
武蔵野市,4269852,0,0,0,0,7899680,0,0,0,0,0,12169532,125883,武
三鷹市,0,0,0,0,0,10831606,0,0,0,0,477667,11309273,75950,三
青梅市,0,0,0,7189761,0,19592192,0,0,0,0,,26781953,453860,青
府中市,0,0,0,0,0,4978926,0,0,0,0,0,4978926,4329,府
昭島市,354455,0,0,0,0,5893007,0,0,0,0,0,6247462,14049,昭
調布市,0,0,0,0,0,6072838,0,0,0,0,314620,6387458,212000,調
町田市,0,0,0,13319269,0,50023520,0,0,0,0,221221,63564010,0,町
小金井市,0,0,0,0,0,1669424,0,0,0,0,0,1669424,38159,金
小平市,0,0,0,0,0,9525196,0,0,0,0,0,9525196,567192,平
日野市,0,0,0,7779540,0,25416340,0,0,0,0,0,33195880,496830,日
東村山市,0,0,0,0,0,19855496,0,0,0,0,0,19855496,241079,東
国分寺市,0,0,0,0,0,10596913,0,0,5778800,0,752389,17128102,1286958,分
国立市,0,0,0,0,0,10803101,0,0,0,0,0,10803101,105082,国
福生市,0,0,0,0,0,4522388,0,0,0,0,0,4522388,0,福
狛江市,0,0,0,0,0,3938083,0,0,0,37949,0,3976032,0,狛
東大和市,0,0,0,0,0,11411356,0,0,0,0,66070,11477426,42642,東
清瀬市,0,0,0,0,0,4302455,0,0,0,167680,0,4470135,54425,清
東久留米市,0,0,0,0,0,11334468,0,0,0,0,27436,11361904,538712,久
武蔵村山市,0,0,0,0,0,2023342,0,0,1149100,0,22778,3195220,54204,村
多摩市,0,0,0,0,0,1457103,0,0,0,0,52189,1509292,0,多
稲城市,0,0,0,4964755,0,7748904,0,0,0,0,0,12713659,34574,稲
羽村市,3638351,0,0,0,0,5571142,0,0,0,0,0,9209493,18996,羽
あきる野市,0,0,0,0,0,23103679,0,0,0,0,0,23103679,338279,あ
西東京市,0,0,0,0,0,9898688,0,0,0,28400,48800,9975888,142186,西
瑞穂町,0,0,0,0,0,2435801,0,0,0,0,0,2435801,0,瑞
日の出町,0,0,0,0,0,6094322,0,0,0,0,0,6094322,63793,日
檜原村,0,0,0,0,83465,1958497,0,0,0,0,0,2041962,7816,檜
奥多摩町,0,0,0,99606,0,4247616,0,0,0,0,30385,4377607,111353,奥
大島町,1674777,0,0,0,0,0,0,0,0,0,0,1674777,1444083,大
利島村,0,0,0,0,29079,88872,0,0,0,0,0,117951,0,利
新島村,0,0,0,0,143401,923863,0,0,0,0,0,1067264,0,新
神津島村,0,0,0,0,69351,197327,0,0,0,0,0,266678,15789,神
三宅村,0,0,0,0,323526,0,0,0,0,0,0,323526,64580,三
御蔵島村,0,0,0,0,37540,0,0,18425,0,0,0,55965,55965,御
八丈町,2228433,0,52656,1854872,0,56500,0,0,0,0,0,4192461,1795649,八
青ヶ島村,0,0,0,0,110134,9480,0,0,0,0,0,119614,0,青
小笠原村,0,0,0,0,1054458,53189,0,0,0,0,0,1107647,0,小
阿伎留病院企業団,0,0,0,11330145,0,0,0,0,0,0,0,11330145,0,阿
昭和病院企業団,0,0,0,10322018,0,0,0,0,0,0,0,10322018,37996,昭
青梅、羽村地区工業用水道企業団,0,190955,0,0,0,0,0,0,0,0,0,190955,0,青
福生病院組合,0,0,0,9417056,0,0,0,0,0,0,0,9417056,0,福
