区分,基準財政需要額（千円）　ア,基準財政収入額（千円）　イ,交付基準額（ア－イ）（千円）　ウ,調整額（ア×0.000000000）　エ,普通交付税決定額（千円）（ウーエ）　オ,対前年度比較26年度決定額（追加交付後）（千円）　カ,増減額（オ－カ）（千円）　キ,増減率（キ／カ×100）（%）　,区分
特別区,1582124624,2311466509,0,0,0,0,0,-,特
八王子市,79952855,75651811,4301044,0,4301044,4310984,-9940,-0.2,八
立川市,27287855,31174772,0,0,0,0,0,-,立
武蔵野市,20224768,30048682,0,0,0,0,0,-,武
三鷹市,25989079,30414124,0,0,0,0,0,-,三
青梅市,19700036,17431057,2268979,0,2268979,2453194,-184215,-7.5,青
府中市,34787140,41307851,0,0,0,0,0,-,府
昭島市,16337843,16020597,317246,0,317246,586234,-268988,-45.9,昭
調布市,29313300,37464205,0,0,0,0,0,-,調
町田市,58152426,57139362,1013064,0,1013064,1381001,-367937,-26.6,町
小金井市,16261131,16775131,0,0,0,50436,-50436,皆減,金
小平市,26111483,25492476,619007,0,619007,748844,-129837,-17.3,平
日野市,25655699,25057428,598271,0,598271,1094582,-496311,-45.3,日
東村山市,21591197,17655008,3936189,0,3936189,3872172,64017,1.7,東
国分寺市,17799648,17978560,0,0,0,207102,-207102,皆減,分
国立市,11608693,11548208,60485,0,60485,117764,-57279,-48.6,国
福生市,8901612,6943598,1958014,0,1958014,2031802,-73788,-3.6,福
狛江市,11251322,9907638,1343684,0,1343684,1486502,-142818,-9.6,狛
東大和市,12154584,10468240,1686344,0,1686344,1780798,-94454,-5.3,大
清瀬市,11751664,8034757,3716907,0,3716907,3859369,-142462,-3.7,清
東久留米市,16777413,13976985,2800428,0,2800428,2889104,-88676,-3.1,久
武蔵村山市,10360451,8564447,1796004,0,1796004,1897534,-101530,-5.4,村
多摩市,20922783,23583588,0,0,0,0,0,-,多
稲城市,12680665,11948554,732111,0,732111,908147,-176036,-19.4,稲
羽村市,8798978,9069302,0,0,0,240094,-240094,皆減,羽
あきる野市,12699425,9242537,3456888,0,3456888,3504939,-48051,-1.4,あ
西東京市,29010161,25682539,3327622,0,3327622,3832318,-504696,-13.2,西
市　　計,586082211,588581457,33932287,0,33932287,37252920,-3320633,-8.9,
瑞穂町,5313199,5408921,0,0,0,16644,-16644,皆減,瑞
日の出町,3236073,2405737,830336,0,830336,813621,16715,2.1,日
檜原村,1357004,219622,1137382,0,1137382,1049419,87963,8.4,檜
奥多摩町,2263535,717692,1545843,0,1545843,1453647,92196,6.3,奥
西多摩計,12169811,8751972,3513561,0,3513561,3333331,180230,5.4,
大島町,2728502,968399,1760103,0,1760103,1676863,83240,5,大
利島村,321053,43264,277789,0,277789,259706,18083,7,利
新島村,1515636,330080,1185556,0,1185556,1084907,100649,9.3,新
神津島村,949732,222114,727618,0,727618,666988,60630,9.1,神
三宅村,1395737,331191,1064546,0,1064546,1019021,45525,4.5,三
御蔵島村,394662,44860,349802,0,349802,333101,16701,5,御
八丈町,3124811,960910,2163901,0,2163901,2044067,119834,5.9,八
青ヶ島村,293311,35412,257899,0,257899,255839,2060,0.8,青
小笠原村,1692153,422886,1269267,0,1269267,1197430,71837,6,小
島しょ計,12415597,3359116,9056481,0,9056481,8537922,518559,6.1,
町村計,24585408,12111088,12570042,0,12570042,11871253,698789,5.9,
市町村計,610667619,600692545,46502329,0,46502329,49124173,-2621844,-5.3,
区市町村計,2192792243,2912159054,46502329,0,46502329,49124173,-2621844,-5.3,
