区分,水道（千円）,工業用水道（千円）,交通（千円）,病院（千円）,26年度　合計（千円）,25年度　合計（千円）,増減率（%）
資本的収入（Ａ）,625113,0,19000,2166254,2810367,3981723,-29.4
資本的収入（Ａ）・企業債,190000,0,19000,612100,821100,1464300,-43.9
資本的収入（Ａ）・他会計繰入金,86195,0,0,965312,1051507,1226960,-14.3
資本的収入（Ａ）・他会計繰入金・出資金,0,0,0,194261,194261,216267,-10.2
資本的収入（Ａ）・他会計繰入金・負担金,54091,0,0,546974,601065,690832,-13.0
資本的収入（Ａ）・他会計繰入金・借入金,0,0,0,0,0,0,－　
資本的収入（Ａ）・他会計繰入金・補助金,32104,0,0,224077,256181,319861,-19.9
資本的収入（Ａ）・国庫補助金,19618,0,0,56568,76186,201644,-62.2
資本的収入（Ａ）・都補助金,271337,0,0,516838,788175,1031141,-23.6
資本的収入（Ａ）・その他,57963,0,0,15436,73399,57678,27.3
翌年度へ繰り越される支出の財源充当額（Ｂ）,0,0,0,0,0,0,－　
前年度同意等債で今年度収入分?,0,0,0,0,0,0,－　
純計Ａ－（Ｂ＋Ｃ）（Ｄ）,625113,0,19000,2166254,2810367,3981723,-29.4
資本的支出（Ｅ）,3497271,36383,32322,7015977,10581953,10750110,-1.6
資本的支出（Ｅ）・建設改良費,2564794,12595,21540,3133617,5732546,5319671,7.8
資本的支出（Ｅ）・建設改良費・うち職員給与費,88401,0,0,0,88401,96866,-8.7
資本的支出（Ｅ）・建設改良費・うち建設利息,0,0,0,0,0,0,－　
資本的支出（Ｅ）・企業債償還金,932477,23788,10782,3733274,4700321,5279995,-11.0
資本的支出（Ｅ）・他会計への支出金,0,0,0,0,0,0,－　
資本的支出（Ｅ）・その他,0,0,0,149086,149086,150444,-0.9
資本的収入額が資本的支出額に不足する額(E)-(D)(F),2872158,36383,13322,4849723,7771586,6768387,14.8
補てん財源(Ｇ）,2872158,36383,13322,4721881,7643744,6654813,14.9
補てん財源不足額(F)-(G)(Ｈ),0,0,0,127842,127842,113574,12.6
補てん財源不足率(H)/(E),0,0,0,2,1,1,0.1pt
