事業名,平成26年度同意額及び届出額A（百万円、%）,平成25年度同意額及び届出額B（百万円、%）,差引増減額C=A-B（百万円、%）, 増減率C/B（百万円、%）
一般会計債,75752.4 ,65366.7 ,10385.7 ,15.9 
(1)公共事業等,11957.0 ,14796.0 ,-2839.0 ,-19.2 
(2)公営住宅建設事業,529.0 ,506.0 ,23.0 ,4.5 
(3)災害復旧事業,0.0 ,123.0 ,-123.0 ,皆減
(4)学校教育施設等整備事業,19800.1 ,23058.5 ,-3258.4 ,-14.1 
(5)社会福祉施設整備事業,5434.0 ,4190.8 ,1243.2 ,29.7 
(6)一般廃棄物処理事業,6926.0 ,7214.0 ,-288.0 ,-4.0 
(7)一般補助施設整備等事業,4257.3 ,1714.4 ,2542.9 ,148.3 
(8)施設整備事業（一般財源化分）,0.0 ,0.0 ,0.0 ,0.0 
(9)一般事業,11790.0 ,7763.0 ,4027.0 ,51.9 
(10)地域活性化事業,0.0 ,122.0 ,-122.0 ,皆減
(11)防災対策事業,6.0 ,43.0 ,-37.0 ,-86.0 
(12)地方道路等整備事業,6394.0 ,5737.0 ,657.0 ,11.5 
(13)緊急防災・減災事業,386.0 ,99.0 ,287.0 ,289.9 
(14)全国防災事業,33.0 ,0.0 ,33.0 ,皆増
(15)公共用地先行取得等事業,8240.0 ,0.0 ,8240.0 ,皆増
公営企業債,0.0 ,80.0 ,-80.0 ,皆減
(1)病院事業・介護サービス事業,0.0 ,80.0 ,-80.0 ,皆減
(2)観光その他事業,0.0 ,0.0 ,0.0 ,0.0 
減収補塡債,0.0 ,0.0 ,0.0 ,0.0 
合計,75752.4 ,65446.7 ,10305.7 ,15.7 
