事業債,同意等額（百万円）,資金区分・財政融資（百万円）,資金区分・機構（百万円）,資金区分・職員共済（百万円）,資金区分・市有物件（百万円）,資金区分・振興協会（百万円）,資金区分・銀行等（百万円）,資金区分・市場公募（百万円）,資金区分・国の予算等
貸付金（百万円）
１　一般会計債,27771.400,10363.800,10030.600,164.200,128.900,5471.900,1612.000,0.000,0.000
(１)公共事業等,2619.200,1100.500,74.800,0.000,0.000,151.400,1292.500,0.000,0.000
(２)公営住宅建設事業,937.400,355.700,459.200,0.000,0.000,122.500,0.000,0.000,0.000
(３)災害復旧事業,114.200,114.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000
(４)全国防災事業,684.000,663.600,20.400,0.000,0.000,0.000,0.000,0.000,0.000
(５)教育・福祉施設等整備事業,12733.000,7152.300,4734.500,0.000,15.100,817.000,14.100,0.000,0.000
ア　学校教育施設等整備事業,9171.600,5524.900,2883.800,0.000,0.000,748.800,14.100,0.000,0.000
(ⅰ)　施設整備,8897.500,5259.500,2875.100,0.000,0.000,748.800,14.100,0.000,0.000
(ⅱ)　用地取得,274.100,265.400,8.700,0.000,0.000,0.000,0.000,0.000,0.000
イ　社会福祉施設整備事業,1918.900,0.000,1850.700,0.000,0.000,68.200,0.000,0.000,0.000
ウ　一般廃棄物処理事業,1475.600,1475.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000
エ　一般補助施設整備等事業,166.900,151.800,0.000,0.000,15.100,0.000,0.000,0.000,0.000
オ　施設整備事業（一般財源化分）,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
(６)一般単独事業,9706.100,0.000,4741.700,164.200,113.800,4381.000,305.400,0.000,0.000
ア　一般事業,3324.600,0.000,0.000,16.700,16.500,3002.800,288.600,0.000,0.000
イ　地域活性化事業,923.500,0.000,891.600,0.000,0.000,31.900,0.000,0.000,0.000
ウ　防災対策事業,223.600,0.000,106.200,14.500,40.200,62.700,0.000,0.000,0.000
エ　地方道路等整備事業,3395.200,0.000,2149.200,133.000,0.000,1113.000,0.000,0.000,0.000
オ　緊急防災・減災事業,1839.200,0.000,1594.700,0.000,57.100,170.600,16.800,0.000,0.000
(７)辺地及び過疎対策事業,977.500,977.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000
(８)公共用地先行取得等事業,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
２　公営企業債,17774.800,7038.400,7427.600,0.000,0.000,35.200,3273.600,0.000,0.000
(１)上水道事業,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
(２)簡易水道事業,57.000,57.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
(３)病院事業・介護サービス事業,645.500,180.800,402.700,0.000,0.000,0.000,62.000,0.000,0.000
(４)地域開発事業,586.100,0.000,0.000,0.000,0.000,35.200,550.900,0.000,0.000
(５)下水道事業,16486.200,6800.600,7024.900,0.000,0.000,0.000,2660.700,0.000,0.000
ア　公共下水道,13926.900,5339.800,6332.100,0.000,0.000,0.000,2255.000,0.000,0.000
イ　特定環境保全公共下水道,417.500,417.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ウ　流域下水道,2095.400,996.900,692.800,0.000,0.000,0.000,405.700,0.000,0.000
エ　特定地域生活排水処理施設,46.400,46.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000
(６)観光その他事業,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
３　被災施設借換債,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
４臨時財政対策債,33034.325,20368.443,12106.012,0.000,0.000,0.000,559.870,0.000,0.000
５退職手当債,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
６　国の予算等貸付金債,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
７減収補?債,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
８借換債（通常分）,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
合計,78580.525,37770.643,29564.212,164.200,128.900,5507.100,5445.470,0.000,0.000
