区分1,区分2,水道（千円）,工業用水道（千円）,交通（千円）,病院（千円）,26年度　合計（千円）,25年度　合計（千円）,増減率（%）
総収益,Ａ,7204098,55868,249256,80106783,87616005,86912178,0.8
総収益・経常収益,Ｂ,7058187,55868,207632,77131720,84453407,83781704,0.8
総収益・経常収益・営業収益,Ｃ,6554326,50962,102258,67076413,73783959,74587335,-1.1
総収益・経常収益・営業外収益,Ｄ,503861,4906,105374,10055307,10669448,9194369,16.0
総収益・特別利益,,145911,0,41624,2975063,3162598,3130979,1.0
総費用,Ｅ,6710831,76725,250343,85915802,92953701,88862737,4.6
総費用・経常費用,Ｆ,6090719,67818,214245,77656639,84029421,84682361,-0.8
総費用・経常費用・営業費用,Ｇ,5775721,60614,211127,72815820,78863282,80081720,-1.5
総費用・経常費用・営業外費用,Ｈ,314998,7204,3118,4840819,5166139,4600641,12.3
総費用・特別損失,,620112,8907,36098,8259163,8924280,4180376,113.5
経常損益・特別損失・経常利益,,1025873,0,0,1218342,2244215,1241281,80.8
経常損益・特別損失・経常損失,,58405,11950,6613,1743261,1820229,2141938,-15.0
純損益・特別損失・純利益,,652028,0,1868,1662698,2316594,1081266,114.2
純損益・特別損失・純損失,,158761,20857,2955,7471717,7654290,3031320,152.5
当年度未処分利益剰余金（未処理欠損金）,,4000059,137892,"△19,055","△23,640,816","△19,521,920","△24,765,187",-21.2
不良債務,I,5390,0,0,0,5390,0,皆増
流動資産,Ｊ,6066907,269447,171014,28403660,34911028,34552340,1.0
流動負債,Ｋ,2493504,26671,34112,12060669,14614956,6838336,113.7
赤字等の・経常損失,,2,1,2,6,11,8,　　　－
事業数・純損失,,3,1,1,7,12,8,　　　－
事業数・当年度未処理欠損金,,2,0,2,7,11,9,　　　－
事業数・不良債務,,1,0,0,0,1,0,　　　－
総収支比率,Ａ／Ｅ,107,73,100,93,94,98,-3.5pt
経常収支比率,Ｂ／Ｆ,116,82,97,99,101,99,1.6pt
営業収益対営業費用比率,Ｃ／Ｇ,114,84,48,92,94,93,0.4pt
営業外収益対営業外費用比率,Ｄ／Ｈ,160,68,3380,208,207,200,6.7pt
不良債務対営業収益比率,Ｉ／Ｃ,0,0,0,0,0,0,-
流動比率,Ｊ／Ｋ,243,1010,501,236,239,505,-266.4pt
