区分,簡易水道（千円）,下水道（千円）,と畜場（千円）,観光施設（千円）,宅地造成（千円）,駐車場（千円）,介護サービス（千円）,26年度　合計（千円）,25年度　合計（千円）,増減率（%）
収益的収支・総収益（Ａ）,481128,74521842,136,31591,162699,1111142,2829696,79138234,80653874,-1.9
収益的収支・料金収入,339802,51750874,0,30690,97408,694559,1758151,54671484,56988989,-4.1
収益的収支・国庫補助金,0,86285,0,0,0,0,442,86727,114133,-24.0
収益的収支・都補助金,8452,8420,0,0,0,0,46796,63668,33215,91.7
収益的収支・他会計繰入金,131749,22250067,136,171,41888,191523,870269,23485803,22616505,3.8
収益的収支・その他,1125,426196,0,730,23403,225060,154038,830552,901032,-7.8
収益的収支・総費用（Ｂ）,395964,45905048,136,33105,71851,747824,2817923,49971851,51280828,-2.6
収益的収支・職員給与費,94436,2622072,0,0,33612,8742,11514,2770376,2839647,-2.4
収益的収支・支払利息,27283,10583194,0,171,35449,65920,48126,10760143,11748169,-8.4
収益的収支・うち地方債利息,27283,10582805,0,171,34919,65920,48126,10759224,11741920,-8.4
収益的収支・その他,274245,32699782,136,32934,2790,673162,2758283,36441332,36693012,-0.7
収益的収支・差引（Ａ－Ｂ）,85164,28616794,0,-1514,90848,363318,11773,29166383,29373046,-0.7
資本的収支・資本的収入（Ｃ）,986520,26150450,0,2988,2856628,797008,782417,31576011,35325253,-10.6
資本的収支・地方債,199100,13638900,0,0,942800,0,141000,14921800,15433600,-3.3
資本的収支・他会計繰入金,97227,7413069,0,2988,885943,773008,540402,9712637,10466430,-7.2
資本的収支・出資金,0,0,0,0,0,0,0,0,0,－　
資本的収支・補助金,97227,7413069,0,2988,885943,773008,540402,9712637,10466430,-7.2
資本的収支・借入金,0,0,0,0,0,0,0,0,0,－　
資本的収支・国庫補助金,378209,4392823,0,0,503740,0,0,5274772,7058784,-25.3
資本的収支・都補助金,272931,239439,0,0,491640,0,12800,1016810,1762877,-42.3
資本的収支・その他,39053,466219,0,0,32505,24000,88215,649992,603562,7.7
資本的収支・資本的支出（Ｄ）,1072053,52827209,0,3346,2840442,1153091,794621,58690762,62205503,-5.7
資本的収支・建設改良費,961371,20862252,0,358,2755022,1296,326514,24906813,27200730,-8.4
資本的収支・うち職員給与費,0,1089619,0,0,151848,0,0,1241467,1232950,0.7
資本的収支・うち建設利息,0,0,0,0,0,0,0,0,0,－　
資本的収支・地方債償還金（Ｅ）,101188,31783241,0,2988,71400,1056872,468107,33483796,34296698,-2.4
資本的収支・他会計繰出金,0,154616,0,0,0,20722,0,175338,603827,-71.0
資本的収支・その他,9494,27100,0,0,14020,74201,0,124815,104248,19.7
資本的収支・差引（Ｃ－Ｄ）,-85533,-26676759,0,-358,16186,-356083,-12204,-27114751,-26880250,0.9
収入計(Ａ＋Ｃ)（Ｆ）,1467648,100672292,136,34579,3019327,1908150,3612113,110714245,115979127,-4.5
支出計(Ｂ＋Ｄ)（Ｇ）,1468017,98732257,136,36451,2912293,1900915,3612544,108662613,113486331,-4.3
収支再差引(Ｆ－Ｇ)（Ｈ）,-369,1940035,0,-1872,107034,7235,-431,2051632,2492796,-17.7
積立金（Ｉ）,424,1933359,0,0,403,6491,0,1940677,2569823,-24.5
前年度からの繰越金（Ｊ）,45524,2614035,0,2312,55165,8602,4826,2730464,2818227,-3.1
前年度繰上充用金（Ｋ）,0,0,0,0,0,0,0,0,0,－　
収益的支出充当他会計借入金（Ｌ）,0,0,0,0,0,0,0,0,0,－　
形式収支(H-I+J-K+L)（Ｍ）,44731,2620711,0,440,161796,9346,4395,2841419,2741200,3.7
翌年度に繰越すべき財源（Ｎ）,49,238652,0,0,14960,0,0,253661,207209,22.4
実質収支(M-N)・黒字（Ｏ）,44682,2382059,0,440,146836,9346,4395,2587758,2533991,2.1
赤字（Ｐ）,0,0,0,0,0,0,0,0,0,－　
赤字比率,0,0,0,0,0,0,0,0,0,－　
収益的収支比率Ａ/(Ｂ＋Ｅ),97,96,100,88,114,62,86,95,94,0.6pt
