市区町村コード,市区町村名,焼失棟数（冬早朝、風速4m）,焼失率（冬早朝、風速4m）,焼失棟数（冬昼、風速4m）,焼失率（冬昼、風速4m）,焼失棟数（冬夕、風速4m）,焼失率（冬夕、風速4m）,焼失棟数（冬早朝、風速8m）,焼失率（冬早朝、風速8m）,焼失棟数（冬昼、風速8m）,焼失率（冬昼、風速8m）,焼失棟数（冬夕、風速8m）,焼失率（冬夕、風速8m）
13101,千代田区,0,0,0,0,0,0,0,0,0,0,0,0
13102,中央区,0,0,1,0,1,0,0,0,1,0,1,0
13103,港区,1,0,4,0,4,0,1,0,5,0,6,0
13104,新宿区,11,0,23,0,43,0.001,12,0,24,0,44,0.001
13105,文京区,12,0,27,0.001,47,0.001,13,0,31,0.001,53,0.001
13106,台東区,16,0,40,0.001,60,0.001,17,0,41,0.001,61,0.002
13107,墨田区,121,0.003,228,0.005,382,0.008,123,0.003,230,0.005,386,0.008
13108,江東区,56,0.001,77,0.001,162,0.003,57,0.001,79,0.001,165,0.003
13109,品川区,300,0.005,538,0.008,999,0.015,353,0.005,632,0.01,1179,0.018
13110,目黒区,221,0.004,379,0.007,776,0.014,235,0.004,407,0.007,824,0.015
13111,大田区,893,0.006,1366,0.009,2574,0.017,1049,0.007,1590,0.011,3020,0.02
13112,世田谷区,874,0.005,1325,0.007,2634,0.015,957,0.005,1451,0.008,2880,0.016
13113,渋谷区,9,0,26,0.001,38,0.001,11,0,29,0.001,44,0.001
13114,中野区,139,0.002,238,0.003,478,0.007,147,0.002,255,0.004,510,0.007
13115,杉並区,1195,0.01,1929,0.016,3761,0.031,1211,0.01,1957,0.016,3814,0.031
13116,豊島区,75,0.001,148,0.003,281,0.005,87,0.002,170,0.003,324,0.006
13117,北区,48,0.001,78,0.001,159,0.002,49,0.001,81,0.001,166,0.002
13118,荒川区,56,0.001,99,0.002,173,0.004,58,0.001,104,0.002,181,0.004
13119,板橋区,96,0.001,159,0.002,320,0.003,105,0.001,174,0.002,350,0.003
13120,練馬区,748,0.005,1194,0.008,2150,0.014,770,0.005,1229,0.008,2210,0.015
13121,足立区,447,0.003,690,0.004,1212,0.007,466,0.003,720,0.004,1264,0.008
13122,葛飾区,262,0.002,406,0.004,668,0.006,298,0.003,462,0.004,761,0.007
13123,江戸川区,475,0.004,627,0.005,1154,0.009,577,0.004,778,0.006,1417,0.01
13201,八王子市,510,0.003,662,0.004,1007,0.006,551,0.003,713,0.004,1087,0.006
13202,立川市,116,0.003,130,0.003,156,0.004,121,0.003,135,0.003,162,0.004
13203,武蔵野市,136,0.005,225,0.008,405,0.015,137,0.005,228,0.008,409,0.015
13204,三鷹市,158,0.004,217,0.006,420,0.011,165,0.004,228,0.006,440,0.011
