団体,公共事業等等（千円）,公営住宅建設事業（千円）,災害復旧事業（千円）,（旧）緊急防災・減災事業（千円）,全国防災事業（千円）,教育・福祉施設等整備（千円）,一般単独事業（千円）,辺地対策事業（千円）,過疎対策事業（千円）,公共用地先行取得等（千円）,厚生福祉施設整備（千円）,退職手当債（H18～）（千円）,国予算政府機関貸付（千円）,財源対策債（千円）,減収補填債(S57・61・H5～7・9～25)（千円）,臨時財政特例債（千円）,公共事業等臨時特例債（千円）,減税補填債（千円）,臨時税収補填債（千円）,臨時財政対策債（千円）,調整債（S60～63)（千円）,減収補填債特例分（S50・H14・19～25)（千円）,都道府県貸付金（千円）,その他（千円）,合計（千円）,団体
市町村組合計,21291127,8599769,86240,5748675,1258100,135962468,85783221,3511039,1113168,3336888,6403438,1952481,170760,14373827,2100083,19002,0,43977114,4245663,335313387,0,2955570,227770580,206572,906179172,計
市計,20473850,8411851,84700,5703895,1258100,117371438,84398845,0,0,3336888,6335191,1952481,170760,12202807,2084083,6551,0,43282683,4145926,317694636,0,2955570,208664298,99840,840634393,市
町村計,817277,187918,1540,44780,0,3932554,815425,3511039,1113168,0,68247,0,0,1061218,16000,12451,0,694431,99737,17618751,0,0,10243113,106732,40344381,町
一部事務組合計,0,0,0,0,0,14658476,568951,0,0,0,0,0,0,1109802,0,0,0,0,0,0,0,0,8863169,0,25200398,組
八王子市,3004556,1269467,0,1849800,323800,40718959,8450227,0,0,598903,621363,0,0,1792823,755600,0,0,5557706,654606,29840190,0,0,34111265,0,129549265,八
立川市,764286,628266,0,0,21300,5808879,5725163,0,0,0,24380,0,0,475656,52960,0,0,1997247,218689,8815011,0,261500,7264860,2725,32060922,立
武蔵野市,2523000,267633,0,0,0,1341286,2614130,0,0,0,131444,0,0,2911204,0,0,0,2582266,182453,0,0,0,5626723,0,18180139,武
三鷹市,3165789,232730,0,586500,40700,4980445,3684322,0,0,0,1045948,0,0,1823819,136300,0,0,2374658,177685,9993357,0,23400,14224174,0,42489827,三
青梅市,492406,386299,84700,515487,0,2430953,4189848,0,0,0,47148,0,0,139678,42306,0,0,1303540,158099,19568676,0,990368,3926412,21821,34297741,青
府中市,125441,1321708,0,20799,0,2432975,3209969,0,0,1974000,155809,0,0,73116,0,0,0,1923282,0,11001782,0,0,19132148,0,41371029,府
昭島市,92598,94168,0,132583,106800,1719333,1318452,0,0,0,62425,0,0,269509,420232,0,0,1044572,126418,11251872,0,0,6223229,0,22862191,昭
調布市,24369,524149,0,0,0,1553859,783812,0,0,59625,498304,0,121000,63561,78399,0,0,2844155,222106,8352407,0,446000,23838470,0,39410216,調
町田市,1095088,1189597,0,2628,200500,14708835,8414836,0,0,0,171735,0,0,2375345,0,0,0,4585317,439021,23864581,0,0,16541465,0,73588948,町
