区名,補正後の道路の延長（m）,修正後の道路の面積（m2）,地方揮発油譲与税額A（円）,地方道路譲与税額B（円）,自動車重量譲与税額C（円）,航空機燃料譲与税額D（円）,譲与税額合計A + B + C＋D　E（円）,区名
区市町村計,75439595 ,386265424 ,5845236000 ,287 ,13675745000 ,814324000 ,20335305287 ,
区計,49843112 ,256379962 ,3870540000 ,208 ,9055622000 ,803922000 ,13730084208 ,
市町村計,25596483 ,129885462 ,1974696000 ,79 ,4620123000 ,10402000 ,6605221079 ,
市計,24274456 ,123739746 ,1876905000 ,79 ,4391307000 ,624000 ,6268836079 ,
町村計,1322027 ,6145716 ,97791000 ,0 ,228816000 ,9778000 ,336385000 ,
千代田区,834337 ,7126008 ,85423000 ,4 ,199860000 ,0 ,285283004 ,千
中央区,1002155 ,9714933 ,111019000 ,5 ,259742000 ,0 ,370761005 ,中
港区,1434993 ,9798156 ,129028000 ,7 ,301878000 ,0 ,430906007 ,港
新宿区,1900899 ,8288469 ,136772000 ,8 ,319994000 ,0 ,456766008 ,新
文京区,1079414 ,4664595 ,77359000 ,3 ,180992000 ,0 ,258351003 ,文
台東区,1161754 ,5984989 ,90281000 ,5 ,211228000 ,0 ,301509005 ,台
墨田区,1299508 ,6995867 ,103180000 ,5 ,241404000 ,0 ,344584005 ,墨
江東区,1976317 ,15115772 ,189506000 ,10 ,443373000 ,0 ,632879010 ,江
品川区,2058665 ,9853216 ,154506000 ,8 ,361487000 ,0 ,515993008 ,品
目黒区,1438040 ,6413612 ,104511000 ,5 ,244519000 ,0 ,349030005 ,目
大田区,3590990 ,19176680 ,283994000 ,17 ,664438000 ,803922000 ,1752354017 ,大
世田谷区,4651129 ,21531092 ,343761000 ,20 ,804271000 ,0 ,1148032020 ,世
渋谷区,1486107 ,7571197 ,114871000 ,5 ,268756000 ,0 ,383627005 ,渋
中野区,1671774 ,6850316 ,117089000 ,5 ,273946000 ,0 ,391035005 ,中
杉並区,2962040 ,12068688 ,206958000 ,12 ,484205000 ,0 ,691163012 ,杉
豊島区,1752224 ,7446436 ,124664000 ,6 ,291667000 ,0 ,416331006 ,豊
北区,1682960 ,8471144 ,129338000 ,7 ,302604000 ,0 ,431942007 ,北
荒川区,1069924 ,4825528 ,78149000 ,3 ,182840000 ,0 ,260989003 ,荒
板橋区,2817974 ,14814762 ,221157000 ,12 ,517424000 ,0 ,738581012 ,板
練馬区,4007342 ,17516835 ,288652000 ,17 ,675336000 ,0 ,963988017 ,練
足立区,3741017 ,19956308 ,295702000 ,17 ,691830000 ,0 ,987532017 ,足
葛飾区,2379607 ,12503044 ,186701000 ,10 ,436811000 ,0 ,623512010 ,葛
江戸川区,3843942 ,19692315 ,297919000 ,17 ,697017000 ,0 ,994936017 ,江
