地域課題,1位・活動・組織,1位・比率(%),2位・活動・組織,2位・比率(%),3位・活動・組織,3位・比率(%)
地域の治安の向上（防犯）,町内会・自治会,71.3,公的機関,39.1,市区町村,18.3
災害時の対応（防災や防火）,町内会・自治会,68.4,公的機関,33.8,市区町村,33.8
高齢者・障害者の健康維持や生活支援,市区町村,44.7,町内会・自治会,40.9,行政協力ボランティア,28.4
環境保全・美化,町内会・自治会,61.4,市区町村,39.6,その他地縁活動,20.5
交通安全,公的機関,46.8,町内会・自治会,37.0,その他地縁活動,21.3
地域のまちづくり、商店街の活性化,町内会・自治会,56.7,市区町村,31.6,その他地縁活動,19.5
子どものしつけや教育・健全育成,その他地縁活動,43.5,公的機関,35.3,町内会・自治会,25.9
地域の伝統芸能・祭りの継承や保存,町内会・自治会,79.7,その他地縁活動,41.3,市区町村,19.3
住民同士の信頼感や助け合い意識の向上,町内会・自治会,77.4,その他地縁活動,35.8,ない、わからない,14.5
ごみ、不用品の再資源化、交換、分別,町内会・自治会,67.8,市区町村,54.2,その他地縁活動,16.8
スポーツ・レクリェーション（運動会や文化祭など）,町内会・自治会,67.4,その他地縁活動,41.9,地域サークル・クラブ,22.1
住民自治組織の活性化、組織化,町内会・自治会,83.2,市区町村,24.0,その他地縁活動,23.4
