地域課題,1位・活動・組織,1位・比率(%),2位・活動・組織,2位・比率(%),3位・活動・組織,3位・比率(%)
地域の治安の向上（防犯）,公的機関,54.1,町内会・自治会,52.4,市区町村,36.4
災害時の対応（防災や防火）,町内会・自治会,50.0,市区町村,46.2,公的機関,46.2
高齢者・障害者の健康維持や生活支援,市区町村,51.9,町内会・自治会,42.8,行政協力ボランティア,21.3
環境保全・美化,市区町村,58.6,町内会・自治会,46.7,その他地縁活動,18.9
交通安全,公的機関,49.5,町内会・自治会,34.7,市区町村,24.1
地域のまちづくり、商店街の活性化,町内会・自治会,47.2,市区町村,45.9,専門企業のサービス,17.7
子どものしつけや教育・健全育成,町内会・自治会,41.2,公的機関,31.8,その他地縁活動,27.1
地域の伝統芸能・祭りの継承や保存,町内会・自治会,61.5,市区町村,30.3,その他地縁活動,25.7
住民同士の信頼感や助け合い意識の向上,町内会・自治会,72.3,その他地縁活動,36.5,市区町村,20.8
ごみ、不用品の再資源化、交換、分別,市区町村,57.0,町内会・自治会,53.3,その他地縁活動,17.3
スポーツ・レクリェーション（運動会や文化祭など）,町内会・自治会,47.7,その他地縁活動,34.9,市区町村,24.4
住民自治組織の活性化、組織化,町内会・自治会,76.6,市区町村,34.1,その他地縁活動,29.9
