番号,項目,回答数（人）,回答数（％）
1,事業を実施していることを知らなかったから,14029,30.3
2,応募したが落選したから,735,1.6
3,令和3年度事業の方が、還元額や上限額が魅力的だったから,384,0.8
4,令和3年度事業の方が、事業実施期間が参加しやすかったから,338,0.7
5,令和3年度事業の方が、ポイント還元やデジタル商品券等のデジタル方式での実施だったから（比率が多かったから）,300,0.6
6,令和3年度事業は、紙商品券等の紙方式での実施だったから（比率が多かったから）,345,0.7
7,令和3年度事業から、事業の対象決済手段が変更（デジタル通貨からQRコード決済に変更等）されたから,180,0.4
8,令和3年度事業の方が、申請手続き等において参加しやすかったから,216,0.5
9,令和3年度事業の方が、参加店舗数が多かったから,235,0.5
10,令和3年度事業の方が、アプリの操作性や利便性が良かったから,180,0.4
11,スマートフォンの使用や、バーコード決済等のキャッシュレス決済の利用をやめたから,453,1.0
12,その他,333,0.7
13,令和3年度も不参加だった（令和3年度は自分が住んでいる地域では実施していなかった）,15200,32.8
14,分からない,14225,30.7
全体,,46304,
