事業債,区分　２６年度（百万円）A,区分　２５年度（百万円）B,区分　増減（百万円）C=A-B,区分　増減率（%）C/B
一般会計債,27771.400,37409.400,-9638.000,-25.8
公共事業等,2619.200,5910.100,-3290.900,-55.7
公営住宅建設事業,937.400,854.500,82.900,9.7
災害復旧事業,114.200,5.000,109.200,2184.0
全国防災事業,684.000,1621.700,-937.700,-57.8
教育・福祉（学校教育施設等整備事業）,9171.600,11520.900,-2349.300,-20.4
教育・福祉（社会福祉施設整備事業）,1918.900,2425.100,-506.200,-20.9
教育・福祉（一般廃棄物処理事業）,1475.600,4803.800,-3328.200,-69.3
教育・福祉（一般補助施設整備等事業）,166.900,233.400,-66.500,-28.5
教育・福祉（施設整備事業（一般財源化分））,0.000,185.500,-185.500,皆減
一般単独（一般事業・一般分）,3324.600,3104.400,220.200,7.1
一般単独（地域活性化事業）,923.500,715.900,207.600,29.0
一般単独（防災対策事業）,223.600,84.000,139.600,166.2
一般単独（地方道路等整備事業）,3395.200,2004.100,1391.100,69.4
一般単独（緊急防災・減災事業）,1839.200,2236.500,-397.300,-17.8
辺地及び過疎対策事業,977.500,1102.600,-125.100,-11.3
公共用地先行取得等事業,0.000,601.900,-601.900,皆減
公営企業債,17774.800,20558.800,-2784.000,-13.5
水道事業（上水道事業）,0.000,0.000,0.000,-
水道事業（簡易水道事業）,57.000,80.500,-23.500,-29.2
病院事業・介護サービス事業,645.500,1374.600,-729.100,-53.0
地域開発事業,586.100,0.000,586.100,皆増
下水道事業,16486.200,19058.700,-2572.500,-13.5
観光その他事業,0.000,45.000,-45.000,皆減
その他の地方債,33034.325,37555.431,-4521.106,-12.0
公営企業借換債,0.000,0.000,0.000,-
被災施設借換債,0.000,0.000,0.000,-
特定被災地方公共団体借換債,0.000,0.000,0.000,-
臨時財政対策債,33034.325,37555.431,-4521.106,-12.0
退職手当債,0.000,0.000,0.000,-
国の予算等貸付金債,0.000,0.000,0.000,-
減収補?債,0.000,0.000,0.000,-
借換債（通常分）,0.000,0.000,0.000,-
借換債（公的資金補償金免除繰上償還）,0.000,0.000,0.000,-
合計,78580.525,95523.631,-16943.106,-17.7
