順位,2007年3月,2007年9月,2008年3月,2008年9月,2009年3月,2009年9月,2010年3月
1,ロンドン,ロンドン,ロンドン,ロンドン,ロンドン,ロンドン,ロンドンおよびニューヨーク
2,ニューヨーク,ニューヨーク,ニューヨーク,ニューヨーク,ニューヨーク,ニューヨーク,
3,香港,香港,香港,シンガポール,シンガポール,香港,香港
4,シンガポール,シンガポール,シンガポール,香港,香港,シンガポール,シンガポール
5,チューリヒ,チューリヒ,チューリヒ,チューリヒ,チューリヒ,深セン,東京
6,フランクフルト,フランクフルト,フランクフルト,ジュネーブ,ジュネーブ,チューリヒ,シカゴ
7,シドニー,ジュネーブ,ジュネーブ,東京,シカゴ,東京,チューリヒ
8,シカゴ,シカゴ,シカゴ,シカゴ,フランクフルト,シカゴ,ジュネーブ
9,東京,シドニー,東京,フランクフルト,ボストン,ジュネーブ,深センおよびシドニー
10,ジュネーブ,東京,シドニー,シドニー,ダブリン,上海,
11,パリ,パリ,ボストン,ボストン,トロント,シドニー,上海
12,トロント,ボストン,サンフランシスコ,トロント,ガンジー島（英）,フランクフルト,トロント
13,サンフランシスコ,トロント,ダブリン,ダブリン,ジャージー島（英）,トロント,フランクフルト
14,ボストン,サンフランシスコ,パリ,ジャージー島（英）,ルクセンブルグ,ジャージー島（英）,ボストン
15,エジンバラ,ダブリン,トロント,ルクセンブルグ,東京,ガンジー島（英）,北京およびサンフランシスコ
