区市町村名,議長・氏名,議長・就任年月日,副議長・氏名,副議長・就任年月日,報酬月額（条例本則）・議長（円）,報酬月額（条例本則）・副議長（円）,報酬月額（条例本則）・議員（円）,報酬月額（条例本則）・適用年月日,報酬月額（減額措置適用後の額）・議長（円）,報酬月額（減額措置適用後の額）・副議長（円）,報酬月額（減額措置適用後の額）・議員（円）,報酬月額（減額措置適用後の額）・適用年月日,区分
千代田区,戸張　孝次郎,H27.5.26,河合　良郎,42150 ,921000 ,806000 ,616000 ,H25.1.1,921000 ,806000 ,616000 ,適用なし,千
中央区,鈴木　久雄,H27.5.26,石田　英朗,42150 ,923000 ,784000 ,607000 ,H25.4.1,923000 ,784000 ,607000 ,適用なし,中
港区,うかい　雅彦,H27.5.26,近藤　まさ子,42150 ,905000 ,783000 ,613000 ,H27.5.1,905000 ,783000 ,613000 ,適用なし,港
新宿区,下村　治生,H27.5.22,有馬　としろう,42146 ,942000 ,804000 ,615000 ,H28.1.1,942000 ,804000 ,615000 ,適用なし,新
文京区,白石　英行,H27.5.28,松丸　昌史,42152 ,920200 ,788800 ,598100 ,H28.1.1,920200 ,788800 ,598100 ,適用なし,文
台東区,太田　雅久,H27.5.18,堀越　秀生,42142 ,914000 ,785000 ,601000 ,H27.12.1,914000 ,785000 ,601000 ,適用なし,台
墨田区,樋口　敏郎,H27.5.25,福田　はるみ,42149 ,916000 ,787000 ,609000 ,H28.1.1,916000 ,787000 ,609000 ,適用なし,墨
江東区,山本　香代子,H27.5.25,佐竹　としこ,42149 ,924000 ,796000 ,610000 ,H28.4.1,924000 ,796000 ,610000 ,適用なし,江
品川区,大沢　真一,H27.5.26,浅野　ひろゆき,42150 ,922000 ,788000 ,605000 ,H26.4.1,922000 ,788000 ,605000 ,適用なし,品
目黒区,田島　けんじ,H27.5.22,山宮　きよたか,42513 ,906000 ,793000 ,598000 ,H28.4.1,906000 ,793000 ,598000 ,適用なし,目
大田区,松原　茂登樹,H27.5.22,松本　洋之,42146 ,932000 ,786000 ,615000 ,H27.12.1,932000 ,786000 ,615000 ,適用なし,大
世田谷区,上島　よしもり,H27.5.18,諸星　養一,42142 ,929800 ,787200 ,616500 ,H27.4.1,929800 ,787200 ,616500 ,適用なし,世
渋谷区,木村　正義,H27.5.20,沢島　英隆,42144 ,914800 ,763200 ,607500 ,H27.12.1,914800 ,763200 ,607500 ,適用なし,渋
中野区,北原　ともあき,H27.5.22,白井　ひでふみ,42146 ,889600 ,753700 ,587200 ,H28.3.1,889600 ,753700 ,587200 ,適用なし,中
杉並区,はなし　俊郎,H27.5.18,横山　えみ,42142 ,858600 ,777000 ,597500 ,H27.11.1,858600 ,777000 ,597500 ,適用なし,杉
豊島区,竹下　ひろみ,H28.5.25,西山　陽介,42515 ,887100 ,777200 ,601300 ,H27.4.1,887100 ,777200 ,601300 ,適用なし,豊
北区,やまだ　加奈子,H27.5.26,青木　博子,42150 ,926200 ,795000 ,616800 ,H28.4.1,926200 ,795000 ,616800 ,適用なし,北
荒川区,斎藤　泰紀,H27.5.26,保坂　正仁,42150 ,920000 ,787000 ,604000 ,H28.4.1,920000 ,787000 ,604000 ,適用なし,荒
板橋区,杉田　ひろし,H27.5.22,小林　公彦,42146 ,910000 ,782000 ,600000 ,H7.5.1,910000 ,782000 ,600000 ,適用なし,板
練馬区,かしわざき　強,H27.6.12,内田　ひろのり,42167 ,910000 ,785000 ,615000 ,H26.4.1,910000 ,785000 ,615000 ,適用なし,練
足立区,高山　のぶゆき,H27.5.29,渕上　隆,42153 ,949000 ,813000 ,619000 ,H9.4.1,949000 ,813000 ,619000 ,適用なし,足
葛飾区,安西　俊一,H27.10.16,荒井　彰一,42293 ,921000 ,774000 ,620000 ,H27.12.1,921000 ,774000 ,620000 ,適用なし,葛
江戸川区,福本　光浩,H27.5.26,中道　貴,42150 ,956000 ,807000 ,621000 ,H10.10.1,956000 ,807000 ,621000 ,適用なし,江
区市町村平均,,,,,646400 ,562800 ,480500 ,,645900 ,562400 ,480100 ,,
区平均,,,,,917300 ,787000 ,608400 ,,917300 ,787000 ,608400 ,,
