,,,,結果（%）,結果（点）,結果（億円）,結果（万人）,参考値（%）,参考値（点）,参考値（万人）,達成率（%）
都民の生活応援,都民の生活応援に係る実感,KPI(1),生活負担軽減に対する実感度,61.8,,,,75.8,,,81
都民の生活応援,都民の生活応援に係る実感,KPI(2),事業の満足度（利用者）,,6.51,,,,7.06,,92
都民の生活応援,都民の生活応援に係る行動,KPI(3),生活必需品の購入率,76.5,,,,90.9,,,84
都民の生活応援,都民の生活応援に係る行動,KPI(4),利用者数,,,,287,―,,,―
都民の生活応援,都民の生活応援に係る行動,KPI(5),還元額,,,197,,―,,,―
地域経済の活性化,利用者,KPI(6),消費を増加させた人の増加率,61.2,,,,60.6,,,100
地域経済の活性化,店舗,KPI(7),売上が増加した店舗の増加率,66.1,,,,51.3,,,128
地域経済の活性化,店舗,KPI(8),事業の満足度（店舗）,,7.14,,,,6.84,,104
地域経済の活性化,都内全体,KPI(9),経済波及効果額,,,1014 ,,―,,,―
キャッシュレス化の推進,キャッシュレス化の契機,KPI(10),ユーザー（利用者）の増加率,20.6,,,,16.3,,,126
キャッシュレス化の推進,キャッシュレス化の契機,KPI(11),決済取引金額（利用者）の増加率,57.3,,,,60.1,,,95
キャッシュレス化の推進,キャッシュレス化の契機,KPI(12),決済取引回数（利用者）の増加率,57.7,,,,60.6,,,95
キャッシュレス化の推進,キャッシュレス化の契機,KPI(13),ユーザー（店舗）の増加率,14.2,,,,9,,,157
キャッシュレス化の推進,キャッシュレス化の契機,KPI(14),決済取引金額（店舗）の増加率,81.9,,,,76.4,,,107
キャッシュレス化の推進,キャッシュレス化の契機,KPI(15),決済取引回数（店舗）の増加率,85.2,,,,81.2,,,104
キャッシュレス化の推進,キャッシュレス化の継続,KPI(16),ユーザー（利用者）の継続意向,97.2,,,,97.4,,,99
キャッシュレス化の推進,キャッシュレス化の継続,KPI(17),決済取引金額（利用者）の維持率,86.6,,,,89.2,,,97
キャッシュレス化の推進,キャッシュレス化の継続,KPI(18),決済取引回数（利用者）の維持率,86,,,,88.7,,,96
キャッシュレス化の推進,キャッシュレス化の継続,KPI(19),ユーザー（店舗）の継続意向,98.2,,,,97.7,,,100
キャッシュレス化の推進,キャッシュレス化の継続,KPI(20),決済取引金額（店舗）の維持率,67.1,,,,69.4,,,96
キャッシュレス化の推進,キャッシュレス化の継続,KPI(21),決済取引回数（店舗）の維持率,66.5,,,,67.6,,,98
