,本事業指標名,指標測定方法,参考値（%）,参考値（点）,参考値（自治体）,参考値設定の考え方
KPI(1),生活負担軽減に対する実感度,利用者向けアンケートで「本事業に参加して、生活への負担が軽減したと感じたかについて、そう思う又はどちらかといえばそう思う」と回答した人の割合,75.8,,,プレミアム付商品券事業の実績に関する報告書の「商品券が負担緩和・消費下支えにつながったと回答した人の率」75.8％を参考に設定
KPI(2),事業の満足度（利用者）,利用者アンケートにおける、本事業の総合満足度（１０点満点）の平均点,,7.06,,令和３年度東京都生活応援事業の「事業の満足度（利用者）」7.06点を参考に設定
KPI(3),生活必需品の購入率,利用者向けアンケートで「本事業は、日常生活に必要なものの、買物の利用の際に役立った」と回答した人の割合,90.9,,,プレミアム付商品券事業の実績に関する報告書の「購入した商品券が役立った買物について、日常的な買物と回答した人の率」90.9％を参考に設定
KPI(4),利用者数,東京都の人口と事業の年代別等の参加率から推計,―,―,―,―
KPI(5),還元額,参加自治体からの報告から算出,―,―,―,―
KPI(6),消費を増加させた人の増加率,利用者アンケートで「本事業をきっかけに、現金払いやその他の決済手段も含め、普段より多く消費した」と回答した人の割合,60.6,,,令和３年度東京都生活応援事業の「消費を増加させた人の増加率」60.6%を参考に設定
KPI(7),売上が増加した店舗の増加率,店舗アンケートで「本事業をきっかけに、平均売上が事業期間前と比較して増加した」と回答した店舗の割合,51.3,,,令和３年度東京都生活応援事業の「売上が増加した店舗の増加率」51.3%を参考に設定
KPI(8),事業の満足度（店舗）,店舗アンケートにおける、本事業の総合満足度（１０点満点）の平均点,,6.84,,令和３年度東京都生活応援事業の「事業の満足度（店舗）」6.84点を参考に設定
KPI(9),経済波及効果額,利用者アンケートから得られた「本事業をきっかけとした購入概算金額」から産業連関表を用いて算出,―,―,―,―
KPI(10),ユーザー（利用者）の増加率,利用者アンケートで「本事業をきっかけにキャッシュレス決済を開始した」と回答した人の割合,16.3,,,令和３年度東京都生活応援事業の「ユーザー（利用者）の増加率」16.3%を参考に設定
KPI(11),決済取引金額（利用者）の増加率,利用者アンケートで「事業前よりもキャッシュレス決済を利用する金額を増やした」と回答した人の割合,60.1,,,令和３年度東京都生活応援事業の「決済取引金額（利用者）の増加率」60.1%を参考に設定
KPI(12),決済取引回数（利用者）の増加率,利用者アンケートで「事業前よりもキャッシュレス決済を利用する回数を増やした」と回答した人の割合,60.6,,,令和３年度東京都生活応援事業の「決済取引回数（利用者）の増加率」60.6%を参考に設定
KPI(13),ユーザー（店舗）の増加率,店舗アンケートで「本事業をきっかけにキャッシュレス決済を導入または再開した」と回答した店舗の割合,9,,,令和３年度東京都生活応援事業の「ユーザー（店舗）の増加率」9.0%を参考に設定
KPI(14),決済取引金額（店舗）の増加率,店舗アンケートで「事業前よりもキャッシュレス決済取引金額が増加した」と回答した店舗の割合,76.4,,,令和３年度東京都生活応援事業の「決済取引金額（店舗）の増加率」76.4%を参考に設定
KPI(15),決済取引回数（店舗）の増加率,店舗アンケートで「事業前よりもキャッシュレス決済取引回数が増加した」と回答した店舗の割合,81.2,,,令和３年度東京都生活応援事業の「決済取引回数（店舗）の増加率」81.2%を参考に設定
KPI(16),ユーザー（利用者）の継続意向,利用者アンケートで「事業終了後も、キャッシュレス決済利用の継続意向がある」と回答した人の割合,97.4,,,令和３年度東京都生活応援事業の「ユーザー（利用者）の継続意向」97.4%を参考に設定
KPI(17),決済取引金額（利用者）の維持率,利用者アンケートで「事業終了後のキャッシュレス決済金額が事業期間中よりも増加した、又はほぼ変わらない」と回答した人の割合,89.2,,,令和３年度東京都生活応援事業の「決済取引金額（利用者）の維持率」89.2%を参考に設定
KPI(18),決済取引回数（利用者）の維持率,利用者アンケートで「事業終了後のキャッシュレス決済回数が事業期間中よりも増加した、又はほぼ変わらない」と回答した人の割合,88.7,,,令和３年度東京都生活応援事業の「決済取引回数（利用者）の維持率」88.7％を参考に設定
KPI(19),ユーザー（店舗）の継続意向,店舗アンケートで「事業終了後も、キャッシュレス決済の提供を継続する意向がある」と回答した店舗の割合,97.7,,,令和３年度東京都生活応援事業の「ユーザー（店舗）の継続意向」97.7%を参考に設定
KPI(20),決済取引金額（店舗）の維持率,店舗アンケートで「事業終了後のキャッシュレス決済の取引金額が事業期間中よりも増加した、又はほぼ変わらない」と回答した店舗の割合,69.4,,,令和３年度東京都生活応援事業の「決済取引金額（店舗）の維持率」69.4%を参考に設定
KPI(21),決済取引回数（店舗）の維持率,店舗アンケートで「事業終了後のキャッシュレス決済の取引回数が事業期間中よりも増加した、又はほぼ変わらない」と回答した店舗の割合,67.6,,,令和３年度東京都生活応援事業の「決済取引回数（店舗）の維持率」67.6%を参考に設定
