共同処理事務,組合名,事務所・所在地,事務賞・電話,管理者名,設立年月日,構成区市町村名　（）内団体数,議員定数（人）,管理者（人）,副管理者（人）,監査委員（人）,職員・固有職員（人）,職員・派遣職員（人）,職員・臨時職員（長期的）（人）
人事委員会、研修所、人事企画、保護施設等,特別区人事・厚生事務組合,〒102-0072　千代田区飯田橋3－5－1,03-5210-9924,西川　太一郎(荒川区長）,S26.8.10,全特別区(23),23,1,2,2,120,108,0
特別区の競馬の実施,特別区競馬組合,〒140-0012　品川区勝島2-1-2,03-3763-2151,坂本　　健(板橋区長）,S25.10.6,全特別区(23),23,1,3,2,71,10,0
可燃、不燃、粗大ごみの中間処理施設、し尿の下水道投入施設の整備及び管理運営,東京二十三区清掃一部事務組合,〒102-0072　千代田区飯田橋3-5-1　東京区政会館14階,03-6238-0603,西川　太一郎（荒川区長）／室橋　昭（江東区長）,H12.4.1／H12.4.1,全特別区(23),23,1,2,3,916,217,0
し尿処理場の設置管理,湖南衛生組合,〒208-0013　武蔵村山市大南5-1,042-561-1551,藤野　勝（武蔵村山市長）,S36.6.1,武蔵野市・小金井市・小平市・東大和市・武蔵村山市(5),10,1,4,2,0,3,0
ごみ処理施設の設置管理（５組合）,ふじみ衛生組合,〒182-0012　調布市深大寺東町7-50-30,042-482-5497,清原　慶子（三鷹市長）,S35.1.19,三鷹市・調布市(2),10,1,1(参与2）,2,1,13,4(再任用・非常勤特別職)
ごみ処理施設の設置管理（５組合）,西多摩衛生組合,〒205-0012　羽村市羽4235,042-554-2409,並木　心（羽村市長）,S37.6.4,青梅市・福生市・羽村市・瑞穂町(4),12,1,3,2,27,2,1（再任用）
ごみ処理施設の設置管理（５組合）,小平･村山･大和衛生組合,〒187-0033　小平市中島町2-1,042-341-4345,小林　正則（小平市長）,S40.2.1,小平市･東大和市･武蔵村山市(3),12,1,2,3,7,11,1（再任用）
ごみ処理施設の設置管理（５組合）,多摩ニュータウン環境組合,〒206-0035　多摩市唐木田2-1-1,042-374-6331,阿部　裕行（多摩市長）,H5.4.1,八王子市・町田市・多摩市(3),9,1,2,2,7,13,0
ごみ処理施設の設置管理（５組合）,浅川清流環境組合,〒191-0021　日野市石田1-210-2　日野市クリーンセンター管理棟2階,042-589-0555,大坪　冬彦（日野市長）,H27.7.1,日野市・国分寺市・小金井市（３）,12,1,2,2,0,13,0
し尿処理施設・ごみ処理施設の設置管理（３組合）,柳泉園組合,〒203-0043　東久留米市下里4-3-10,042-470-1555,並木　克巳（東久留米市長）,S35.9.30,清瀬市・東久留米市・西東京市(3),9,1,2,2,35,1,11（再任用・嘱託）
