,区市町村,相談受理件数(件)
1,千代田区,92
2,中央区,93
3,港区,238
4,新宿区,847
5,文京区,317
6,台東区,648
7,墨田区,482
8,江東区,608
9,品川区,340
10,目黒区,104
11,大田区,480
12,世田谷区,531
13,渋谷区,472
14,中野区,807
15,杉並区,344
16,豊島区,139
17,北区,398
18,荒川区,215
19,板橋区,262
20,練馬区,1070
21,足立区,1096
22,葛飾区,552
23,江戸川区,1036
24,八王子市,542
25,立川市,196
26,武蔵野市,190
27,三鷹市,290
28,青梅市,475
29,府中市,377
30,昭島市,123
31,調布市,480
32,町田市,415
33,小金井市,161
34,小平市,370
35,日野市,159
36,東村山市,188
37,国分寺市,224
38,国立市,86
39,福生市,132
40,狛江市,61
41,東大和市,37
42,清瀬市,44
43,東久留米市,194
44,武蔵村山市,267
45,多摩市,194
46,稲城市,59
47,羽村市,89
48,あきる野市,98
49,西東京市,426
50,瑞穂町,70
51,日の出町,20
52,檜原村,1
53,奥多摩町,8
54,大島町,90
55,利島村,0
56,新島村,7
57,神津島村,0
58,三宅村,0
59,御蔵島村,0
60,八丈町,19
61,青ヶ島村,0
62,小笠原村,4
