事業名,法適用企業・水道,法適用企業・工業用水道,法適用企業・交通,法適用企業・病院,法非適用企業・簡易水道,法非適用企業・下水道,法非適用企業・と畜場,法非適用企業・観光施設,法非適用企業・宅地造成,法非適用企業・駐車場整備,法非適用企業・介護サービス,合計・法適企業,合計・法非適企業,合計・合計
八王子市,,,,,,1,,,,1,1,0,3,3
立川市,,,,,,1,,,,1,,0,2,2
武蔵野市,1,,,,,1,,,,,1,1,2,3
三鷹市,,,,,,1,,,,,1,0,2,2
青梅市,,,,1,,1,,,,,,1,1,2
府中市,,,,,,1,,,,,1,0,2,2
昭島市,1,,,,,1,,,1,,,1,2,3
調布市,,,,,,1,,,,,1,0,2,2
町田市,,,,1,,1,,,1,1,1,1,4,5
小金井市,,,,,,1,,,,,1,0,2,2
小平市,,,,,,1,,,,,1,0,2,2
日野市,,,,1,,1,,,,,,1,1,2
東村山市,,,,,,1,,,,,,0,1,1
国分寺市,,,,,,1,,,1,,1,0,3,3
国立市,,,,,,1,,,,,,0,1,1
福生市,,,,,,1,,,,1,,0,2,2
狛江市,,,,,,1,,,,1,,0,2,2
東大和市,,,,,,1,,,1,,1,0,3,3
清瀬市,,,,,,1,,,,1,,0,2,2
東久留米市,,,,,,1,,,,,1,0,2,2
武蔵村山市,,,,,,1,,,1,,1,0,3,3
多摩市,,,,,,1,,,,,1,0,2,2
稲城市,,,,1,,1,,,,,,1,1,2
羽村市,1,,,,,1,,,,,1,1,2,3
あきる野市,,,,,,1,,,,,,0,1,1
西東京市,,,,,,1,,,,1,1,0,3,3
市計,3,0,0,4,0,26,0,0,5,7,15,7,53,60
瑞穂町,,,,,,1,,,,,,0,1,1
日の出町,,,,,,1,,,,,,0,1,1
檜原村,,,,,1,1,,,,,1,0,3,3
奥多摩町,,,,1,,1,,,,,1,1,2,3
大島町,1,,,,,,,,,,,1,0,1
利島村,,,,,1,1,,,,,,0,2,2
新島村,,,,,1,1,1,,,,,0,3,3
神津島村,,,,,1,1,,,,,,0,2,2
三宅村,,,1,,1,,,,,,,1,1,2
御蔵島村,,,,,1,,,1,,,,0,2,2
八丈町,1,,1,1,,1,,,,,,3,1,4
青ヶ島村,,,,,1,1,,,,,1,0,3,3
小笠原村,,,,,1,1,,,,,,0,2,2
町村計,2,0,2,2,8,10,1,1,0,0,3,6,23,29
阿伎留病院組合,,,,1,,,,,,,,1,0,1
昭和病院組合,,,,1,,,,,,,,1,0,1
青梅・羽村地区工業用水道企業団,,1,,,,,,,,,,1,0,1
福生病院組合,,,,1,,,,,,,,1,0,1
組合計,0,1,0,3,0,0,0,0,0,0,0,4,0,4
法適用企業,5,1,2,9,,,,,,,,17,0,17
法非適用企業,,,,,8,36,1,1,5,7,18,0,76,76
合計,5,1,2,9,8,36,1,1,5,7,18,17,76,93
