区分１,区分２,区分３,平成27年度・当初算定ア（千円）,平成26年度・当初算定イ（千円）,差引増-減・ウ＝ア－イ（千円）,増減率・エ＝ウ／イ（千円）,備考
交付金の総額,調整税,固定資産税,1146627916,1131393154,15234762,1.3,
交付金の総額,調整税,市町村民税法人分,611815649,643114728,-31299079,-4.9,
交付金の総額,調整税,特別土地保有税,10019,12000,-1981,-16.5,
交付金の総額,調整税,計,1758453584,1774519882,-16066298,-0.9,
交付金の総額,条例で定める割合,,55%,55%,,,
交付金の総額,当年度分,,967149471,975985935,-8836464,-0.9,
交付金の総額,精算分,,7107924,5183911,1924013,,
交付金の総額,計,Ａ,974257395,981169846,-6912451,-0.7,
交付金の総額,内訳,普通交付金分Ａ×95%,925544525,932111354,-6566829,-0.7,
交付金の総額,内訳,特別交付金分Ａ×5%,48712870,49058492,-345622,-0.7,
基準財政収入額,,Ｂ,1098769037,990614389,108154648,10.9,
基準財政収入額,特別区税,特別区民税,758249864,732089085,26160779,3.6,
基準財政収入額,特別区税,軽自動車税,2371974,2310174,61800,2.7,
基準財政収入額,特別区税,特別区たばこ税,65211319,65427458,-216139,-0.3,
基準財政収入額,特別区税,鉱産税,0,0,0,,
基準財政収入額,特別区税,小計,825833157,799826717,26006440,3.3,
基準財政収入額,利子割交付金,,9837063,10823186,-986123,-9.1,
基準財政収入額,配当割交付金,,19997296,11361981,8635315,76,
基準財政収入額,株式等譲渡所得割交付金,,12338089,9306506,3031583,32.6,
基準財政収入額,地方消費税交付金,,200061102,135082038,64979064,48.1,
基準財政収入額,ゴルフ場利用税交付金,,32880,36015,-3135,-8.7,
基準財政収入額,自動車取得税交付金,,3166415,3835119,-668704,-17.4,
基準財政収入額,地方特例交付金,,3796903,3985594,-188691,-4.7,
基準財政収入額,計,,1075062905,974257156,100805749,10.3,
基準財政収入額,地方揮発油譲与税,,4034129,4092299,-58170,-1.4,
基準財政収入額,自動車重量譲与税,,9180136,9239443,-59307,-0.6,
基準財政収入額,航空機燃料譲与税,,807947,739398,68549,9.3,
基準財政収入額,交通安全対策特別交付金,,1205880,1251346,-45466,-3.6,
基準財政収入額,合計,,1090290997,989579642,100711355,10.2,
基準財政収入額,特別区民税特例加減算額,,-5172327,-2603369,-2568958,,
基準財政収入額,地方消費税交付金特例加算額,,13650367,3638116,10012251,275.2,
基準財政需要額,,Ｃ,1996121958,1890802047,105319911,5.6,
基準財政需要額,経常的経費,,1697107247,1651399106,45708141,2.8,
基準財政需要額,投資的経費,,299014711,239402941,59611770,24.9,
差引Ｃ－Ｂ,,,897352921,900187658,,,
,財源不足額,,907896933,909198569,-1301636,-0.1,
,財源超過額,,10544012,9010911,1533101,17,
交付額,普通交付金,,907896933,909198569,-1301636,-0.1,
交付額,特別交付金,,48712870,49058492,-345622,-0.7,
交付額,計,,956609803,958257061,-1647258,-0.2,
