,病院,診療所,老人保健施設,助産所,老人ホーム,自宅,その他
1989年,149,0,0,,,433,19
1990年,206,0,0,,,498,18
1991年,194,2,0,,,574,24
1992年,222,0,2,,,606,32
1993年,229,0,2,,,690,36
1994年,234,0,1,,,775,39
1995年,267,0,0,,,872,61
1996年,273,3,1,,,818,61
1997年,297,2,2,0,1,902,36
1998年,305,0,0,0,1,1051,51
1999年,339,0,0,0,1,1243,56
2000年,355,0,0,0,2,1219,62
2001年,383,0,1,0,1,1325,48
2002年,388,1,1,0,0,1364,63
2003年,446,0,0,0,1,1451,61
2004年,450,0,1,0,2,1669,69
2005年,550,3,0,0,1,1860,97
2006年,599,0,5,0,16,1892,99
2007年,597,0,3,0,15,2361,117
2008年,556,2,6,1,36,2211,142
2009年,607,0,6,0,37,2194,129
