区市町村名,市町村長・氏名,市町村長・任期,副市町村長・氏名,副市長村長・任期,教育長・氏名,教育長・任期,給料月額・市町村長,給料月額・副市長村長,給料月額・教育長,給料月額・適用年月日,減額措置後の給料月額・市町村長,減額措置後の給料月額・副市長村長,減額措置後の給料月額・教育長,減額措置後の給料月額・適用年月日,区分
八王子市,石森　孝志,R2.1.28,中村　敬/駒沢　広行,H32.2.29/H32.3.31,安間　英潮,H30.3.31,1110000 ,940000 ,810000 ,H28.4.1／H15.7.1／H28.4.1,1110000 ,940000 ,810000 ,適用なし,八
立川市,清水　庄平,R1.9.7,大霜　俊夫/田中　良明,H31.12.25/H30.9.29,小町　邦彦,H31.3.31,1041000 ,901000 ,799000 ,41365 ,1041000 ,901000 ,799000 ,適用なし,立
武蔵野市,邑上　守正,H29.10.8,五十嵐　修/堀井　建次,H29.12.11/H30.12.7,宮崎　活志,H30.3.31,1030000 ,865000 ,810000 ,42095 ,1030000 ,865000 ,810000 ,適用なし,武
三鷹市,清原　慶子,H31.4.29,津端　修/内田　治,Ｈ31.6.30/Ｈ31.6.30,髙部　明夫,H30.9.30,1030000 ,870000 ,810000 ,42278 ,1030000 ,870000 ,810000 ,適用なし,三
青梅市,浜中　啓一,R1.11.29,池田　央,H29.12.31,岡田　芳典,H30.10.12,1010000 ,880000 ,805000 ,35431 ,1010000 ,880000 ,805000 ,適用なし,青
府中市,高野　律雄,R2.2.9,吉野　誠,H29.3.31,浅沼　昭夫,H30.3.31,1080000 ,930000 ,830000 ,42095 ,1080000 ,930000 ,830000 ,適用なし,府
昭島市,北川　穰一,H28.10.20,（総括担当）早川　修/（特命担当）新藤　克明,H32.3.31/H31.3.31,小林　一己,H31.3.31,1000000 ,"（総括担当）880,000/（特命担当）750,000",810000 ,39173 ,1000000 ,"（総括担当）880,000／（特命担当）750,000",810000 ,適用なし,昭
調布市,長友　貴樹,H30.7.21,伊藤　栄敏/木村　健治,H32.3.31/H31.6.30,大和田　正治,H30.9.30,1035000 ,895000 ,830000 ,H24.4.1/教育長のみH27.10.1,1035000 ,895000 ,830000 ,適用なし,調
町田市,石阪　丈一,H30.3.7,高橋　豊/山田　則人,H30.3.31/H31.6.30,坂本　修一,H30.3.31,1060000 ,900000 ,820000 ,35431 ,1060000 ,900000 ,820000 ,適用なし,町
小金井市,西岡　真一郎,R1.12.18,川上　秀一,H30.3.31,山本　修司,H30.9.30,965000 ,825000 ,765000 ,34243 ,868500 ,825000 ,765000 ,H28.4.1,金
小平市,小林　正則,H29.4.10,教山　裕一郎,H29.4.30,関口　徹夫,H28.9.30,1050000 ,900000 ,810000 ,35156 ,1050000 ,900000 ,810000 ,適用なし,平
日野市,大坪　冬彦,H29.4.26,荻原　弘次/堀之内　和信,H29.6.3/H29.6.3,米田　裕治,H30.8.2,990000 ,845000 ,785000 ,35065 ,990000 ,845000 ,785000 ,適用なし,日
東村山市,渡部　尚,H31.4.30,荒井　浩,R1.12.31,森　純,H30.12.31,943000 ,801000 ,740000 ,37987 ,943000 ,801000 ,740000 ,適用なし,東
国分寺市,井澤　邦夫,H29.7.12,橋本　正之/内藤　達也,Ｈ30.12.31/Ｈ32.3.31,松井　敏夫,H29.5.25,900000 ,770000 ,710000 ,34304 ,900000 ,770000 ,710000 ,適用なし,分
国立市,佐藤　一夫,H31.4.30,永見　理夫,R1.5.25,是松　昭一,H30.5.23,950000 ,815000 ,750000 ,35400 ,807500 ,757950 ,720000 ,H27.7.1,国
福生市,加藤　育男,H28.5.20,福島　秀男,H30.8.26,川越　孝洋,H30.3.31,858000 ,737000 ,692000 ,38808 ,858000 ,737000 ,692000 ,適用なし,福
狛江市,高橋　都彦,H28.7.6,水野　穰,H29.12.31,有馬　守一,H30.3.31,898000 ,774000 ,721000 ,42095 ,898000 ,774000 ,721000 ,適用なし,狛
東大和市,尾崎　保夫,H31.4.30,小島　昇公,R2.3.31,真如　昌美,H31.3.31,895000 ,766000 ,710000 ,35339 ,895000 ,766000 ,710000 ,適用なし,大
清瀬市,渋谷　金太郎,H31.4.30,中澤　弘行,R1.6.30,坂田　篤,H31.3.31,963000 ,829000 ,761000 ,42461 ,963000 ,829000 ,761000 ,適用なし,清
東久留米市,並木　克巳,H30.1.19,永田　昇,H30.3.31,直原　裕,H30.3.31,960000 ,840000 ,770000 ,36069 ,777600 ,798000 ,770000 ,H28.4.1,久
武蔵村山市,藤野　勝,H30.5.29,山﨑　泰大,H30.7.11,持田　浩志,H30.3.31,853000 ,740000 ,691000 ,35156 ,853000 ,740000 ,691000 ,適用なし,村
多摩市,阿部　裕行,H30.4.20,永尾　俊文,H30.6.30,清水　哲也,H30.9.30,949500 ,829800 ,788400 ,H27.4.1/教育長のみH27.10.1,949500 ,829800 ,788400 ,適用なし,多
稲城市,髙橋　勝浩,H31.4.26,石田　光広,R1.9.30,小島　文弘,H30.10.14,854000 ,740000 ,695000 ,37712 ,854000 ,740000 ,695000 ,適用なし,稲
羽村市,並木　心,H29.4.25,北村　健,H29.7.31,桜沢　修,H30.9.30,885000 ,765000 ,715000 ,34881 ,885000 ,765000 ,715000 ,適用なし,羽
あきる野市,澤井　敏和,R1.10.14,尾﨑　喜己,R1.11.15,私市　豊,R1.11.25,860000 ,740000 ,695000 ,34943 ,860000 ,740000 ,695000 ,適用なし,あ
西東京市,丸山　浩一,H29.2.17,池澤　隆史,H29.6.30,前田　哲,H30.6.30,990000 ,877000 ,778000 ,42278 ,990000 ,877000 ,778000 ,適用なし,西
瑞穂町,石塚　幸右衛門,H29.5.15,杉浦　裕之,H29.9.30,鳥海　俊身,H30.4.14,763000 ,666000 ,637000 ,39814 ,763000 ,666000 ,637000 ,適用なし,瑞
日の出町,橋本　聖二,H30.4.15,木﨑　孝二,H30.6.30,小林　道弘,H30.12.14,790000 ,690000 ,660000 ,34881 ,711000 ,690000 ,660000 ,H26.7.1,日
檜原村,坂本　義次,H31.4.30,八田野　芳孝,R1.6.30,中村　宗嗣,H30.6.30,677000 ,595000 ,568000 ,38808 ,677000 ,595000 ,568000 ,適用なし,檜
奥多摩町,河村　文夫,H28.5.23,加藤 一美,H28.6.30,栃元 誠,H28.9.30,714000 ,627000 ,598000 ,39904 ,714000 ,627000 ,598000 ,適用なし,奥
大島町,三辻　利弘,H31.4.29,橘田　竹弘,R1.5.9,石川　龍治,H28.10.31,800000 ,690000 ,640000 ,35521 ,800000 ,690000 ,640000 ,適用なし,大
利島村,前田　福夫,H29.11.30,田中　誠人,H30.3.31,山口　順一,R2.3.31,620000 ,535000 ,515000 ,42095 ,620000 ,535000 ,515000 ,適用なし,利
新島村,青沼　邦和,R1.10.10,前田　勝利,R1.10.20,青沼　敏,H30.6.28,650000 ,580000 ,560000 ,38261 ,650000 ,580000 ,560000 ,適用なし,新
神津島村,浜川　謙夫,H30.9.30,中村　勝二,H30.10.7,石野田　博文,H28.9.30,650000 ,570000 ,540000 ,39539 ,650000 ,570000 ,540000 ,適用なし,神
三宅村,櫻田　昭正,R2.2.14,飯田　啓介,R2.3.31,島村　幸明,H30.3.31,710000 ,630000 ,590000 ,35156 ,710000 ,630000 ,590000 ,適用なし,三
御蔵島村,広瀬　久雄,R1.10.22,-,-,広瀬　明良,H30.3.31,600000 ,500000 ,500000 ,H5.7.1/H19.10.1/H7.4.1,600000 ,500000 ,500000 ,適用なし,御
八丈町,山下　奉也,R1.9.24,持丸　孝松,R1.10.3,佐藤　誠,H30.10.6,776000 ,659000 ,659000 ,42461 ,776000 ,659000 ,659000 ,適用なし,八
青ヶ島村,菊池　利光,H29.9.30,-,-,-,-,600000 ,530000 ,430000 ,41000 ,600000 ,530000 ,430000 ,適用なし,青
小笠原村,森下　一男,H27.7.26,渋谷　正昭,R1.9.25,松本　隆,H30.9.25,650000 ,580000 ,550000 ,40634 ,650000 ,580000 ,550000 ,適用なし,小
市平均,,,,,,,967700 ,829800 ,765400 ,,951500 ,826100 ,764200 ,,
町村平均,,,,,,,692300 ,604000 ,572800 ,,686200 ,604000 ,572800 ,,
市町村平均,,,,,,,875900 ,756400 ,701200 ,,863100 ,753900 ,700400 ,,
