区市町村名,郵便番号,所在地,電話番号,面積（km2）,町丁目数,住民基本台帳記載数・世帯数（世帯）,住民基本台帳記載数・人口・計（人）,住民基本台帳記載数・人口・男（人）,住民基本台帳記載数・人口・計（人）,住民基本台帳記載数・人口・うち外国人（人）,住民基本台帳記載数・人口・H27.1.1（人）,住民基本台帳記載数・人口・対前年増減（人）,区分
千代田区,102-8688,千代田区九段南1-2-1 ,03-3264-2111,11.66,115,32871 ,58576 ,29255 ,29321 ,2554 ,56873 ,1703 ,千
中央区,104-8404,中央区築地1-1-1,03-3543-0211,10.21,98,82057 ,142995 ,68167 ,74828 ,5547 ,138088 ,4907 ,中
港区,105-8511,港区芝公園1-5-25,03-3578-2111,20.37,117,138942 ,243977 ,114992 ,128985 ,18486 ,240585 ,3392 ,港
新宿区,160-8484,新宿区歌舞伎町1-4-1,03-3209-1111,18.22,152,209872 ,334193 ,167763 ,166430 ,38585 ,327712 ,6481 ,新
文京区,112-8555,文京区春日1-16-21,03-3812-7111,11.29,68,114459 ,210312 ,100127 ,110185 ,8333 ,207413 ,2899 ,文
台東区,110-8615,台東区東上野4-5-6,03-5246-1111,10.11,108,111848 ,191749 ,98410 ,93339 ,14034 ,189795 ,1954 ,台
墨田区,130-8640,墨田区吾妻橋1-23-20,03-5608-1111,13.77,104,141769 ,261723 ,130435 ,131288 ,10673 ,258423 ,3300 ,墨
江東区,135-8383,江東区東陽4-11-28,03-3647-9111,40.16,155,254002 ,501501 ,248540 ,252961 ,24329 ,493952 ,7549 ,江
品川区,140-8715,品川区広町2-1-36,03-3777-1111,22.84,130,209048 ,378123 ,185552 ,192571 ,11020 ,372077 ,6046 ,品
目黒区,153-8573,目黒区上目黒2-19-15,03-3715-1111,14.67,88,151257 ,271469 ,128182 ,143287 ,7775 ,269689 ,1780 ,目
大田区,144-8621,大田区蒲田5-13-14,03-5744-1111,60.66,216,374463 ,712057 ,355676 ,356381 ,20204 ,707455 ,4602 ,大
世田谷区,154-8504,世田谷区世田谷4-21-27,03-5432-1111,58.05,277,461518 ,883289 ,420186 ,463103 ,16883 ,874332 ,8957 ,世
渋谷区,150-8010,渋谷区渋谷1-18-21,03-3463-1211,15.11,80,132932 ,219898 ,105551 ,114347 ,9507 ,217008 ,2890 ,渋
中野区,164-8501,中野区中野4-8-1,03-3389-1111,15.59,85,194834 ,321734 ,162336 ,159398 ,13872 ,316625 ,5109 ,中
杉並区,166-8570,杉並区阿佐谷南1-15-1,03-3312-2111,34.06,139,309147 ,553288 ,265751 ,287537 ,12798 ,547165 ,6123 ,杉
豊島区,171-8422,豊島区南池袋2-45-1,03-3981-1111,13.01,83,171610 ,280639 ,141768 ,138871 ,24540 ,275507 ,5132 ,豊
北区,114-8508,北区王子本町1-15-22,03-3908-1111,20.61,113,186442 ,341252 ,169613 ,171639 ,17609 ,338084 ,3168 ,北
荒川区,116-8501,荒川区荒川2-2-3,03-3802-3111,10.16,52,110853 ,211271 ,105415 ,105856 ,16885 ,209087 ,2184 ,荒
板橋区,173-8501,板橋区板橋2-66-1,03-3964-1111,32.22,134,292068 ,550758 ,272267 ,278491 ,20147 ,544172 ,6586 ,板
練馬区,176-8501,練馬区豊玉北6-12-1,03-3993-1111,48.08,202,355564 ,719109 ,352000 ,367109 ,14662 ,714656 ,4453 ,練
足立区,120-8510,足立区中央本町1-17-1,03-3880-5111,53.25,269,329506 ,678623 ,340322 ,338301 ,25541 ,674111 ,4512 ,足
葛飾区,124-8555,葛飾区立石5-13-1,03-3695-1111,34.8,155,221587 ,452789 ,226721 ,226068 ,16545 ,449527 ,3262 ,葛
江戸川区,132-8501,江戸川区中央1-4-1,03-3652-1151,49.9,197,328681 ,686387 ,346805 ,339582 ,28113 ,680262 ,6125 ,江
荒川河口部,,,,1.12,,,,,,,,,
中央防波堤埋立地,,,,6.78,,,,,,,,,
区計,,,,626.7,"3,137",4915330 ,9205712 ,4535834 ,4669878 ,378642 ,9102598 ,103114 ,
市町村,,,,"1,564.23","2,205",1974624 ,4209637 ,2085768 ,2123869 ,70400 ,4194988 ,14649 ,
総計,,,,"2,190.93","5,342",6889954 ,13415349 ,6621602 ,6793747 ,449042 ,13297586 ,117763 ,
