番号,項目,回答数（人）,回答数（％）
1,スマートフォンを持っていないから,12,8.6
2,キャッシュレス決済の使い方がわからないから,34,24.3
3,パソコンやスマホなどデジタル機器に苦手意識があるから,16,11.4
4,個人情報の流出や不正使用等のおそれがあるから,31,22.1
5,カード等の紛失・盗難のおそれがあるから,13,9.3
6,使い過ぎてしまうおそれがあるから,19,13.6
7,自身の購入・決済履歴等が取得・利用されることに抵抗があるから,7,5
8,決済手段・サービスが乱立しており、自分に最適なものが分かりにくいから,22,15.7
9,かえって支払いに時間や手間が掛かるから,20,14.3
10,利用できる店舗や施設が少ないから,10,7.1
11,手数料や会費等が掛かるから,13,9.3
12,返金等に時間が掛かる場合があるから,6,4.3
13,加盟店側に追加の負担（手数料等）を掛けてしまうから,4,2.9
14,キャンペーン等がないと割引や還元率が低くて魅力を感じないから,9,6.4
15,現金決済で特に不便を感じないから,54,38.6
16,その他,7,5
全体,,140,
