名称,事務所（局）・所在地,事務所（局）・電話,役員及び委員・会長,役員及び委員・副会長,役員及び委員・委員,事務局長
都区協議会,〒163-8001　新宿区西新宿2-8-1,03-5388-2421,東京都知事　舛添　要一,,副知事、政策企画局長、総務局長、財務局長、主税局長、荒川区長、港区長、板橋区長、千代田区長、文京区長、大田区長、中野区長、葛飾区長,東京都総務局行政部長　西村　泰信
特別区長会,〒102-0072　千代田区飯田橋3-5-1,03-5210-9738,荒川区長　西川　太一郎,港区長　武井　雅昭、板橋区長　坂本　健,特別区長,志賀　德壽
特別区議会議長会,〒102-0072　千代田区飯田橋3-5-1,03-5210-9731,板橋区議会議長　杉田　ひろし,台東区議会議長　太田　雅久,特別区議会議長、特別区競馬組合議会議長、東京二十三区清掃一部事務組合議会議長,内野　陽
東京都市区長会,〒183-0052　府中市新町２－７７－１（東京自治会館内）,042-384-6287,羽村市長　並木　心,荒川区長　西川　太一郎、調布市長　長友　貴樹,特別区長、市長,岸上　隆
都市町村協議会,〒163-8001　新宿区西新宿2-8-1,03-5388-2437,東京都知事　舛添　要一,,副知事、教育長、東京都技監、政策企画局長、総務局長、財務局長、羽村市長、調布市長、立川市長、小平市長、三鷹市長、昭島市長、武蔵野市長、町田市長、東村山市長、国立市長、福生市長、多摩市長、武蔵村山市長、奥多摩町長、御蔵島村長、檜原村長、日の出町長、八丈町長,東京都総務局行政部長　西村　泰信　　
東京都市長会,〒183-0052　府中市新町２－７７－１（東京自治会館内）,042-384-6287,羽村市長　並木　心,調布市長　長友　貴樹、立川市長　清水　庄平、小平市長　小林　正則、三鷹市長　清原　慶子,市長,岸上　隆
東京都町村会,〒183-0052　府中市新町２－７７－１（東京自治会館内）,042-384-8041,奥多摩町長　河村　文夫,御蔵島村長　広瀬　久雄,町村長,名倉　衡
東京都市議会議長会,〒183-8703　府中市宮西町2-24,042-335-4505,府中市議会議長　市川　一德,昭島市議会議長　杉本　英二、狛江市議会議長　小川　克美,市議会議長,府中市議会事務局
東京都町村議会議長会,〒183-0052　府中市新町２－７７－１（東京自治会館内）,042-384-8041,瑞穂町議会議長　髙水　永雄,八丈町議会議長　土屋　博,町村議会議長,名倉　衡
西多摩郡町村会,〒190-0212　西多摩郡奥多摩町氷川２１５－６（奥多摩町役場内）,0428-83-2345,奥多摩町長　河村　文夫,日の出町長　橋本　聖二,西多摩郡町村長,奥多摩町総務課長
島嶼町村会,〒105-0022　港区海岸1-4-15（島嶼会館２階）,03-3432-4961,御蔵島村長　広瀬　久雄,八丈町長　山下　奉也,島しょ町村長,佐藤　豪介
東京都市町村職員共済組合,〒190-8573　立川市錦町1-12-1,042-528-2181,（理事長）武蔵村山市長　藤野　勝,,,安斎　久
,,,,,,
,,,,,,
