共同処理事務,組合名,事務所・所在地,事務所・電話,管理者名,設立年月日,構成区市町村名　（）内団体数,議員定数（人）,管理者（人）,副管理者（人）,監査委員（人）,職員・固有職員（人）,職員・派遣職員（人）,職員・臨時職員（長期的）（人）
学校給食,羽村・瑞穂地区学校給食組合,〒205-0023　羽村市神明台4-2-19,042-554-2084,並木　心（羽村市長）,S46.4.22,羽村市・瑞穂町(2),6,1,1,2,20,4,6（再任用・嘱託）
消防団員等の公務災害補償等、住民の交通災害共済、東京自治会館の設置・管理運営、職員研修,東京市町村総合事務組合,〒183-0052　府中市新町2-77-1（東京自治会館内）,042-384-5515,並木　心（羽村市長）,S63.4.1,全市町村(39),14,1,1,2,18,28,8（嘱託・臨時）
自転車競走事業,東京都十一市競輪事業組合,〒182-0025　調布市多摩川4-31-1,042-489-1311,長友　貴樹（調布市長）,S41.4.7,八王子市・武蔵野市・青梅市・昭島市・調布市･町田市・小金井市・小平市・日野市・東村山市・国分寺市(11),22,1,3,2,6,10,4（再任用・嘱託）
モーターボート競走事業（３組合）,東京都六市競艇事業組合,〒132-0033　江戸川区東小松川3-1-1,03-5676-8700,邑上　守正（武蔵野市長）,S42.4.6,八王子市・武蔵野市・昭島市・調布市・町田市・小金井市（6）,12,1,3,2,6,1,2（嘱託）
モーターボート競走事業（３組合）,東京都四市競艇事業組合,〒182-0025　調布市多摩川4-31-1,042-369-8989,小林　正則（小平市長）,S42.4.7,小平市・日野市・東村山市・国分寺市（4）,8,1,1,2,2,6,7（嘱託）
モーターボート競走事業（３組合）,東京都三市収益事業組合,〒132-0033　江戸川区東小松川3-1-1,03-3656-0643,髙橋　勝浩（稲城市長）,S48.2.22,多摩市・稲城市・あきる野市（3）,9,1,2,2,1,3,0
科学館の設置・管理及び運営,多摩六都科学館組合,〒188-0014　西東京市芝久保町5-10-64,042-469-6982,丸山　浩一（西東京市長）,H2.6.1,小平市・東村山市・清瀬市・東久留米市・西東京市（5）,10,1,1,2,4,0,2（再任用）
墓苑の設置・管理及び運営,稲城・府中墓苑組合,〒206-0812　稲城市矢野口3567,042-379-9731,髙橋　勝浩（稲城市長）,H24.5.1,稲城市・府中市（２）,6,1,1,2,0,6,0
後期高齢者医療の事務,東京都後期高齢者医療広域連合,〒102-0072　千代田区飯田橋3-5-1東京区政会館15～17階,03-3222-4474,西川　太一郎（荒川区長）,H19.3.1,東京都の区域内のすべての特別区、市、町及び村（62）,31,1,4（常勤1含む）,2,0,63,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
