区市町村名,合計（人）,一般行政職（人）,税務職（人）,医師／歯科医師職（人）,薬剤師／医療技術職(栄養士を含む)（人）,看護／保健職（人）,福祉職（人）,企業職（人）,技能労務職（人）,教育職（人）,その他教育職（人）,臨時職員（人）,一般行政職・平均給料月額（百円）,一般行政職・平均経験年数（年）,一般行政職・平均経験年数（月）,区分
千代田区,1061 ,685 ,34 ,3 ,12 ,22 ,120 ,0 ,95 ,90 ,0 ,0 ,3140 ,20 ,8 ,千
中央区,1450 ,773 ,48 ,4 ,27 ,34 ,263 ,0 ,209 ,91 ,1 ,0 ,3074 ,18 ,10 ,中
港区,2100 ,1258 ,66 ,3 ,14 ,48 ,389 ,0 ,237 ,79 ,6 ,0 ,3105 ,19 ,12 ,港
新宿区,2669 ,1446 ,93 ,6 ,18 ,89 ,617 ,1 ,337 ,59 ,3 ,0 ,3095 ,19 ,1 ,新
文京区,1787 ,924 ,56 ,2 ,37 ,50 ,431 ,0 ,221 ,66 ,0 ,0 ,3112 ,19 ,4 ,文
台東区,1679 ,1195 ,43 ,3 ,12 ,49 ,198 ,0 ,119 ,60 ,0 ,0 ,3018 ,17 ,5 ,台
墨田区,1908 ,1161 ,74 ,3 ,18 ,46 ,406 ,0 ,175 ,24 ,1 ,0 ,3123 ,19 ,2 ,墨
江東区,2757 ,1353 ,97 ,6 ,21 ,77 ,727 ,0 ,365 ,109 ,2 ,0 ,3065 ,18 ,11 ,江
品川区,2549 ,1303 ,81 ,3 ,27 ,72 ,706 ,0 ,293 ,61 ,3 ,0 ,3072 ,19 ,8 ,品
目黒区,2030 ,1021 ,75 ,2 ,46 ,54 ,584 ,0 ,226 ,21 ,1 ,0 ,3344 ,23 ,6 ,目
大田区,4220 ,2248 ,142 ,4 ,56 ,104 ,1065 ,0 ,593 ,6 ,2 ,0 ,3186 ,20 ,9 ,大
世田谷区,5049 ,2861 ,151 ,5 ,55 ,121 ,1098 ,0 ,703 ,53 ,2 ,0 ,3182 ,20 ,3 ,世
渋谷区,1832 ,939 ,56 ,3 ,13 ,51 ,385 ,0 ,360 ,19 ,6 ,0 ,3392 ,23 ,9 ,渋
中野区,1979 ,1079 ,67 ,3 ,28 ,55 ,480 ,0 ,252 ,10 ,5 ,0 ,3268 ,21 ,10 ,中
杉並区,3487 ,1671 ,108 ,6 ,41 ,100 ,1004 ,0 ,430 ,127 ,0 ,0 ,3273 ,21 ,12 ,杉
豊島区,1979 ,1152 ,82 ,2 ,17 ,64 ,457 ,0 ,192 ,12 ,1 ,0 ,3196 ,20 ,11 ,豊
北区,2466 ,1325 ,86 ,3 ,16 ,83 ,699 ,0 ,228 ,26 ,0 ,0 ,3138 ,19 ,1 ,北
荒川区,1571 ,986 ,53 ,3 ,22 ,55 ,278 ,0 ,137 ,36 ,1 ,0 ,3012 ,17 ,12 ,荒
板橋区,3533 ,1985 ,122 ,5 ,38 ,118 ,837 ,0 ,415 ,13 ,0 ,0 ,3054 ,18 ,5 ,板
練馬区,4435 ,2212 ,112 ,5 ,60 ,127 ,1209 ,0 ,682 ,28 ,0 ,0 ,3160 ,19 ,1 ,練
足立区,3361 ,2255 ,106 ,5 ,34 ,100 ,641 ,0 ,200 ,11 ,9 ,0 ,3123 ,19 ,2 ,足
葛飾区,2962 ,1453 ,68 ,5 ,20 ,83 ,815 ,0 ,498 ,14 ,6 ,0 ,3081 ,19 ,5 ,葛
江戸川区,3626 ,2113 ,121 ,3 ,60 ,85 ,568 ,0 ,659 ,17 ,0 ,0 ,3087 ,20 ,2 ,江
区計,60490 ,33398 ,1941 ,87 ,692 ,1687 ,13977 ,1 ,7626 ,1032 ,49 ,0 ,3142 ,19 ,11 ,
