事業名,平成26年度同意額及び届出額（百万円）,資金内訳・政府,資金内訳・機構,資金内訳・市場公募,資金内訳・その他
一般会計債,75752.4 ,37064.4 ,16237.0 ,1800.0 ,20651.0 
(1)公共事業等,11957.0 ,9278.0 ,1307.0 ,0.0 ,1372.0 
(2)公営住宅建設事業,529.0 ,0.0 ,529.0 ,0.0 ,0.0 
(3)災害復旧事業,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
(4)学校教育施設等整備事業,19800.1 ,16510.1 ,2905.0 ,0.0 ,385.0 
(5)社会福祉施設整備事業,5434.0 ,0.0 ,5035.0 ,0.0 ,399.0 
(6)一般廃棄物処理事業,6926.0 ,6926.0 ,0.0 ,0.0 ,0.0 
(7)一般補助施設整備等事業,4257.3 ,4257.3 ,0.0 ,0.0 ,0.0 
(8)施設整備事業（一般財源化分）,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
(9)一般事業,11790.0 ,0.0 ,0.0 ,1800.0 ,9990.0 
(10)地域活性化事業,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
(11)防災対策事業,6.0 ,0.0 ,6.0 ,0.0 ,0.0 
(12)地方道路等整備事業,6394.0 ,0.0 ,6129.0 ,0.0 ,265.0 
(13)緊急防災・減災事業,386.0 ,60.0 ,326.0 ,0.0 ,0.0 
(14)全国防災事業,33.0 ,33.0 ,0.0 ,0.0 ,0.0 
(15)公共用地先行取得等事業,8240.0 ,0.0 ,0.0 ,0.0 ,8240.0 
公営企業債,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
(1)病院事業・介護サービス事業,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
(2)観光その他事業,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
減収補塡債,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
合計,75752.4 ,37064.4 ,16237.0 ,1800.0 ,20651.0 
