年次,固定電話（％）,ＦＡＸ（％）,パソコン（％）,携帯電話・スマートフォンのうち1種類以上（％）,スマートフォン（再掲）（％）,タブレット型端末（％）
2011,74.5,44.5,82.4,95.7,34.5,10.4
2012,65.8,36.9,79.4,96.1,53.1,23.1
2013,73.3,47.7,87.4,96.4,75.9,29.2
2014,63.3,39.4,83.8,96.5,71.1,31
2015,67,39.6,86.4,96.8,81,38.3
2016,64.6,36.7,80.4,97.6,78.8,40.3
2017,60.9,34.3,76,95.2,81,41.5
2018,53.2,28.7,84.7,97.4,84.9,50.3
2019,54.8,25.7,74,98.1,87.3,39.5
2020,55.1,31.2,79.4,98.6,93,44.3
2021,52.2,25.4,77.2,98.9,92,44.3
2022,57.4,28,79.4,98.9,95.2,53.9
,,,,,,
くらしと統計2024,,,,,,
通信・情報－３　主な情報通信機器の世帯保有状況,,,,,,
注）    平成23年から平成27年までは年末、平成28年から令和元年までは９月末、令和２年以降は８月末現在で調査,,,,,,
資料　総務省「通信利用動向調査」,,,,,,
