年齢階層,1960年男（人）,1960年女（人）,1990年男（人）,1990年女（人）,2020年男（人）,2020年女（人）
0～4歳,356324,337395,267282,254323,266375,254687
5～9歳,345611,328559,289336,276526,271910,259914
10～14歳,450954,430209,326926,313086,263549,250405
15～19歳,698545,551811,489587,458772,276129,267947
20～24歳,744750,563396,645946,549718,396919,401904
25～29歳,582625,515609,534900,460491,455638,456307
30～34歳,422476,417644,424361,380312,462045,455395
35～39歳,294526,339746,428012,394267,497623,480189
40～44歳,234036,274548,509047,490964,526550,510424
45～49歳,228571,242353,442741,450850,581577,573434
50～54歳,193444,195382,393817,410265,530006,510274
55～59歳,163892,161154,362109,375881,447995,423690
60～64歳,120807,121772,280517,307968,349242,340905
65～69歳,79418,85877,188610,245375,334802,343461
70～74歳,48415,61310,131729,186862,370863,413356
75～79歳,22130,36476,102415,146780,275795,354349
80～84歳,8104,17361,56539,92647,194920,290035
85～89歳,2046,5100,23725,45409,118078,215179
90歳以上,349,1077,6979,16956,51413,145571
,,,,,,
くらしと統計2024,,,,,,
人口・世帯－１　人口ピラミッド（男女、年齢５歳階級別の人口の分布）,,,,,,
資料　総務省統計局「国勢調査報告」、　総務省統計局ホームページ 「国勢調査」,,,,,,
