学校種,1時間程度(%),2時間程度(%),3時間程度(%),4時間程度(%),5時間程度(%),6時間程度(%),6時間を超える(%),ほとんど使わない(%),無回答(%)
全体(2020年度),21.8,20.3,17,10.2,6.2,4.5,9.5,8.4,2
全体(2021年度),21.5,21.2,16.5,10,6,4.4,9.4,8.8,2.1
小学校,28.8,22.4,13.9,7.2,4.3,2.9,5.4,12.9,2.2
中学校,11.4,25.7,25.3,14.6,6.9,4.3,7.7,2.7,1.4
高等学校,3.1,8,15,17,12.7,11.4,30.9,0.6,1.4
特別支援学校,21.4,20.1,13.8,6.6,6,5.5,14.6,5.7,6.4
,,,,,,,,,
くらしと統計2024,,,,,,,,,
通信・情報－２　児童・生徒の一日あたりのインターネット利用時間,,,,,,,,,
注） 　令和２年度、令和３年度の比較と令和３年度の校種調査結果を掲載,,,,,,,,,
資料　都教育庁　「令和３年度児童・生徒のインターネット利用状況調査」　調査報告書,,,,,,,,,
