用途別,1983年,1986年,1989年,1992年,1995年,1998年,2001年,2004年,2007年,2010年,2013年,2016年,2019年,2022年
調理食品（％）,6.8,7,8.1,8.3,8.9,9.5,11.1,11.2,11.5,11.8,12,13.2,13.8,15.2
一般外食（％）,13.6,15.2,16.9,17.3,17.7,18.2,18.6,19.2,19.5,19.7,20.6,19.3,20.3,16.2
調理素材（％）,60.5,58.5,55.8,55.1,53.9,52.5,50.1,48.7,47.5,46.9,45.4,46.1,43.7,44.5
その他（％）,19.2,19.3,19.2,19.3,19.5,19.8,20.2,20.9,21.5,21.6,22,21.4,22.2,24
,,,,,,,,,,,,,,
くらしと統計2024,,,,,,,,,,,,,,
家計－３　食料に占める調理素材、一般外食、調理食品の支出金額の割合の推移,,,,,,,,,,,,,,
注1）　調理素材：穀類、魚介類、肉類、乳卵類、野菜・海藻、果物,,,,,,,,,,,,,,
注2）　一般外食：外食から学校給食を除いたもの,,,,,,,,,,,,,,
注3）　調理食品：弁当などの「主食的調理食品」と、天ぷら・フライ、サラダ、冷凍調理食品など「他の調理食品」を合わせたもの,,,,,,,,,,,,,,
注4）　その他：油脂・調味料、菓子類、飲料、酒類、学校給食,,,,,,,,,,,,,,
資料　都総務局統計部「都民のくらしむき 東京都生計分析調査（年報）」,,,,,,,,,,,,,,
