階層,産業,項目名,就業者数（人）,割合（％）
0,総数（15歳以上年齢）,,5962306,100
1,第1次産業,計,21996,0.4
2,第1次産業,Ａ農業，林業,21286,0.4
2,第1次産業,Ｂ漁業,710,0
1,第2次産業,計,873231,14.6
2,第2次産業,Ｃ鉱業，採石業，砂利採取業,1428,0
2,第2次産業,Ｄ建設業,316605,5.3
2,第2次産業,Ｅ製造業,555198,9.3
1,第3次産業,計,4833623,81.1
2,第3次産業,Ｆ電気・ガス・熱供給・水道業,21331,0.4
2,第3次産業,Ｇ情報通信業,606608,10.2
2,第3次産業,Ｈ運輸業，郵便業,280449,4.7
2,第3次産業,Ｉ卸売業，小売業,869421,14.6
2,第3次産業,Ｊ金融業，保険業,237052,4
2,第3次産業,Ｋ不動産業，物品賃貸業,235012,3.9
2,第3次産業,Ｌ学術研究，専門・技術サービス業,409169,6.9
2,第3次産業,Ｍ宿泊業，飲食サービス業,333047,5.6
2,第3次産業,Ｎ生活関連サービス業，娯楽業,210613,3.5
2,第3次産業,Ｏ教育，学習支援業,305721,5.1
2,第3次産業,Ｐ医療，福祉,643400,10.8
2,第3次産業,Ｑ複合サービス事業,20561,0.3
2,第3次産業,Ｒサービス業（他に分類されないもの）,480820,8.1
2,第3次産業,Ｓ公務（他に分類されるものを除く）,180419,3
1,その他,Ｔ分類不能の産業,233456,3.9
,,,,
くらしと統計2024,,,,
労働－３　　産業別就業者数の割合（令和2年）,,,,
注)　　15歳以上年齢が対象,,,,
資料　総務省統計局「国勢調査報告」,,,,
