"年月[西暦]","調査項目","設問","政策目標","調査回答者の属性種別","調査回答者の属性","調査数[人]","強くそう思う[人]","どちらかといえばそう思う[人]","あまりそう思わない[人]","全くそう思わない[人]","無回答[人]"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","全体",,"658","57","283","209","95","14"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","男性（計）","248","31","99","79","35","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","男性 18～29歳","23","1","14","6","2","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","男性 30～39歳","35","6","11","14","4","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","男性 40～49歳","41","10","12","11","8","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","男性 50～59歳","49","8","21","12","8","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","男性 60～69歳","39","3","17","16","3","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","男性 70歳以上","60","3","24","20","9","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","男性 無回答","1","0","0","0","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","女性（計）","400","26","180","125","60","9"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","女性 18～29歳","28","3","13","10","2","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","女性 30～39歳","65","3","31","20","9","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","女性 40～49歳","95","11","40","27","16","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","女性 50～59歳","82","5","43","24","10","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","女性 60～69歳","55","1","25","18","10","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","女性 70歳以上","75","3","28","26","13","5"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","女性 無回答","0","0","0","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","性・年代別","無回答","10","0","4","5","0","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","職業別","自営業主・家族従業","92","6","41","33","11","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","職業別","会社員・団体職員・公務員","280","31","119","80","45","5"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","職業別","アルバイト・パートタイマー","58","2","28","17","10","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","職業別","家事専業","94","5","46","29","12","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","職業別","学生","20","3","8","9","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","職業別","無職","83","8","30","31","12","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","職業別","その他","26","2","9","9","4","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","職業別","無回答","5","0","2","1","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","居住地区別","芝地区","107","6","42","41","15","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","居住地区別","麻布地区","140","18","52","48","20","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","居住地区別","赤坂地区","88","4","32","35","15","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","居住地区別","高輪地区","155","13","78","38","23","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","居住地区別","芝浦港南地区","164","16","78","46","21","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","居住地区別","無回答","4","0","1","1","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","持家（一戸建）","95","7","38","30","18","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","持家（マンション）","302","26","135","94","43","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","借家（一戸建）","7","2","1","3","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","民間の賃貸マンション・アパート","171","20","72","54","21","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","都営住宅・区営住宅・区立住宅","28","2","14","7","2","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","0","5","7","6","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","社宅・公務員宿舎","20","0","12","6","2","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","寮・寄宿舎・住み込み・間借り","6","0","3","3","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","その他","5","0","1","3","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","住居形態別","無回答","6","0","2","2","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","定住意向別","ずっと住み続けていたい","366","33","165","103","56","9"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","定住意向別","当分は住んでいたい","224","20","92","83","27","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","3","18","12","6","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","1","0","1","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","定住意向別","近いうちに区外に転居する予定である","9","1","3","3","2","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","定住意向別","わからない","14","0","4","7","3","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(3)喫煙に関するマナーが守られている","定住意向別","無回答","1","0","0","1","0","0"

"第32回港区民世論調査クロス集計表・区基本計画Q14-03","Ver202003",,,,,,,,,,
