規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.7,162.7,149.2,13.5,13.9,84.2,81.2,3
５人以上,鉱業,19.4,154.4,141.2,13.2,8.6,58.2,49.2,9
５人以上,建設業,20,169.1,153.9,15.2,16.9,112.7,111.2,1.5
５人以上,製造業,19,157.4,146.7,10.7,16.9,118.3,110.8,7.5
５人以上,電気・ガス・熱供給・水道業,19.7,173.3,150.8,22.5,16.5,116.8,116.5,0.3
５人以上,情報通信業,19.3,167.7,145.9,21.8,15.2,96.5,92.9,3.6
５人以上,運輸業,19.8,174.8,151.6,23.2,16.5,111.1,99.1,12
５人以上,卸売・小売業,19.7,159.9,150.2,9.7,15,89.6,87.1,2.5
５人以上,金融・保険業,19.7,163.2,146.8,16.4,15.5,102.4,98.7,3.7
５人以上,不動産業,20.6,167.3,154.4,12.9,16.7,91.1,88.6,2.5
５人以上,"飲食店,宿泊業",20.9,171.1,160.5,10.6,13,78.1,74.6,3.5
５人以上,"医療,福祉",19.7,157.6,149.8,7.8,13,72.6,71.3,1.3
５人以上,"教育,学習支援業",19.9,150.2,145.2,5,10.1,54.8,53.8,1
５人以上,複合サービス事業,19.4,163.8,151.1,12.7,16.4,105.9,104.2,1.7
５人以上,サービス業（他に分類されないもの）,19.7,161.6,148.3,13.3,14.6,91.2,88.6,2.6
30人以上,調査産業計,19.5,162.7,147.8,14.9,14.3,87.2,83.7,3.5
30人以上,鉱業,19.4,154.4,141.2,13.2,8.6,58.2,49.2,9
30人以上,建設業,19.6,169.8,150.9,18.9,17.2,118.9,116.5,2.4
30人以上,製造業,19,158,146.2,11.8,17.6,131.7,120.3,11.4
30人以上,電気・ガス・熱供給・水道業,19.5,172.6,148.9,23.7,16.7,119.1,118.6,0.5
30人以上,情報通信業,19.2,167.6,145.1,22.5,16.4,104.3,99.9,4.4
30人以上,運輸業,19.7,173,149.6,23.4,16.1,117.6,104.3,13.3
30人以上,卸売・小売業,19.7,161.1,150.4,10.7,16.5,100.5,96.6,3.9
30人以上,金融・保険業,19.6,163.9,146.7,17.2,15.1,99,95.9,3.1
30人以上,不動産業,20.4,165.5,149.7,15.8,17.3,94.9,91.8,3.1
30人以上,"飲食店,宿泊業",20.3,168.3,157.2,11.1,13.1,75.4,72.2,3.2
30人以上,"医療,福祉",19.7,159,150.2,8.8,13.1,74.1,72.7,1.4
30人以上,"教育,学習支援業",20,149,144.3,4.7,9.4,49.5,48.4,1.1
30人以上,複合サービス事業,19.4,164.3,150.8,13.5,17,111.3,110.2,1.1
30人以上,サービス業（他に分類されないもの）,19.5,160.6,146.1,14.5,14.5,89.1,86.3,2.8
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１０月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
