規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.3,153.7,138.7,15,13.6,87.2,84.6,2.6
100～499人,18.9,158.1,143,15.1,14.3,93.1,89.5,3.6
100人以上,18.6,156.1,141,15.1,14.1,90.9,87.7,3.2
30～99人,19.2,158.7,146.9,11.8,13.5,79.2,76.3,2.9
５～29人,20.4,165.3,155.7,9.6,13.6,81.2,78.9,2.3
30人以上,18.8,157,143,14,13.8,84.6,81.5,3.1
５人以上,19.2,159.2,146.4,12.8,13.7,83,80.3,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年９月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
