規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1134423,1355296,684407,444906,514242,303638,409507,35399,689517,841054,380769
100～499人,879309,1037825,604927,366282,426571,261925,338520,27762,513027,611254,343002
100人以上,991827,1182293,637912,400959,466466,279237,369829,31130,590868,715827,358675
30～99人,680166,830610,458558,315624,383402,215784,298441,17183,364542,447208,242774
５～29人,448080,576516,291919,255630,323067,173636,244775,10855,192450,253449,118283
30人以上,877534,1060385,566002,369665,437673,253796,343649,26016,507869,622712,312206
５人以上,741115,920814,466713,333441,404615,224757,312241,21200,407674,516199,241956
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
