規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.2,19,17.1,144.4,155.6,127.1,133.1,142,119.4,11.3,13.6,7.7
５人以上,鉱業,17.5,17.6,17.4,137.6,138.3,134.8,127.7,128.4,124.9,9.9,9.9,9.9
５人以上,建設業,19.9,20.2,18.6,166.2,170.5,144.7,152.7,155.4,139,13.5,15.1,5.7
５人以上,製造業,18.9,19.2,18.2,155.9,159.5,145.2,145.2,148.2,136.5,10.7,11.3,8.7
５人以上,電気・ガス・熱供給・水道業,18,18.2,16.9,153.9,157,133,136.2,138.5,120.8,17.7,18.5,12.2
５人以上,情報通信業,18.7,19,18,160.3,164.4,149.4,139.9,142.8,132.1,20.4,21.6,17.3
５人以上,運輸業,20,20.3,18.7,170.5,178.2,138.7,147.6,152.4,127.7,22.9,25.8,11
５人以上,卸売・小売業,18.7,19.5,17.7,143.4,155.5,127.2,135.5,145.9,121.5,7.9,9.6,5.7
５人以上,金融・保険業,19.1,19.5,18.5,156.9,161.5,149.9,141.7,145.1,136.6,15.2,16.4,13.3
５人以上,不動産業,19.5,20.1,18.3,152,160.9,132.4,140.8,148,125.1,11.2,12.9,7.3
５人以上,"飲食店,宿泊業",15.7,17.3,14.4,109.8,131.8,90,104,123.2,86.6,5.8,8.6,3.4
５人以上,"医療,福祉",17.2,17,17.3,129.6,134.1,128,122.5,126.7,121,7.1,7.4,7
５人以上,"教育,学習支援業",14.9,15.6,14.1,104.9,110.8,98.2,100.7,106.2,94.5,4.2,4.6,3.7
５人以上,複合サービス事業,18.2,18.7,17.3,148.4,155.8,134.2,137.8,143.8,126.4,10.6,12,7.8
５人以上,サービス業（他に分類されないもの）,18.3,18.9,17.5,146.5,155.3,134.2,134.8,141.8,125,11.7,13.5,9.2
30人以上,調査産業計,18.3,18.8,17.4,147.6,156.2,132.7,134.6,141.2,123.2,13,15,9.5
30人以上,鉱業,17.5,17.6,17.4,137.6,138.3,134.8,127.7,128.4,124.9,9.9,9.9,9.9
30人以上,建設業,19.5,19.6,18.5,166.5,169.7,146.7,149.4,151.1,138.9,17.1,18.6,7.8
30人以上,製造業,18.8,19,18.1,156.5,159.4,147.6,144.5,146.9,137.1,12,12.5,10.5
30人以上,電気・ガス・熱供給・水道業,17.7,17.8,16.6,152.2,154.7,134.5,133.3,134.9,121.9,18.9,19.8,12.6
30人以上,情報通信業,18.6,18.8,17.9,160.2,164.2,149.2,139.1,141.9,131.5,21.1,22.3,17.7
30人以上,運輸業,19.7,20,18.2,169.6,175.9,143,147.2,150.7,132.3,22.4,25.2,10.7
30人以上,卸売・小売業,19.1,19.7,18.3,149.7,158.1,136.5,140.2,147.5,128.8,9.5,10.6,7.7
30人以上,金融・保険業,19.1,19.4,18.5,157.7,162.2,150.7,141.8,145.1,136.7,15.9,17.1,14
30人以上,不動産業,19.4,19.9,18.4,150.6,158.9,133.2,137.5,143.8,124.4,13.1,15.1,8.8
30人以上,"飲食店,宿泊業",16.2,17.8,14.7,115,136.7,94.2,107.6,126.9,89.1,7.4,9.8,5.1
30人以上,"医療,福祉",17.1,16.2,17.4,131.1,130.3,131.3,122.6,121.9,122.8,8.5,8.4,8.5
30人以上,"教育,学習支援業",15,15.6,14.1,107,111.1,101.8,102.5,106.6,97.3,4.5,4.5,4.5
30人以上,複合サービス事業,18.1,18.5,16.7,147.5,154.2,127.9,137.5,142.4,123.1,10,11.8,4.8
30人以上,サービス業（他に分類されないもの）,18.1,18.6,17.4,143.7,152.1,131.9,131.5,138.1,122.2,12.2,14,9.7
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
