規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,94.3,－,119.6,92.7,103.2,90.1,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,95.5,1.3,109,93.8,103.8,108.9,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,4.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.6,0.6,111.8,96.8,100.5,98.8,99.3,100.1,103.2,100.4,108.1,93.2,105,100.3,101.1,98.3
５人以上,平成19,2007,年平均,100.7,0.1,104.4,99.5,99.6,99.2,104,102.5,101.4,101.5,110.1,90.2,105.1,97.3,97.1,100.1
５人以上,平成20,2008,年平均,99.6,-1.1,112.3,96.6,99.3,101.4,102.7,105.3,102.8,104.2,98.2,83.3,104.2,92.8,110.1,99.4
５人以上,平成20,2008,11月,83.9,-5,91.1,86,83,78.7,85,96,87,77.9,79.5,75.1,89.2,69.4,82.4,90.4
５人以上,平成20,2008,12月,180.4,-3.3,260.3,165.1,192.4,240.3,187.6,192,167.3,195.3,176.7,132.1,195.3,209.6,227.5,179.1
５人以上,平成21,2009,1月,81.7,-3.1,81,83,78.7,76.3,92.5,90.8,81.6,77.6,84.5,79.2,93.3,67.9,88.4,83.1
５人以上,平成21,2009,2月,80.5,-5.7,79.2,83.1,76.9,77,84.8,86.4,82.9,85.3,79,73.5,86.2,70,83.9,82.4
５人以上,平成21,2009,3月,84,-4.5,84.9,85.5,82.4,80,89.1,87.4,84.1,81.4,83.2,77.2,94.3,80.6,87.1,86.6
５人以上,平成21,2009,4月,82.5,-1,79.6,89.8,80.9,81,87.1,88.5,84.2,78.5,79,77,88.9,73,90.3,84.5
５人以上,平成21,2009,5月,82.4,0,80.1,84.5,79.5,75.8,84.2,90.4,83.4,94.8,78.1,72.6,90.1,71.6,85.4,82.7
５人以上,平成21,2009,6月,140,-11.4,223.3,137.2,123.5,225.1,174.1,132.6,137.2,160.7,146.7,84.7,141.6,148.3,222.4,134.9
５人以上,平成21,2009,7月,107.9,2,121.2,115.4,127.5,78.7,108.1,118.6,117.8,88.1,100.2,97.1,107.1,95.3,92.9,105.1
５人以上,平成21,2009,8月,81.5,0.9,90.3,91.1,79.6,76,85.7,86.2,84.7,76.6,86.1,80.6,88,65.6,85.4,83.7
５人以上,平成21,2009,9月,80.2,-3,80.6,85.7,78.5,77.9,84.9,87.7,82.5,76.2,85.3,74.7,88.5,67.2,84.7,82.1
５人以上,平成21,2009,10月,81.3,2.8,77.5,83.3,78.7,81.9,86.7,86.1,81.8,77.5,82.1,78.8,89.6,71.6,95.3,85
５人以上,平成21,2009,11月,85.5,1.9,74.4,93.6,80.4,78.3,94.2,89.7,89.3,86.5,84.3,79.8,89.7,70.2,84.7,86.6
５人以上,平成21,2009,11月（対前年同月比（％））,－,－,-18.3,8.8,-3.1,-0.5,10.8,-6.6,2.6,11,6,6.3,0.6,1.2,2.8,-4.2
30人以上,平成15,2003,年平均,95.1,－,106.4,93.1,105.9,91.5,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,97.1,2.1,109.4,91.7,105.2,111.8,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,100.6,0.6,101.9,97.3,100.9,99.4,99.1,102.8,103.6,100.6,104.7,91.8,100.8,101,100.3,98.5
30人以上,平成19,2007,年平均,101.6,1,95.2,100.6,100.5,100.4,103.4,103.2,102.1,102,101.8,90.2,105.9,101.4,96.2,101.4
30人以上,平成20,2008,年平均,101.8,0.2,102.4,100,100.4,103.9,103.4,107.9,105.2,105.6,98.5,81.6,102.9,98,115.3,100.7
30人以上,平成20,2008,11月,84.7,-4.1,83.2,87.2,82.7,80.6,83.5,99.9,88.5,77.9,77.8,69.8,85.2,71.6,86,92.7
30人以上,平成20,2008,12月,191.9,-2,237.4,186.1,205.1,249.1,196.5,197.6,177,197.1,192.9,137.3,202.2,225.8,231.5,185.7
30人以上,平成21,2009,1月,80.6,-4.4,73.9,82.4,76.2,77.6,92.5,93.7,79.1,77.1,82.1,65.8,90.1,69.1,94.6,80.5
30人以上,平成21,2009,2月,80.1,-6.6,72.2,84.3,74.4,78.3,84.1,88,82.9,85.7,74.3,64.6,82.1,72.1,89.7,81.1
30人以上,平成21,2009,3月,83.7,-6,77.5,87.2,81.2,81.5,88.2,89.6,84,80,76.9,68.1,91.1,83.9,90.5,85.6
30人以上,平成21,2009,4月,81.6,-1.9,72.6,93.5,79,82,86.5,90.6,82.3,77.6,75.7,67.1,84.3,74.7,97.8,82.8
30人以上,平成21,2009,5月,82.2,-0.2,73.1,86.8,77.7,77.2,83.5,93.8,81.3,96.3,75.2,59.9,87.3,73.9,92.3,81.7
30人以上,平成21,2009,6月,148.6,-13.9,203.6,154.7,128.4,233.6,177.1,134.5,150,160.5,162.2,79,139.3,156.5,251.1,142.4
30人以上,平成21,2009,7月,107.1,3.4,110.5,117.7,128.2,79.2,108,118.3,118.4,85.9,92.3,83.1,97.6,99.7,98.8,102.2
30人以上,平成21,2009,8月,80.1,-0.4,82.4,95.5,76.9,76.8,84.9,88.9,81.3,75.4,79.1,69.2,81.3,67.8,91,82.3
30人以上,平成21,2009,9月,79.1,-5.4,73.4,87,75.8,78.8,84.2,91,80.3,74.8,77.1,63.3,82.6,69.5,90.3,80.5
30人以上,平成21,2009,10月,80.3,1.9,70.7,84.3,76.4,82.9,86,89.2,79.2,76.1,75.2,71,83.2,74.6,101.9,83.8
30人以上,平成21,2009,11月,85.5,0.9,67.9,98.3,78,79,94.3,93.6,88.4,86.3,79.8,73.5,81.4,73.5,90.3,86.6
30人以上,平成21,2009,11月（対前年同月比（％））,－,－,-18.4,12.7,-5.7,-2,12.9,-6.3,-0.1,10.8,2.6,5.3,-4.5,2.7,5,-6.6
,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,,,,,,,,,,,
第15表　実質賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,
実質賃金指数 ＝ 名目賃金指数（現金給与総額）÷ 東京都区部消費者物価指数※ ×１００　　※東京都区部消費者物価指数は「帰属家賃を除く総合」である。,,,,,,,,,,,,,,,,,,,
調査対象事業所の抽出替えに伴い、指数を平成21年１月分確報公表時に過去に遡って改訂しています（賃金指数、労働時間指数は平成19年以降、常用雇用指数は平成17年以降）。,,,,,,,,,,,,,,,,,,,
