規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,523687,474481,435688,38793,49206,153897,152321,143978,8343,1576
100～499人,437345,403776,373093,30683,33569,122823,121147,115242,5905,1676
100人以上,476400,435758,401407,34351,40642,133996,132356,125574,6782,1640
30～99人,416912,373066,352481,20585,43846,101483,100814,97229,3585,669
５～29人,349353,337587,323109,14478,11766,93668,93304,90393,2911,364
30人以上,456231,414502,384818,29684,41729,117286,116145,111006,5139,1141
５人以上,427712,393978,368352,25626,33734,105406,104656,100638,4018,750
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
