規模,産業,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,調査産業計,5453872,87215,106670,5434455,1492604,53714,52583,1493697
５人以上,鉱業,2038,39,28,2049,9,0,0,9
５人以上,建設業,312126,2491,2472,312144,12204,476,438,12243
５人以上,製造業,651282,9435,12592,648169,49480,2914,1724,50626
５人以上,電気・ガス・熱供給・水道業,33979,472,348,34103,732,0,0,732
５人以上,情報通信業,702269,6126,6901,701494,25910,503,1203,25210
５人以上,運輸業,323450,4570,9661,318359,42684,1924,1063,43545
５人以上,卸売・小売業,1080575,23162,29376,1074063,407089,9938,8969,408356
５人以上,金融・保険業,342781,10009,8631,344160,20368,202,310,20259
５人以上,不動産業,106882,2410,1749,107715,20815,615,375,20883
５人以上,"飲食店,宿泊業",207848,6505,9732,204621,408214,16158,24019,400353
５人以上,"医療,福祉",357308,3217,4052,356551,151812,5564,3558,153740
５人以上,"教育,学習支援業",246160,1945,1530,246576,129070,7746,3972,132843
５人以上,複合サービス事業,46393,231,159,46465,11320,408,169,11559
５人以上,サービス業（他に分類されないもの）,1040781,16603,19439,1037986,212897,7266,6783,213339
30人以上,調査産業計,3981693,60829,77943,3964798,758552,28940,22224,765049
30人以上,鉱業,2038,39,28,2049,9,0,0,9
30人以上,建設業,194501,822,1347,193976,3981,32,3,4010
30人以上,製造業,501348,8421,11107,498663,28763,2233,1202,29793
30人以上,電気・ガス・熱供給・水道業,31112,392,293,31211,514,0,0,514
30人以上,情報通信業,608870,3859,6104,606625,20837,369,649,20557
30人以上,運輸業,262231,3792,8475,257548,29192,1279,422,30049
30人以上,卸売・小売業,691381,15127,20798,685831,180556,4073,2877,181631
30人以上,金融・保険業,292187,9042,7696,293534,14688,202,192,14697
30人以上,不動産業,64516,1490,1006,65053,15152,353,272,15180
30人以上,"飲食店,宿泊業",90025,969,2251,88742,132372,4874,5409,131838
30人以上,"医療,福祉",256237,2391,3051,255579,94040,4050,2992,95096
30人以上,"教育,学習支援業",205745,1945,894,206797,78855,6246,3288,81812
30人以上,複合サービス事業,34954,105,105,34954,8189,0,4,8185
30人以上,サービス業（他に分類されないもの）,746548,12435,14788,744236,151404,5229,4914,151678
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１０月分,,,,,,,,,
第７表  産業、就業形態別労働者数,,,,,,,,,
