規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,499668,457327,418002,39325,42341,128609,126001,118357,7644,2608
100～499人,429280,406578,376192,30386,22702,126532,126180,119286,6894,352
100人以上,458433,427597,393509,34088,30836,127286,126115,118948,7167,1171
30～99人,411782,401332,379443,21889,10450,104867,104501,99901,4600,366
５～29人,362756,340602,324840,15762,22154,88902,88337,85368,2969,565
30人以上,441862,418268,388513,29755,23594,117064,116260,110263,5997,804
５人以上,419963,396767,370886,25881,23196,102785,102102,97641,4461,683
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（暫定版）,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
