規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,459849,530750,314722,444044,512546,303828,410087,33957,15805,18204,10894
100～499人,376604,439625,267377,364978,426098,259044,338208,26770,11626,13527,8333
100人以上,413371,481173,287029,399899,465514,277633,369954,29945,13472,15659,9396
30～99人,322778,392394,218833,312529,378819,213550,295369,17160,10249,13575,5283
５～29人,259836,325343,178874,255537,319920,175965,244945,10592,4299,5423,2909
30人以上,380255,450410,259871,367961,435473,252113,342690,25271,12294,14937,7758
５人以上,342028,414238,230632,332272,402053,224624,311661,20611,9756,12185,6008
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１０月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
