規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,491389,474091,437401,36690,17298,157365,155877,148126,7751,1488
100～499人,416867,403666,373531,30135,13201,125018,123232,117489,5743,1786
100人以上,450689,435629,402519,33110,15060,136380,134699,128251,6448,1681
30～99人,389864,376947,355721,21226,12917,103234,101714,97862,3852,1520
５～29人,343362,337167,322742,14425,6195,91844,91360,88478,2882,484
30人以上,430393,416048,386903,29145,14345,118753,117158,112090,5068,1595
５人以上,406879,394736,369568,25168,12143,105573,104522,100525,3997,1051
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１０月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
