規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6946476,4216107,2730369,140929,80963,59966,159253,95296,63957,6928152,4201774,2726378,21.6,11.9,36.5
５人以上,鉱業,2047,1625,422,39,34,5,28,26,2,2058,1633,425,0.4,0.4,0.5
５人以上,建設業,324330,272196,52134,2967,2359,608,2910,2656,254,324387,271899,52488,3.8,1.6,15.1
５人以上,製造業,700762,512239,188523,12349,9574,2775,14316,10803,3513,698795,511010,187785,7.2,3.2,18.2
５人以上,電気・ガス・熱供給・水道業,34711,30099,4612,472,421,51,348,291,57,34835,30229,4606,2.1,1.6,5.3
５人以上,情報通信業,728179,530839,197340,6629,4281,2348,8104,4627,3477,726704,530493,196211,3.5,1.2,9.6
５人以上,運輸業,366134,297275,68859,6494,4550,1944,10724,8499,2225,361904,293326,68578,12,8.9,25.4
５人以上,卸売・小売業,1487664,867209,620455,33100,19308,13792,38345,23953,14392,1482419,862564,619855,27.5,14.1,46.3
５人以上,金融・保険業,363149,217197,145952,10211,6466,3745,8941,6141,2800,364419,217522,146897,5.6,1.5,11.6
５人以上,不動産業,127697,86480,41217,3025,2174,851,2124,1515,609,128598,87139,41459,16.2,7.1,35.5
５人以上,"飲食店,宿泊業",616062,296944,319118,22663,12314,10349,33751,18336,15415,604974,290922,314052,66.2,51.9,79.4
５人以上,"医療,福祉",509120,129353,379767,8781,3024,5757,7610,2628,4982,510291,129749,380542,30.1,26.2,31.5
５人以上,"教育,学習支援業",375230,196234,178996,9691,5122,4569,5502,2361,3141,379419,198995,180424,35,27.1,43.7
５人以上,複合サービス事業,57713,37953,19760,639,87,552,328,150,178,58024,37890,20134,19.9,7.9,42.5
５人以上,サービス業（他に分類されないもの）,1253678,740464,513214,23869,11249,12620,26222,13310,12912,1251325,738403,512922,17,9.8,27.6
30人以上,調査産業計,4740245,2995394,1744851,89769,53591,36178,100167,61133,39034,4729847,2987852,1741995,16.2,8.5,29.3
30人以上,鉱業,2047,1625,422,39,34,5,28,26,2,2058,1633,425,0.4,0.4,0.5
30人以上,建設業,198482,173195,25287,854,742,112,1350,1197,153,197986,172740,25246,2,0.8,10.7
30人以上,製造業,530111,394890,135221,10654,8507,2147,12309,9495,2814,528456,393902,134554,5.6,2.7,14.3
30人以上,電気・ガス・熱供給・水道業,31626,27617,4009,392,381,11,293,276,17,31725,27722,4003,1.6,1.5,2.3
30人以上,情報通信業,629707,461817,167890,4228,3044,1184,6753,3784,2969,627182,461077,166105,3.3,1.1,9.2
30人以上,運輸業,291423,237589,53834,5071,3623,1448,8897,6956,1941,287597,234256,53341,10.4,9.1,16.5
30人以上,卸売・小売業,871937,536451,335486,19200,12099,7101,23675,16029,7646,867462,532521,334941,20.9,8,41.6
30人以上,金融・保険業,306875,186659,120216,9244,6083,3161,7888,5424,2464,308231,187318,120913,4.8,1.6,9.7
30人以上,不動産業,79668,53474,26194,1843,1254,589,1278,878,400,80233,53850,26383,18.9,9.3,38.5
30人以上,"飲食店,宿泊業",222397,106238,116159,5843,2492,3351,7660,3834,3826,220580,104896,115684,59.8,44.8,73.3
30人以上,"医療,福祉",350277,91597,258680,6441,2409,4032,6043,2016,4027,350675,91990,258685,27.1,24.6,28
30人以上,"教育,学習支援業",284600,160045,124555,8191,4509,3682,4182,1827,2355,288609,162727,125882,28.3,22.6,35.7
30人以上,複合サービス事業,43143,31966,11177,105,87,18,109,96,13,43139,31957,11182,19,8.9,47.8
30人以上,サービス業（他に分類されないもの）,897952,532231,365721,17664,8327,9337,19702,9295,10407,895914,531263,364651,16.9,10.5,26.3
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１０月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
