規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,458170,532050,305082,420273,484156,287899,384491,35782,37897,47894,17183
100～499人,388359,454777,255377,368678,429447,247008,341467,27211,19681,25330,8369
100人以上,416823,486495,275368,389715,451903,263454,359009,30706,27108,34592,11914
30～99人,356719,419184,240721,348078,409544,233937,329291,18787,8641,9640,6784
５～29人,276776,351831,183130,261400,331398,174064,249655,11745,15376,20433,9066
30人以上,394593,462074,262074,374315,436535,252128,348018,26297,20278,25539,9946
５人以上,356554,430606,231600,337859,406525,221994,316260,21599,18695,24081,9606
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１月分（暫定版）,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
