規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,94.9,－,120.3,93.3,103.8,90.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,96.1,1.3,109.7,94.4,104.4,109.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,4.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,100.8,0.8,112,97,100.7,99,99.5,100.3,103.4,100.6,108.3,93.4,105.2,100.5,101.3,98.5
５人以上,平成19,2007,年平均,100.8,0,104.5,99.6,99.7,99.3,104.1,102.6,101.5,101.6,110.2,90.3,105.2,97.4,97.2,100.2
５人以上,平成20,2008,年平均,100.8,0,113.6,97.8,100.5,102.6,103.9,106.6,104,105.5,99.4,84.3,105.5,93.9,111.4,100.6
５人以上,平成20,2008,12月,182.9,-2.3,263.9,167.4,195.1,243.7,190.2,194.7,169.6,198,179.2,133.9,198,212.5,230.7,181.6
５人以上,平成21,2009,1月,82.4,-2.4,81.6,83.7,79.3,76.9,93.2,91.5,82.3,78.2,85.2,79.8,94,68.4,89.1,83.8
５人以上,平成21,2009,2月,80.9,-5,79.6,83.5,77.3,77.4,85.2,86.8,83.3,85.7,79.4,73.9,86.6,70.4,84.3,82.8
５人以上,平成21,2009,3月,84.7,-4.2,85.6,86.2,83.1,80.6,89.8,88.1,84.8,82.1,83.9,77.8,95.1,81.2,87.8,87.3
５人以上,平成21,2009,4月,83.2,-1.1,80.2,90.5,81.5,81.6,87.8,89.2,84.9,79.1,79.6,77.6,89.6,73.6,91,85.2
５人以上,平成21,2009,5月,82.9,-0.8,80.6,85,80,76.3,84.7,90.9,83.9,95.4,78.6,73,90.6,72,85.9,83.2
５人以上,平成21,2009,6月,140.1,-12.8,223.5,137.3,123.6,225.3,174.3,132.7,137.3,160.9,146.8,84.8,141.7,148.4,222.6,135
５人以上,平成21,2009,7月,107.4,-0.1,120.6,114.8,126.9,78.3,107.6,118,117.2,87.7,99.7,96.6,106.6,94.8,92.4,104.6
５人以上,平成21,2009,8月,81.4,-1.1,90.2,91,79.5,75.9,85.6,86.1,84.6,76.5,86,80.5,87.9,65.5,85.3,83.6
５人以上,平成21,2009,9月,80,-5.2,80.4,85.5,78.3,77.7,84.7,87.5,82.3,76,85.1,74.6,88.3,67.1,84.5,81.9
５人以上,平成21,2009,10月,80.6,-0.2,76.9,82.6,78.1,81.2,86,85.4,81.1,76.9,81.4,78.2,88.9,71,94.5,84.3
５人以上,平成21,2009,11月,84.6,-0.7,73.7,92.7,79.6,77.5,93.3,88.8,88.4,85.6,83.5,79,88.8,69.5,83.9,85.7
５人以上,平成21,2009,12月,174.7,-4.5,292,155.8,185.4,223.2,204.2,170,175.5,176.3,169.2,104.8,190.9,195.1,250.2,164
５人以上,平成21,2009,12月（対前年同月比（％））,－,－,10.6,-6.9,-5,-8.4,7.4,-12.7,3.5,-11,-5.6,-21.7,-3.6,-8.2,8.5,-9.7
30人以上,平成15,2003,年平均,95.7,－,107,93.7,106.5,92,－,－,－,－,－,－,－,－,－,－
30人以上,平成16,2004,年平均,97.7,2.1,110.1,92.3,105.8,112.5,－,－,－,－,－,－,－,－,－,－
30人以上,平成17,2005,年平均,100,2.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30人以上,平成18,2006,年平均,100.8,0.8,102.1,97.5,101.1,99.6,99.3,103,103.8,100.8,104.9,92,101,101.2,100.5,98.7
30人以上,平成19,2007,年平均,101.7,0.9,95.3,100.7,100.6,100.5,103.5,103.3,102.2,102.1,101.9,90.3,106,101.5,96.3,101.5
30人以上,平成20,2008,年平均,103,1.3,103.6,101.2,101.6,105.1,104.6,109.2,106.5,106.9,99.7,82.6,104.1,99.2,116.7,101.9
30人以上,平成20,2008,12月,194.6,-1.1,240.7,188.7,208,252.6,199.3,200.4,179.5,199.9,195.6,139.2,205,229,234.7,188.3
30人以上,平成21,2009,1月,81.2,-3.8,74.5,83.1,76.8,78.2,93.2,94.4,79.7,77.7,82.8,66.3,90.8,69.7,95.4,81.1
30人以上,平成21,2009,2月,80.5,-6,72.6,84.7,74.8,78.7,84.5,88.4,83.3,86.1,74.7,64.9,82.5,72.5,90.1,81.5
30人以上,平成21,2009,3月,84.4,-5.6,78.1,87.9,81.8,82.2,88.9,90.3,84.7,80.6,77.5,68.6,91.8,84.6,91.2,86.3
30人以上,平成21,2009,4月,82.3,-1.9,73.2,94.2,79.6,82.7,87.2,91.3,83,78.2,76.3,67.6,85,75.3,98.6,83.5
30人以上,平成21,2009,5月,82.7,-1.1,73.5,87.3,78.2,77.7,84,94.4,81.8,96.9,75.7,60.3,87.8,74.3,92.9,82.2
30人以上,平成21,2009,6月,148.7,-15.3,203.8,154.9,128.5,233.8,177.3,134.6,150.1,160.7,162.4,79.1,139.4,156.7,251.4,142.5
30人以上,平成21,2009,7月,106.6,1.2,109.9,117.1,127.6,78.8,107.5,117.7,117.8,85.5,91.8,82.7,97.1,99.2,98.3,101.7
30人以上,平成21,2009,8月,80,-2.2,82.3,95.4,76.8,76.7,84.8,88.8,81.2,75.3,79,69.1,81.2,67.7,90.9,82.2
30人以上,平成21,2009,9月,78.9,-7.6,73.3,86.8,75.6,78.6,84,90.8,80.1,74.7,76.9,63.2,82.4,69.4,90.1,80.3
30人以上,平成21,2009,10月,79.7,-1,70.1,83.6,75.8,82.2,85.3,88.5,78.6,75.5,74.6,70.4,82.5,74,101.1,83.1
30人以上,平成21,2009,11月,84.6,-1.6,67.2,97.3,77.2,78.2,93.4,92.7,87.5,85.4,79,72.8,80.6,72.8,89.4,85.7
30人以上,平成21,2009,12月,184,-5.4,266.2,174.4,193.5,230.2,208.1,177.7,186.8,169.9,168.7,97.7,190.2,211.4,261.3,169.1
30人以上,平成21,2009,12月（対前年同月比（％））,－,－,10.6,-7.6,-7,-8.9,4.4,-11.3,4.1,-15,-13.8,-29.8,-7.2,-7.7,11.3,-10.2
,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,,,,,,,,,,,
第12表　名目賃金指数（現金給与総額）,,,,,,,,,,,,,,,,,,,
（平成１７年平均＝100）,,,,,,,,,,,,,,,,,,,
調査対象事業所の抽出替えに伴い、指数を平成21年１月分確報公表時に過去に遡って改訂しています（賃金指数、労働時間指数は平成19年以降、常用雇用指数は平成17年以降）。,,,,,,,,,,,,,,,,,,,
