規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6958313,4203463,2754850,91574,46562,45012,97388,47548,49840,6952499,4202477,2750022,21.6,11.8,36.4
５人以上,鉱業,2041,1612,429,23,19,4,32,29,3,2032,1602,430,0.3,0.2,0.5
５人以上,建設業,324908,271733,53175,2140,1900,240,2900,2375,525,324148,271258,52890,3.7,1.6,14.6
５人以上,製造業,698722,516165,182557,4585,3090,1495,6690,4281,2409,696617,514974,181643,7.4,3.3,19.2
５人以上,電気・ガス・熱供給・水道業,34787,30210,4577,86,69,17,238,197,41,34635,30082,4553,2.2,1.7,5.4
５人以上,情報通信業,722678,527215,195463,2838,2262,576,6650,4760,1890,718866,524717,194149,3.5,1.1,9.8
５人以上,運輸業,363808,293967,69841,9941,5357,4584,4162,3138,1024,369587,296186,73401,14.2,10.4,29.2
５人以上,卸売・小売業,1497588,862339,635249,16691,8191,8500,19748,10023,9725,1494531,860507,634024,25.3,12.4,42.9
５人以上,金融・保険業,366688,219241,147447,4317,2488,1829,6041,3129,2912,364964,218600,146364,5.4,1.5,11.1
５人以上,不動産業,129523,88637,40886,1366,1076,290,2161,1617,544,128728,88096,40632,15.9,6.9,35.4
５人以上,"飲食店,宿泊業",609706,290664,319042,17814,7220,10594,14167,6592,7575,613353,291292,322061,68.4,52.8,82.5
５人以上,"医療,福祉",510859,127940,382919,8778,3157,5621,12445,1605,10840,507192,129492,377700,29.2,27.1,30
５人以上,"教育,学習支援業",381328,201111,180217,4482,2001,2481,1705,798,907,384105,202314,181791,35.5,27,45
５人以上,複合サービス事業,59756,39149,20607,547,287,260,2437,1550,887,57866,37886,19980,19.5,7.3,42.6
５人以上,サービス業（他に分類されないもの）,1255921,733480,522441,17966,9445,8521,18012,7454,10558,1255875,735471,520404,17.8,10.5,28.3
30人以上,調査産業計,4751013,2991665,1759348,52820,27302,25518,62912,29370,33542,4740921,2989597,1751324,15.7,8.4,28.3
30人以上,鉱業,2041,1612,429,23,19,4,32,29,3,2032,1602,430,0.3,0.2,0.5
30人以上,建設業,197528,171379,26149,871,763,108,1673,1457,216,196726,170685,26041,2,0.8,9.8
30人以上,製造業,528499,399526,128973,2722,2011,711,4848,3254,1594,526373,398283,128090,5.6,2.7,14.7
30人以上,電気・ガス・熱供給・水道業,31662,27688,3974,86,69,17,238,197,41,31510,27560,3950,1.6,1.5,2.4
30人以上,情報通信業,623180,458089,165091,1924,1397,527,5223,3971,1252,619881,455515,164366,3.2,1,9.1
30人以上,運輸業,288353,232925,55428,5247,3376,1871,3284,2382,902,290316,233919,56397,11.7,9.8,19.3
30人以上,卸売・小売業,882572,534637,347935,6890,3423,3467,8052,3604,4448,881410,534456,346954,16.9,5.2,35
30人以上,金融・保険業,310727,189021,121706,3710,2133,1577,5521,2883,2638,308916,188271,120645,4.5,1.5,9.2
30人以上,不動産業,80181,54270,25911,866,576,290,666,364,302,80381,54482,25899,18.4,9.2,37.9
30人以上,"飲食店,宿泊業",220749,107463,113286,5179,2864,2315,5471,2197,3274,220457,108130,112327,62.3,46.6,77.5
30人以上,"医療,福祉",350982,90303,260679,7168,2425,4743,10556,1279,9277,347594,91449,256145,26.6,27.5,26.2
30人以上,"教育,学習支援業",290228,164118,126110,3852,1371,2481,1355,798,557,292725,164691,128034,28.8,22.6,36.7
30人以上,複合サービス事業,44612,33196,11416,509,249,260,2399,1512,887,42722,31933,10789,18.1,8.2,47.6
30人以上,サービス業（他に分類されないもの）,899699,527438,372261,13773,6626,7147,13594,5443,8151,899878,528621,371257,17.5,11.1,26.7
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２１年１２月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
